environment,metric,left,right,n_pairs,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,cohen_dz,rank_biserial,paired_t_p,wilcoxon_p,sign_test_p,wins,losses,ties,difference_skew,difference_excess_kurtosis,catastrophic_low_outliers,catastrophic_high_outliers,win_rate_non_ties,paired_t_holm_p,wilcoxon_holm_p,sign_test_holm_p
ApplicationNavigation-risk-adjusted-fallbacks,mean_return,support_hold_penalized,support_no_hold,30,-1.186322222222232,-1.2160000000000117,-1.5074138888889006,-0.8573644444444555,-1.2854661595934034,-0.9182795698924732,9.604637543019636e-08,5.718320608139038e-07,8.430331945419312e-06,3,27,0,0.31439803438738506,0.09699925800328968,0,0,0.1,2.8813912629058904e-07,1.7154961824417114e-06,2.5290995836257935e-05
ApplicationNavigation-risk-adjusted-fallbacks,mean_return,support_hold_penalized,support_shortest_path,30,-0.9253444444444496,-0.6466666666666724,-1.5854827777777831,-0.2911486111111163,-0.5018885793049757,-0.46236559139784944,0.010180693084229402,0.026228994131088257,0.09873714670538905,10,20,0,-0.42181111816032996,-0.5160048425867552,0,0,0.3333333333333333,0.020361386168458805,0.052457988262176514,0.1974742934107781
ApplicationNavigation-risk-adjusted-fallbacks,mean_return,support_hold_penalized,support_verified_safe,30,-4.165311111111117,-4.136166666666671,-4.618359722222229,-3.746230833333337,-3.3744369351926475,-1.0,1.3774362347413338e-17,1.862645149230957e-09,1.862645149230957e-09,0,30,0,-0.5052587615955372,-0.1357389165047027,0,0,0.0,8.264617408448003e-17,1.1175870895385742e-08,1.1175870895385742e-08
ApplicationNavigation-risk-adjusted-fallbacks,mean_return,support_no_hold,support_shortest_path,30,0.2609777777777829,-0.18033333333332868,-0.3510461111111059,0.844305000000005,0.15357646716176465,0.14838709677419354,0.40713390304229624,0.4898460879921913,0.8555355519056321,14,16,0,-0.19817919418275615,-0.04472811810772903,0,0,0.4666666666666667,0.40713390304229624,0.4898460879921913,0.8555355519056321
ApplicationNavigation-risk-adjusted-fallbacks,mean_return,support_no_hold,support_verified_safe,30,-2.978988888888884,-2.7508333333333272,-3.4053599999999946,-2.5861988888888843,-2.5904073986688574,-1.0,1.3981746835363352e-14,1.862645149230957e-09,1.862645149230957e-09,0,30,0,-0.6511899394274584,0.5859858230615127,0,0,0.0,6.990873417681676e-14,1.1175870895385742e-08,1.1175870895385742e-08
ApplicationNavigation-risk-adjusted-fallbacks,mean_return,support_shortest_path,support_verified_safe,30,-3.239966666666666,-2.8063333333333333,-3.8236252777777775,-2.666178611111111,-1.9880263519922188,-0.9956989247311828,9.237439914162063e-12,3.725290298461914e-09,5.774199962615967e-08,1,29,0,-0.08431842899396022,-0.6484830252439444,0,0,0.03333333333333333,3.694975965664825e-11,1.4901161193847656e-08,2.3096799850463867e-07
ApplicationNavigation-risk-adjusted-fallbacks,success_rate,support_hold_penalized,support_no_hold,30,-0.1166666666666667,-0.1333333333333333,-0.1455555555555556,-0.08555555555555558,-1.3691859569454292,-0.9010752688172043,2.8891259931077595e-08,1.6001370421139696e-05,8.67992639541626e-07,2,28,0,1.1346600547838106,3.339470326319484,0,1,0.06666666666666667,8.737221625626435e-08,3.200274084227939e-05,2.603977918624878e-06
ApplicationNavigation-risk-adjusted-fallbacks,success_rate,support_hold_penalized,support_shortest_path,30,-0.25333333333333335,-0.2333333333333334,-0.28888888888888886,-0.21888888888888894,-2.56195947736032,-1.0,1.8514972317445305e-14,2.4034069767977763e-06,3.725290298461914e-09,0,29,1,0.030909633192868075,0.9436788394468647,0,0,0.0,1.1108983390467183e-13,1.2017034883988881e-05,1.862645149230957e-08
ApplicationNavigation-risk-adjusted-fallbacks,success_rate,support_hold_penalized,support_verified_safe,30,-0.2455555555555556,-0.25000000000000006,-0.2844444444444445,-0.21000000000000002,-2.3177197046389026,-1.0,2.281178391672845e-13,1.6762987141123665e-06,1.862645149230957e-09,0,30,0,-0.6481001248504898,-0.11438072217055417,0,0,0.0,1.1405891958364226e-12,1.00577922846742e-05,1.1175870895385742e-08
ApplicationNavigation-risk-adjusted-fallbacks,success_rate,support_no_hold,support_shortest_path,30,-0.1366666666666667,-0.1166666666666667,-0.1722222222222222,-0.10222222222222221,-1.3889296041167554,-0.9379310344827586,2.1843054064066088e-08,9.962721204467299e-06,1.6242265701293945e-06,2,27,1,-0.0763553252967389,0.5580047047716592,0,0,0.06896551724137931,8.737221625626435e-08,2.9888163613401896e-05,3.248453140258789e-06
