environment,agent,seed,checkpoint,mean_return,success_rate,mean_length,elapsed_seconds,environment_steps,gradient_updates,training_elapsed_seconds,evaluation_elapsed_seconds,mean_gate,support_abstention_rate,global_tabular_error,global_neural_error,visited_states,failure_rate,collision_rate,risk_zone_rate,idle_rate,risk_adjusted_score,unsupported_state_ratio,memory_branch_usage_ratio,neural_branch_usage_ratio,abstention_ratio,adaptive_alpha_mean,adaptive_alpha_iqr,support_score_mean,uncertainty_score_mean,inference_time_us_per_decision_mean,inference_time_us_per_decision_median,memory_cost_states,memory_cost_entries,memory_cost_bytes_estimated,eval_checkpoint,eval_return,train_steps,seconds_per_1000_steps,return_auc,success_rate_auc,experiment_name,config_file,environment_id,resolved_environment_id,observation_representation,git_commit_hash,package_version,python_version,torch_version,numpy_version,gymnasium_version,minigrid_version
ApplicationNavigation-deployment-goal-shift,knn_support_gate,600,12000,-1.226666666666667,0.23333333333333334,96.33333333333333,36.4767339,12000,719,18.07672059999959,18.40001330000041,0.7104102652875628,0.0,1.0,1.0,195.0,0.7666666666666667,0.004999999999999987,0.04049741602067182,0.7061489479512735,0.15771843853820602,0.26694444444444443,0.5237962962962962,0.47620370370370363,0.0,,,0.5237962962962962,,929.915168881506,833.5,195.0,975.0,8580.0,12000,-1.226666666666667,12000,1.5063933833332992,-2.4085666666666667,0.2166666666666667,asoc_knn_support_30seed,C:/Users/Ercan/Desktop/reinforcement/configs/approx_support/knn_support_30seed.yaml,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,0f8459261c4fed1e7039ea2905cfcde4d922ebed,1.4.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
ApplicationNavigation-deployment-goal-shift,knn_support_gate,601,12000,-3.330999999999999,0.5,67.26666666666667,34.65282369999977,12000,719,18.194841399999405,16.457982300000367,0.7109385210878048,0.0,1.0,1.0,201.0,0.5,0.256855676252228,0.04569154982948085,0.373452380952381,0.2057990856525339,0.3,0.4991093474426807,0.5008906525573191,0.0,,,0.4991093474426807,,869.5249611490042,832.25,201.0,1005.0,8844.0,12000,-3.330999999999999,12000,1.5162367833332837,-2.5867000000000004,0.31333333333333335,asoc_knn_support_30seed,C:/Users/Ercan/Desktop/reinforcement/configs/approx_support/knn_support_30seed.yaml,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,0f8459261c4fed1e7039ea2905cfcde4d922ebed,1.4.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
ApplicationNavigation-deployment-goal-shift,knn_support_gate,602,12000,-0.3793333333333321,0.36666666666666664,77.33333333333333,35.011998400000266,12000,719,17.431997599999704,17.580000800000562,0.709657482069177,0.0,1.0,1.0,198.0,0.6333333333333333,0.003333333333333327,0.06861111111111111,0.6036111111111111,0.30297222222222225,0.4666666666666667,0.3809523809523809,0.619047619047619,0.0,,,0.3809523809523809,,847.4967777777778,797.125,198.0,990.0,8712.0,12000,-0.3793333333333321,12000,1.452666466666642,-1.495533333333333,0.2633333333333333,asoc_knn_support_30seed,C:/Users/Ercan/Desktop/reinforcement/configs/approx_support/knn_support_30seed.yaml,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,0f8459261c4fed1e7039ea2905cfcde4d922ebed,1.4.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
ApplicationNavigation-deployment-goal-shift,knn_support_gate,603,12000,-8.453999999999999,0.16666666666666666,100.6,37.29384250000021,12000,719,17.903530099999898,19.39031240000031,0.7098465788564718,0.0,1.0,1.0,199.0,0.8333333333333334,0.24777777777777776,0.045833333333333316,0.4280555555555556,-0.12391666666666666,0.5666666666666667,0.3095238095238095,0.6904761904761904,0.0,,,0.3095238095238095,,858.8824444444443,806.6,199.0,995.0,8756.0,12000,-8.453999999999999,12000,1.491960841666658,-3.012933333333333,0.16333333333333333,asoc_knn_support_30seed,C:/Users/Ercan/Desktop/reinforcement/configs/approx_support/knn_support_30seed.yaml,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,0f8459261c4fed1e7039ea2905cfcde4d922ebed,1.4.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
ApplicationNavigation-deployment-goal-shift,knn_support_gate,604,12000,-5.623,0.26666666666666666,93.03333333333333,34.82219380000015,12000,719,17.714821100000336,17.107372699999814,0.7087865290602796,0.0,1.0,1.0,200.0,0.7333333333333333,0.1918421052631579,0.020043859649122805,0.5178070175438596,0.02304385964912281,0.5,0.35687830687830685,0.6431216931216931,0.0,,,0.35687830687830685,,833.8337096491229,803.625,200.0,1000.0,8800.0,12000,-5.623,12000,1.4762350916666946,-3.752433333333333,0.2433333333333333,asoc_knn_support_30seed,C:/Users/Ercan/Desktop/reinforcement/configs/approx_support/knn_support_30seed.yaml,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,0f8459261c4fed1e7039ea2905cfcde4d922ebed,1.4.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
ApplicationNavigation-deployment-goal-shift,knn_support_gate,605,12000,-5.878333333333333,0.23333333333333334,93.13333333333334,36.03001240000003,12000,719,17.490913499999806,18.539098900000223,0.7114467898923217,0.0,1.0,1.0,201.0,0.7666666666666667,0.16861111111111113,0.05555555555555555,0.3761111111111111,0.027111111111111138,0.3333333333333333,0.4761904761904761,0.5238095238095237,0.0,,,0.4761904761904761,,871.3219166666667,826.1999999999999,201.0,1005.0,8844.0,12000,-5.878333333333333,12000,1.457576124999984,-6.014366666666666,0.2066666666666667,asoc_knn_support_30seed,C:/Users/Ercan/Desktop/reinforcement/configs/approx_support/knn_support_30seed.yaml,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,0f8459261c4fed1e7039ea2905cfcde4d922ebed,1.4.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
ApplicationNavigation-deployment-goal-shift,knn_support_gate,606,12000,-4.680000000000001,0.4,77.93333333333334,34.21527040000001,12000,719,18.071934500000225,16.143335899999784,0.7072636688262869,0.0,1.0,1.0,197.0,0.6,0.20213980463980466,0.04826007326007324,0.4491483516483516,0.1529453601953602,0.43333333333333335,0.40462192569335426,0.5953780743066457,0.0,,,0.40462192569335426,,852.4908125763126,801.425,197.0,985.0,8668.0,12000,-4.680000000000001,12000,1.5059945416666853,-2.7820333333333327,0.3133333333333333,asoc_knn_support_30seed,C:/Users/Ercan/Desktop/reinforcement/configs/approx_support/knn_support_30seed.yaml,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,0f8459261c4fed1e7039ea2905cfcde4d922ebed,1.4.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
ApplicationNavigation-deployment-goal-shift,knn_support_gate,607,12000,-3.948,0.3333333333333333,89.26666666666667,36.4306875999996,12000,719,18.02452919999905,18.40615840000055,0.7084081388390032,0.0,1.0,1.0,198.0,0.6666666666666666,0.1762023823790681,0.040046039475267546,0.5853233174084319,0.09859861921342204,0.3333333333333333,0.4755853266068251,0.5244146733931747,0.0,,,0.4755853266068251,,863.2311991316022,818.775,198.0,990.0,8712.0,12000,-3.948,12000,1.502044099999921,-4.7948,0.2166666666666667,asoc_knn_support_30seed,C:/Users/Ercan/Desktop/reinforcement/configs/approx_support/knn_support_30seed.yaml,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,0f8459261c4fed1e7039ea2905cfcde4d922ebed,1.4.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
ApplicationNavigation-deployment-goal-shift,knn_support_gate,608,12000,-2.190666666666667,0.26666666666666666,89.1,31.716749400000023,12000,719,15.221476000000166,16.49527339999986,0.7112971342382973,0.0,1.0,1.0,199.0,0.7333333333333333,0.052777777777777764,0.03833333333333333,0.4477777777777778,0.16911111111111113,0.3,0.4999603174603174,0.5000396825396825,0.0,,,0.4999603174603174,,953.9742777777777,851.7,199.0,995.0,8756.0,12000,-2.190666666666667,12000,1.2684563333333472,-3.7802,0.21,asoc_knn_support_30seed,C:/Users/Ercan/Desktop/reinforcement/configs/approx_support/knn_support_30seed.yaml,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,0f8459261c4fed1e7039ea2905cfcde4d922ebed,1.4.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
ApplicationNavigation-deployment-goal-shift,knn_support_gate,609,12000,-1.784666666666666,0.3333333333333333,82.16666666666667,31.46344050000016,12000,719,15.405179700000645,16.058260799999516,0.7085343134056724,0.0,1.0,1.0,201.0,0.6666666666666666,0.05666666666666666,0.02611111111111111,0.5854761904761905,0.21811904761904763,0.3,0.49966931216931215,0.5003306878306878,0.0,,,0.49966931216931215,,1033.837253968254,855.0,201.0,1005.0,8844.0,12000,-1.784666666666666,12000,1.2837649750000537,-2.2001666666666666,0.2233333333333333,asoc_knn_support_30seed,C:/Users/Ercan/Desktop/reinforcement/configs/approx_support/knn_support_30seed.yaml,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,0f8459261c4fed1e7039ea2905cfcde4d922ebed,1.4.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
