environment,agent,metric,n_seeds,minimum,maximum,median,mad,skew,excess_kurtosis,catastrophic_low_outliers,catastrophic_high_outliers,heavy_tail_flag
CliffWalking-v1,count_gated_tau_20,return_auc,30,-439.125,-196.125,-439.125,0.0,0.7995232958415385,-0.4180487907662851,0,0,False
CliffWalking-v1,count_gated_tau_20,mean_return,30,-13.0,-13.0,-13.0,0.0,0.0,0.0,0,0,False
CliffWalking-v1,dqn,return_auc,30,-6687.5,-500.0,-500.0,0.0,-3.6599986856566966,12.206632653061222,0,0,True
CliffWalking-v1,dqn,mean_return,30,-500.0,-500.0,-500.0,0.0,0.0,0.0,0,0,False
CliffWalking-v1,fixed_hybrid,return_auc,30,-500.0,-196.125,-439.125,30.4375,1.3222978023838718,1.3114471545453839,0,0,False
CliffWalking-v1,fixed_hybrid,mean_return,30,-500.0,-13.0,-15.0,2.0,-1.111546729046759,-0.8239436522233166,8,0,True
CliffWalking-v1,random,return_auc,30,-5381.254166666667,-4463.608333333333,-4982.210416666667,106.4375,0.3512055743130109,0.8190818036272938,0,0,False
CliffWalking-v1,random,mean_return,30,-5403.266666666666,-4432.133333333333,-5019.933333333333,97.8166666666666,0.47939032616993776,0.18209986592492733,0,0,False
CliffWalking-v1,reliability_gated,return_auc,30,-1058.125,-196.625,-439.125,0.5,-3.1360543808046706,15.409229530148835,7,7,True
CliffWalking-v1,reliability_gated,mean_return,30,-500.0,-13.0,-15.0,2.0,-1.1115660919676313,-0.8239305324319748,8,0,True
CliffWalking-v1,tabular,return_auc,30,-996.0,-317.375,-439.125,0.0,-2.9613238251471685,11.019483715778877,1,0,True
CliffWalking-v1,tabular,mean_return,30,-13.0,-13.0,-13.0,0.0,0.0,0.0,0,0,False
FourRooms-7-unseen-goals,count_gated_tau_20,return_auc,30,-1.8487222222222233,-1.4842222222222232,-1.6610833333333344,0.06533333333333324,0.03459058554043521,-0.426474787932527,0,0,False
FourRooms-7-unseen-goals,count_gated_tau_20,mean_return,30,-1.9766666666666677,-1.1933333333333342,-1.6578333333333344,0.1443333333333333,0.43302908789221184,-0.46863196148677755,0,0,False
FourRooms-7-unseen-goals,dqn,return_auc,30,-1.8553333333333346,-1.3982222222222231,-1.6433055555555567,0.07513888888888887,0.1350771862099027,-0.33301928447468887,0,0,False
