environment,metric,left,right,n_pairs,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,cohen_dz,rank_biserial,paired_t_p,wilcoxon_p,sign_test_p,wins,losses,ties,win_rate_non_ties,contrast,paired_t_holm_p,wilcoxon_holm_p,sign_test_holm_p
CliffWalking-v1,return_auc,count_gated_tau_20,dqn,30,542.1666666666666,121.5,117.575,1164.925,0.34539706005099874,1.0,0.06853951863913732,1.1590264878719208e-06,1.862645149230957e-09,30,0,0,1.0,count_vs_dqn,0.7539347050305105,1.8544423805950732e-05,2.9802322387695312e-08
FourRooms-7-unseen-goals,return_auc,count_gated_tau_20,dqn,30,-0.02901851851851843,-0.04541666666666655,-0.058739074074073985,0.0018281944444445192,-0.3324843622954174,-0.38064516129032255,0.07892538070750435,0.06989291124045849,0.042773945257067694,9,21,0,0.3,count_vs_dqn,0.7892538070750434,0.6290362011641264,0.38496550731360923
FourRooms-9-slip-unseen-goals,return_auc,count_gated_tau_20,dqn,30,-0.03318888888888893,-0.0328666666666666,-0.08840788888888892,0.02456149999999984,-0.2046291394444557,-0.2645161290322581,0.2715690097300873,0.21293285302817822,0.20048842206597334,11,19,0,0.36666666666666664,count_vs_dqn,1.0,1.0,1.0
FrozenLake-v1,return_auc,count_gated_tau_20,dqn,30,0.3070833333333333,0.3062500000000001,0.2648611111111111,0.3506944444444444,2.5234756425317486,1.0,2.7173261362992076e-14,1.733306644199106e-06,1.862645149230957e-09,30,0,0,1.0,count_vs_dqn,4.347721818078732e-13,2.599959966298659e-05,2.9802322387695312e-08
CliffWalking-v1,return_auc,count_gated_tau_20,fixed_hybrid,30,44.7,30.9375,16.291458333333335,73.01666666666667,0.5507653610009141,0.7166666666666667,0.005274960924113763,0.0020793209339760093,0.001543879508972168,20,4,6,0.8333333333333334,count_vs_fixed,0.06857449201347893,0.020793209339760095,0.01543879508972168
FourRooms-7-unseen-goals,return_auc,count_gated_tau_20,fixed_hybrid,30,-0.019687037037037017,-0.029916666666666814,-0.05354879629629629,0.01466189814814815,-0.20232379827890803,-0.2645161290322581,0.2768936303920045,0.21293285302817822,0.5846647117286922,13,17,0,0.43333333333333335,count_vs_fixed,1.0,1.0,1.0
FourRooms-9-slip-unseen-goals,return_auc,count_gated_tau_20,fixed_hybrid,30,-0.005414444444444447,0.0011166666666666547,-0.07086486111111122,0.06065561111111109,-0.028742334378825743,-0.02795698924731183,0.8759983589794605,0.9032264724373817,1.0,15,15,0,0.5,count_vs_fixed,1.0,1.0,1.0
FrozenLake-v1,return_auc,count_gated_tau_20,fixed_hybrid,30,0.026805555555555572,0.010416666666666713,-0.019305555555555517,0.07402777777777776,0.2001426974792876,0.19770114942528735,0.2819998381102175,0.352447719781107,0.711071103811264,16,13,1,0.5517241379310345,count_vs_fixed,1.0,1.0,1.0
CliffWalking-v1,return_auc,reliability_gated,dqn,30,468.73333333333335,60.875,29.570833333333333,1105.7454166666664,0.29421473357705946,0.8533333333333334,0.11790701046468292,0.00023121658487417488,2.9802322387695312e-06,23,1,6,0.9583333333333334,reliability_vs_dqn,1.0,0.0027745990184900983,3.8743019104003906e-05
FourRooms-7-unseen-goals,return_auc,reliability_gated,dqn,30,-0.025096296296296297,-0.035083333333333355,-0.0606927777777778,0.010091064814814836,-0.2522064706417697,-0.24301075268817204,0.17771012544473694,0.25343610532581806,0.36159460805356514,12,18,0,0.4,reliability_vs_dqn,1.0,1.0,1.0
FourRooms-9-slip-unseen-goals,return_auc,reliability_gated,dqn,30,-0.019548888888888897,0.03156666666666652,-0.08174925000000004,0.04006630555555564,-0.11170024829714607,-0.07526881720430108,0.5454322111161951,0.7303419969975948,0.8555355519056321,16,14,0,0.5333333333333333,reliability_vs_dqn,1.0,1.0,1.0
FrozenLake-v1,return_auc,reliability_gated,dqn,30,0.17875,0.19999999999999998,0.13041666666666665,0.22486111111111112,1.345283298505612,0.946236559139785,4.060937628241631e-08,6.03173161282016e-06,8.67992639541626e-07,28,2,0,0.9333333333333333,reliability_vs_dqn,6.091406442362447e-07,8.444424257948224e-05,1.2151896953582764e-05
CliffWalking-v1,return_auc,reliability_gated,count_gated_tau_20,30,-73.43333333333334,-1.0,-124.88875,-32.625,-0.5501082289574052,-0.7777777777777778,0.005322638697413898,0.00040366173356368536,0.000310748815536499,4,23,3,0.14814814814814814,reliability_vs_count,0.06857449201347893,0.004440279069200539,0.0034182369709014893
FourRooms-7-unseen-goals,return_auc,reliability_gated,count_gated_tau_20,30,0.003922222222222131,-0.022333333333333316,-0.035306296296296405,0.043442777777777726,0.034626427827385065,-0.015053763440860216,0.8508993559595422,0.9515264742076397,0.36159460805356514,12,18,0,0.4,reliability_vs_count,1.0,1.0,1.0
FourRooms-9-slip-unseen-goals,return_auc,reliability_gated,count_gated_tau_20,30,0.01364000000000003,-0.023533333333333406,-0.05307269444444434,0.08178950000000008,0.0707916284528564,0.02795698924731183,0.701038663351246,0.9032264724373817,0.8555355519056321,14,16,0,0.4666666666666667,reliability_vs_count,1.0,1.0,1.0
FrozenLake-v1,return_auc,reliability_gated,count_gated_tau_20,30,-0.12833333333333333,-0.13749999999999996,-0.1747222222222222,-0.08222222222222225,-0.9766321260734115,-0.8408602150537634,9.61174241869985e-06,1.0609626770019531e-05,8.430331945419312e-06,3,27,0,0.1,reliability_vs_count,0.00013456439386179788,0.0001379251480102539,0.00010116398334503174
