environment,agent,metric,n_seeds,mean,std,median,q25,q75,t_ci_low,t_ci_high,bootstrap_ci_low,bootstrap_ci_high
CliffWalking-v1,count_gated_tau_20,mean_return,30,-13.0,0.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0
CliffWalking-v1,count_gated_tau_20,success_rate,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CliffWalking-v1,count_gated_tau_20,return_auc,30,-370.3333333333333,82.34816444087632,-439.125,-439.125,-317.375,-401.0826432863217,-339.58402338034495,-398.625,-341.875
CliffWalking-v1,count_gated_tau_20,success_rate_auc,30,0.26666666666666666,0.16972763848109068,0.125,0.125,0.375,0.20328932488036716,0.33004400845296616,0.20833333333333334,0.325
CliffWalking-v1,count_gated_tau_20,seconds_per_1000_steps,30,1.2801647993340155,0.03131838343594728,1.2799424250028095,1.2575471300049683,1.2973782125089202,1.2684703227656895,1.2918592759023415,1.2692811396424566,1.2911942583520821
CliffWalking-v1,count_gated_tau_20,gradient_updates,30,610.0,0.0,610.0,610.0,610.0,610.0,610.0,610.0,610.0
CliffWalking-v1,count_gated_tau_20,mean_gate,30,0.8693073019428602,0.0027089980008045884,0.869538291166212,0.867205515069138,0.8707483685267083,0.8682957454648944,0.870318858420826,0.8683582008161717,0.8702699742436718
CliffWalking-v1,count_gated_tau_20,global_tabular_error,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CliffWalking-v1,count_gated_tau_20,global_neural_error,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CliffWalking-v1,count_gated_tau_20,visited_states,30,37.0,0.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
CliffWalking-v1,dqn,mean_return,30,-500.0,0.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0
CliffWalking-v1,dqn,success_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CliffWalking-v1,dqn,return_auc,30,-912.5,1569.8190649089863,-500.0,-500.0,-500.0,-1498.6800724368777,-326.3199275631223,-1531.25,-500.0
CliffWalking-v1,dqn,success_rate_auc,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CliffWalking-v1,dqn,seconds_per_1000_steps,30,0.5698523250008779,0.015729855794896195,0.5715482500003417,0.5602305474996683,0.5784188699937658,0.5639787003167437,0.5757259496850121,0.5643143262089675,0.5752900131250207
CliffWalking-v1,dqn,gradient_updates,30,610.0,0.0,610.0,610.0,610.0,610.0,610.0,610.0,610.0
CliffWalking-v1,fixed_hybrid,mean_return,30,-143.73333333333332,218.51314697815974,-15.0,-379.25,-13.0,-225.32748337730285,-62.139183289363785,-224.63333333333333,-78.53333333333333
CliffWalking-v1,fixed_hybrid,success_rate,30,0.7333333333333333,0.44977644510880366,1.0,0.25,1.0,0.5653840485604633,0.9012826181062032,0.5666666666666667,0.8666666666666667
CliffWalking-v1,fixed_hybrid,return_auc,30,-415.03333333333336,83.72687491679918,-439.125,-439.625,-393.84375,-446.297462238844,-383.76920442782273,-443.34166666666664,-384.6375
CliffWalking-v1,fixed_hybrid,success_rate_auc,30,0.175,0.17245689116513965,0.125,0.125,0.21875,0.11060353851271307,0.2393964614872869,0.11666666666666667,0.2375
CliffWalking-v1,fixed_hybrid,seconds_per_1000_steps,30,1.297611234333987,0.04564802028302341,1.2878399650013308,1.260323320001771,1.3358430175008835,1.2805659834294478,1.314656485238526,1.2820771567168314,1.3134323916992674
CliffWalking-v1,fixed_hybrid,gradient_updates,30,610.0,0.0,610.0,610.0,610.0,610.0,610.0,610.0,610.0
CliffWalking-v1,fixed_hybrid,mean_gate,30,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
CliffWalking-v1,fixed_hybrid,global_tabular_error,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
