environment,metric,left,right,n_pairs,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,cohen_dz,rank_biserial,paired_t_p,wilcoxon_p,sign_test_p,wins,losses,ties,difference_skew,difference_excess_kurtosis,catastrophic_low_outliers,catastrophic_high_outliers,win_rate_non_ties,contrast,paired_t_holm_p,wilcoxon_holm_p,sign_test_holm_p,analysis_status
CliffWalking-v1,return_auc,count_gated_tau_20,validated_dqn,30,143.3277777777778,81.16666666666669,113.61111111111111,173.08888888888893,1.699563477252061,1.0,3.2656346575050757e-10,1.312743262007031e-06,3.725290298461914e-09,29,0,1,0.30644517860316023,-1.7638268097875507,0,0,1.0,count_vs_validated_dqn,6.5312693150101514e-09,2.625486524014062e-05,7.450580596923828e-08,confirmatory_task_expansion
FourRooms-11-slip-unseen-goals,return_auc,count_gated_tau_20,validated_dqn,30,0.06466522633744859,0.0761574074074074,0.011763266460905255,0.11678235082304554,0.4360910526548657,0.43655913978494626,0.02364342561005343,0.036434996873140335,0.09873714670538905,20,10,0,-0.047986850738051555,-0.2183305938341591,0,0,0.6666666666666666,count_vs_validated_dqn,0.35465138415080144,0.5100899562239647,1.0,confirmatory_task_expansion
FourRooms-7-unseen-goals,return_auc,count_gated_tau_20,validated_dqn,30,-0.019344444444444445,-0.03132575757575762,-0.05155363636363637,0.014441969696969722,-0.2029359710865218,-0.2731182795698925,0.27547245135564935,0.19807579927146435,0.36159460805356514,12,18,0,0.7004396750893422,0.6163589992243037,0,0,0.4,count_vs_validated_dqn,1.0,1.0,1.0,confirmatory_task_expansion
FourRooms-9-slip-unseen-goals,return_auc,count_gated_tau_20,validated_dqn,30,0.03790146198830405,0.04721491228070218,-0.01722807748538011,0.09074532163742687,0.24792230778370136,0.32903225806451614,0.18495939569967426,0.11907656863331795,0.36159460805356514,18,12,0,-0.4417450221506551,0.7525991414663453,0,0,0.6,count_vs_validated_dqn,1.0,1.0,1.0,confirmatory_task_expansion
FrozenLake-4x4-slippery,return_auc,count_gated_tau_20,validated_dqn,30,0.3164814814814815,0.33333333333333337,0.26758796296296294,0.3653703703703704,2.2725333565226937,1.0,3.705967173896012e-13,1.7311263949197286e-06,1.862645149230957e-09,30,0,0,-0.43546533600531634,-0.48564717679657665,0,0,1.0,count_vs_validated_dqn,7.782531065181626e-12,3.289140150347484e-05,5.21540641784668e-08,confirmatory_task_expansion
FrozenLake-8x8-slippery,return_auc,count_gated_tau_20,validated_dqn,30,0.027063492063492057,0.008333333333333335,0.014125,0.04134920634920634,0.6925069518611172,0.8181818181818182,0.0006996715118516668,0.0007763817259723221,0.01690053939819336,17,5,8,1.1654609026024352,0.056765219543776446,0,3,0.7727272727272727,count_vs_validated_dqn,0.012594087213330002,0.013974871067501797,0.27040863037109375,confirmatory_task_expansion
Taxi-v3-compatible,return_auc,count_gated_tau_20,validated_dqn,30,-11.885714285714284,-4.242857142857147,-23.865875000000006,-0.2649107142857151,-0.35518215021783023,-0.6608187134502924,0.061476835708787994,0.013848138869056687,0.001312255859375,2,16,12,-0.7360783682007209,2.5008633359969137,4,2,0.1111111111111111,count_vs_validated_dqn,0.860675699923032,0.2077220830358503,0.02362060546875,confirmatory_task_expansion
CliffWalking-v1,return_auc,count_gated_tau_20,tabular,30,29.690555555555548,0.0,-34.71625462962962,98.15681481481481,0.1592100097503454,0.25333333333333335,0.3903552629247797,0.27127921886948037,0.8388197422027588,13,11,6,0.7319138426452604,0.18278564477743764,0,0,0.5416666666666666,count_vs_tabular,1.0,1.0,1.0,confirmatory_task_expansion
FourRooms-11-slip-unseen-goals,return_auc,count_gated_tau_20,tabular,30,-1.5837512345679026,-1.565302469135804,-1.6383263786008246,-1.5297963940329233,-10.353214533900509,-1.0,2.89478566117637e-31,1.862645149230957e-09,1.862645149230957e-09,0,30,0,0.06051568569917317,-0.7724549327682029,0,0,0.0,count_vs_tabular,8.105399851293836e-30,5.21540641784668e-08,5.21540641784668e-08,confirmatory_task_expansion
FourRooms-7-unseen-goals,return_auc,count_gated_tau_20,tabular,30,-1.1486944444444447,-1.1399621212121218,-1.1974941161616166,-1.1026072727272729,-8.471804648401456,-1.0,9.13430466946308e-29,1.862645149230957e-09,1.862645149230957e-09,0,30,0,-0.34274303844255377,0.060790982034827135,0,0,0.0,count_vs_tabular,2.3749192140604006e-27,5.21540641784668e-08,5.21540641784668e-08,confirmatory_task_expansion
FourRooms-9-slip-unseen-goals,return_auc,count_gated_tau_20,tabular,30,-1.231175438596491,-1.239473684210526,-1.2923821564327482,-1.1685988888888887,-6.935411393277501,-1.0,2.761557297954657e-26,1.862645149230957e-09,1.862645149230957e-09,0,30,0,0.10132294964441735,-0.5412597329280056,0,0,0.0,count_vs_tabular,6.351581785295711e-25,5.21540641784668e-08,5.21540641784668e-08,confirmatory_task_expansion
FrozenLake-4x4-slippery,return_auc,count_gated_tau_20,tabular,30,0.030740740740740735,0.05833333333333324,-0.018337962962962983,0.0772268518518518,0.22560282657005754,0.32413793103448274,0.22649498277735158,0.12734430497320073,0.13604594767093658,19,10,1,-0.6714770828329876,0.224169882370715,0,0,0.6551724137931034,count_vs_tabular,1.0,1.0,1.0,confirmatory_task_expansion
FrozenLake-8x8-slippery,return_auc,count_gated_tau_20,tabular,30,0.03166666666666667,0.011904761904761904,0.011746031746031749,0.05285714285714285,0.5468129912007148,0.645320197044335,0.0055679578287901495,0.002848447685069183,0.03569813817739487,20,8,2,0.614450285363041,1.002039820633236,0,0,0.7142857142857143,count_vs_tabular,0.09465528308943254,0.04842361064617611,0.535472072660923,confirmatory_task_expansion
Taxi-v3-compatible,return_auc,count_gated_tau_20,tabular,30,154.37880952380957,151.41666666666666,135.75502976190478,173.0038234126984,2.9035483964351685,1.0,7.361586573658465e-16,1.862645149230957e-09,1.862645149230957e-09,30,0,0,0.10173022083227658,0.0778626975385599,0,0,1.0,count_vs_tabular,1.6195490462048622e-14,5.21540641784668e-08,5.21540641784668e-08,confirmatory_task_expansion
CliffWalking-v1,return_auc,count_gated_tau_20,fixed_hybrid,30,109.27777777777779,1.0,34.77166666666668,199.40013888888885,0.46060276160903896,0.6676923076923077,0.01738199666136008,0.003477407264536635,0.004077315330505371,20,5,5,2.2902319366010473,6.200857139443917,0,2,0.8,count_vs_fixed,0.2781119465817613,0.05563851623258616,0.06931436061859131,confirmatory_task_expansion
FourRooms-11-slip-unseen-goals,return_auc,count_gated_tau_20,fixed_hybrid,30,0.030588888888888808,0.015919753086419464,-0.030243755144033033,0.0925376748971192,0.17499874177792654,0.17419354838709677,0.34573036742889596,0.4161298982799053,0.36159460805356514,18,12,0,0.3612607233678022,-0.48165093284986815,0,0,0.6,count_vs_fixed,1.0,1.0,1.0,confirmatory_task_expansion
FourRooms-7-unseen-goals,return_auc,count_gated_tau_20,fixed_hybrid,30,0.0017479797979797595,-0.01573484848484863,-0.03151026515151523,0.03523808080808075,0.018376232596838404,-0.015053763440860216,0.9205203329396726,0.9515264742076397,0.8555355519056321,14,16,0,0.3852587167371975,-0.41658354268435094,0,0,0.4666666666666667,count_vs_fixed,1.0,1.0,1.0,confirmatory_task_expansion
FourRooms-9-slip-unseen-goals,return_auc,count_gated_tau_20,fixed_hybrid,30,0.004431286549707562,0.002285087719297918,-0.05389899122807027,0.058832127192982434,0.027563071862341616,0.09247311827956989,0.8810453000348358,0.6701805889606476,1.0,15,15,0,-0.9061160290449868,0.5417134976913691,0,0,0.5,count_vs_fixed,1.0,1.0,1.0,confirmatory_task_expansion
FrozenLake-4x4-slippery,return_auc,count_gated_tau_20,fixed_hybrid,30,0.04685185185185182,0.0805555555555556,-0.00018518518518520125,0.09388888888888886,0.34964162770742196,0.3870967741935484,0.06539389086887358,0.06411270156219707,0.20048842206597334,19,11,0,-0.3352022381977865,-0.7242776102072535,0,0,0.6333333333333333,count_vs_fixed,0.860675699923032,0.769352418746365,1.0,confirmatory_task_expansion
FrozenLake-8x8-slippery,return_auc,count_gated_tau_20,fixed_hybrid,30,0.005714285714285716,0.0,-0.0071448412698412655,0.01746031746031746,0.16189426593341763,0.3438735177865613,0.3825183673574046,0.1578198894923748,0.5234670639038086,13,9,8,-0.5520901691625154,2.923698813469901,2,2,0.5909090909090909,count_vs_fixed,1.0,1.0,1.0,confirmatory_task_expansion
Taxi-v3-compatible,return_auc,count_gated_tau_20,fixed_hybrid,30,2.8364285714285766,0.0,-0.16357142857142157,5.6914464285714335,0.33639263809138364,0.4805194805194805,0.07564809616239518,0.05361624341366432,0.18924713134765625,14,7,9,-0.44101364103173146,1.6720094233459095,0,0,0.6666666666666666,count_vs_fixed,0.9077771539487421,0.6970111643776361,1.0,confirmatory_task_expansion
CliffWalking-v1,return_auc,support_abstain_tau_20,count_gated_tau_20,30,-24.916666666666668,0.0,-96.14027777777778,26.80027777777777,-0.14317286130418644,-0.21904761904761905,0.4392873826472565,0.46758353538825237,0.4239501953125,5,9,16,-3.46902588737061,15.908246032157528,5,5,0.35714285714285715,support_abstain_vs_count,1.0,1.0,1.0,confirmatory_task_expansion
FourRooms-11-slip-unseen-goals,return_auc,support_abstain_tau_20,count_gated_tau_20,30,1.56117510288066,1.558030864197533,1.5056402417695491,1.619581666666668,9.574694477758422,1.0,2.7350414031327164e-30,1.862645149230957e-09,1.862645149230957e-09,30,0,0,0.09921908483044556,-0.407144987728719,0,0,1.0,support_abstain_vs_count,7.384611788458334e-29,5.21540641784668e-08,5.21540641784668e-08,confirmatory_task_expansion
FourRooms-7-unseen-goals,return_auc,support_abstain_tau_20,count_gated_tau_20,30,1.16434595959596,1.1568787878787883,1.115944330808081,1.215432436868687,8.186166756984678,1.0,2.4372080389893974e-28,1.862645149230957e-09,1.862645149230957e-09,30,0,0,0.41814772669995753,-0.44441232866287805,0,0,1.0,support_abstain_vs_count,5.849299293574554e-27,5.21540641784668e-08,5.21540641784668e-08,confirmatory_task_expansion
FourRooms-9-slip-unseen-goals,return_auc,support_abstain_tau_20,count_gated_tau_20,30,1.2425187134502922,1.1918289473684212,1.1912265716374266,1.2934425584795322,8.420336563277456,1.0,1.087502926935595e-28,1.862645149230957e-09,1.862645149230957e-09,30,0,0,0.2922937427797758,-1.0870103152998771,0,0,1.0,support_abstain_vs_count,2.7187573173389875e-27,5.21540641784668e-08,5.21540641784668e-08,confirmatory_task_expansion
FrozenLake-4x4-slippery,return_auc,support_abstain_tau_20,count_gated_tau_20,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,30,0.0,0.0,0,0,0.5,support_abstain_vs_count,1.0,1.0,1.0,confirmatory_task_expansion
FrozenLake-8x8-slippery,return_auc,support_abstain_tau_20,count_gated_tau_20,30,0.00492063492063492,0.0011904761904761906,-0.01468253968253968,0.025158730158730158,0.08533338608048076,0.10846560846560846,0.6437138261712776,0.6223445441469178,0.7011080384254456,15,12,3,0.015126434934564047,1.104476474219613,0,0,0.5555555555555556,support_abstain_vs_count,1.0,1.0,1.0,confirmatory_task_expansion
Taxi-v3-compatible,return_auc,support_abstain_tau_20,count_gated_tau_20,30,-35.203650793650795,-36.54642857142858,-44.668113095238105,-25.537134920634916,-1.28899747198658,-0.9268817204301075,9.125622066377922e-08,3.855675458908081e-07,8.430331945419312e-06,3,27,0,0.23262334005781346,0.9670775538998364,0,0,0.1,support_abstain_vs_count,1.7338681926118052e-06,8.09691846370697e-06,0.00016017630696296692,confirmatory_task_expansion
