environment,agent,metric,n_seeds,mean,std,median,q25,q75,t_ci_low,t_ci_high,bootstrap_ci_low,bootstrap_ci_high
CliffWalking-v1,count_gated_tau_20,mean_return,30,-29.233333333333334,88.91362850167195,-13.0,-13.0,-13.0,-62.43422785728755,3.9675611906208843,-61.7,-13.0
CliffWalking-v1,count_gated_tau_20,success_rate,30,0.9666666666666667,0.18257418583505536,1.0,1.0,1.0,0.8984923452622432,1.03484098807109,0.9,1.0
CliffWalking-v1,count_gated_tau_20,return_auc,30,-356.6722222222222,84.3321121547736,-418.8333333333333,-418.8333333333333,-256.5,-388.16235042658707,-325.18209401785737,-386.3888888888889,-326.91111111111115
CliffWalking-v1,count_gated_tau_20,success_rate_auc,30,0.2944444444444444,0.17333407014284893,0.16666666666666666,0.16666666666666666,0.5,0.22972043894384564,0.35916844994504316,0.23333333333333336,0.35555555555555546
CliffWalking-v1,count_gated_tau_20,seconds_per_1000_steps,30,1.2596682943332902,0.20567463835932218,1.1701865399998497,1.1044039224997504,1.4119250125002507,1.1828681221944164,1.336468466472164,1.1918534996001169,1.3349935996499365
CliffWalking-v1,count_gated_tau_20,gradient_updates,30,594.0,0.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0
CliffWalking-v1,count_gated_tau_20,mean_gate,30,0.8674534716771226,0.002410133263319923,0.8674281310905942,0.8660758499291126,0.8685442460125231,0.8665535131261941,0.8683534302280511,0.8665852040238319,0.8682819454116616
CliffWalking-v1,count_gated_tau_20,support_abstention_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CliffWalking-v1,count_gated_tau_20,global_tabular_error,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CliffWalking-v1,count_gated_tau_20,global_neural_error,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CliffWalking-v1,count_gated_tau_20,visited_states,30,37.0,0.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
CliffWalking-v1,fixed_hybrid,mean_return,30,-192.43333333333334,238.02675644055057,-15.0,-500.0,-13.0,-281.31398490086053,-103.55268176580614,-273.53333333333336,-111.4
CliffWalking-v1,fixed_hybrid,success_rate,30,0.6333333333333333,0.4901325178535609,1.0,0.0,1.0,0.45031484334211463,0.8163518233245519,0.4666666666666667,0.8
CliffWalking-v1,fixed_hybrid,return_auc,30,-465.95,216.40266033130797,-419.1666666666667,-500.0,-418.8333333333333,-546.7560813784891,-385.1439186215109,-551.9944444444444,-402.80000000000007
