algorithm,environment,training_seed,return_auc,normalized_return_auc
CrossQ,HalfCheetah-v5,22000,406446889.3246817,8128.937786493634
CrossQ,HalfCheetah-v5,22001,110623355.37937625,2212.467107587525
CrossQ,HalfCheetah-v5,22002,263170156.63061884,5263.403132612377
CrossQ,HalfCheetah-v5,22003,262232868.45163265,5244.657369032653
CrossQ,HalfCheetah-v5,22004,288309459.6824721,5766.189193649442
CrossQ,Walker2d-v5,22000,191429944.08488527,3828.5988816977056
CrossQ,Walker2d-v5,22001,82660835.07417239,1653.2167014834479
CrossQ,Walker2d-v5,22002,168165410.78406513,3363.3082156813025
CrossQ,Walker2d-v5,22003,140611143.6095416,2812.222872190832
CrossQ,Walker2d-v5,22004,61533041.236310564,1230.6608247262113
SAC,HalfCheetah-v5,22000,171591017.93637937,3431.8203587275875
SAC,HalfCheetah-v5,22001,60294113.5778201,1205.882271556402
SAC,HalfCheetah-v5,22002,56470424.22795216,1129.4084845590432
SAC,HalfCheetah-v5,22003,183278754.00947636,3665.5750801895274
SAC,HalfCheetah-v5,22004,178740872.5395066,3574.817450790132
SAC,Walker2d-v5,22000,24138449.627938263,482.76899255876526
SAC,Walker2d-v5,22001,22780564.87788517,455.6112975577034
SAC,Walker2d-v5,22002,58704409.1896121,1174.088183792242
SAC,Walker2d-v5,22003,22094021.901936527,441.8804380387306
SAC,Walker2d-v5,22004,37374779.23697535,747.495584739507
TQC,HalfCheetah-v5,22000,193383331.6182158,3867.666632364316
TQC,HalfCheetah-v5,22001,181360618.70196626,3627.212374039325
TQC,HalfCheetah-v5,22002,50864770.73012799,1017.2954146025598
TQC,HalfCheetah-v5,22003,167841732.18273994,3356.834643654799
TQC,HalfCheetah-v5,22004,192988688.7601122,3859.773775202244
TQC,Walker2d-v5,22000,40838285.18885052,816.7657037770105
TQC,Walker2d-v5,22001,38459924.94613514,769.1984989227028
TQC,Walker2d-v5,22002,45354526.91814858,907.0905383629715
TQC,Walker2d-v5,22003,37809939.99982965,756.198799996593
TQC,Walker2d-v5,22004,20875166.140144255,417.5033228028851
