mapping_family,candidate_id,environment,environment_mean_primary_metric,environment_rank,mean_environment_rank,worst_environment_rank,median_latency_ns,selected,selection_order_within_family
crisp,crisp_s030_r030,Reviewer1-localized-reward-shift-mapping-development,1.9555449999999996,1.0,2.3333333333333335,4.0,11468.96,False,2
crisp,crisp_s030_r030,Reviewer1-observation-shift-mapping-development,-2.2186500000000007,4.0,2.3333333333333335,4.0,11468.96,False,2
crisp,crisp_s030_r030,Reviewer1-transition-dynamics-shift-mapping-development,-1.8338850000000004,2.0,2.3333333333333335,4.0,11468.96,False,2
crisp,crisp_s030_r070,Reviewer1-localized-reward-shift-mapping-development,-1.5442399999999998,3.5,2.8333333333333335,3.5,11510.045,False,3
crisp,crisp_s030_r070,Reviewer1-observation-shift-mapping-development,-2.0812250000000008,1.5,2.8333333333333335,3.5,11510.045,False,3
crisp,crisp_s030_r070,Reviewer1-transition-dynamics-shift-mapping-development,-1.9444150000000004,3.5,2.8333333333333335,3.5,11510.045,False,3
crisp,crisp_s070_r030,Reviewer1-localized-reward-shift-mapping-development,1.4591699999999996,2.0,2.0,3.0,11445.425,True,1
crisp,crisp_s070_r030,Reviewer1-observation-shift-mapping-development,-2.0980000000000003,3.0,2.0,3.0,11445.425,True,1
crisp,crisp_s070_r030,Reviewer1-transition-dynamics-shift-mapping-development,-1.703375,1.0,2.0,3.0,11445.425,True,1
crisp,crisp_s070_r070,Reviewer1-localized-reward-shift-mapping-development,-1.5442399999999998,3.5,2.8333333333333335,3.5,11533.615,False,4
crisp,crisp_s070_r070,Reviewer1-observation-shift-mapping-development,-2.0812250000000008,1.5,2.8333333333333335,3.5,11533.615,False,4
crisp,crisp_s070_r070,Reviewer1-transition-dynamics-shift-mapping-development,-1.9444150000000004,3.5,2.8333333333333335,3.5,11533.615,False,4
fuzzy,fuzzy_shoulder_balanced,Reviewer1-localized-reward-shift-mapping-development,0.6985899999999994,4.0,2.3333333333333335,4.0,56116.12,False,2
fuzzy,fuzzy_shoulder_balanced,Reviewer1-observation-shift-mapping-development,-2.0380750000000005,2.0,2.3333333333333335,4.0,56116.12,False,2
fuzzy,fuzzy_shoulder_balanced,Reviewer1-transition-dynamics-shift-mapping-development,-1.8134450000000002,1.0,2.3333333333333335,4.0,56116.12,False,2
fuzzy,fuzzy_shoulder_wide,Reviewer1-localized-reward-shift-mapping-development,0.8826099999999993,2.0,3.3333333333333335,4.0,56421.665,False,4
fuzzy,fuzzy_shoulder_wide,Reviewer1-observation-shift-mapping-development,-2.0840050000000003,4.0,3.3333333333333335,4.0,56421.665,False,4
fuzzy,fuzzy_shoulder_wide,Reviewer1-transition-dynamics-shift-mapping-development,-1.9051000000000005,4.0,3.3333333333333335,4.0,56421.665,False,4
fuzzy,fuzzy_triangular_balanced,Reviewer1-localized-reward-shift-mapping-development,0.9588299999999993,1.0,1.3333333333333333,2.0,99005.385,True,1
fuzzy,fuzzy_triangular_balanced,Reviewer1-observation-shift-mapping-development,-2.0297150000000004,1.0,1.3333333333333333,2.0,99005.385,True,1
fuzzy,fuzzy_triangular_balanced,Reviewer1-transition-dynamics-shift-mapping-development,-1.8209650000000004,2.0,1.3333333333333333,2.0,99005.385,True,1
fuzzy,fuzzy_triangular_conservative,Reviewer1-localized-reward-shift-mapping-development,0.8372749999999993,3.0,3.0,3.0,99180.515,False,3
fuzzy,fuzzy_triangular_conservative,Reviewer1-observation-shift-mapping-development,-2.0498000000000003,3.0,3.0,3.0,99180.515,False,3
fuzzy,fuzzy_triangular_conservative,Reviewer1-transition-dynamics-shift-mapping-development,-1.8266850000000001,3.0,3.0,3.0,99180.515,False,3
