environment,agent,seed,checkpoint,mean_return,success_rate,mean_length,elapsed_seconds,environment_steps,gradient_updates,training_loss_mean,training_loss_max,nonfinite_loss_count,completed_checkpoint_count,expected_checkpoint_count,training_elapsed_seconds,evaluation_elapsed_seconds,mean_gate,support_abstention_rate,global_tabular_error,global_neural_error,visited_states,failure_rate,collision_rate,risk_zone_rate,idle_rate,risk_adjusted_score,localization_error_mean,sensor_dropout_rate,camera_visible_rate,motor_saturation_rate,unsupported_state_ratio,memory_branch_usage_ratio,neural_branch_usage_ratio,abstention_ratio,adaptive_alpha_mean,adaptive_alpha_iqr,support_score_mean,uncertainty_score_mean,exact_support_coverage,approximate_support_coverage,fuzzy_gate_active_rate,neural_only_fallback_rate,out_of_fuzzy_support_count,out_of_fuzzy_support_ratio,inference_time_us_per_decision_mean,inference_time_us_per_decision_median,memory_cost_states,memory_cost_entries,memory_cost_bytes_estimated,eval_checkpoint,eval_return,train_steps,seconds_per_1000_steps,return_auc,success_rate_auc,experiment_name,config_file,environment_id,resolved_environment_id,observation_representation,git_commit_hash,package_version,python_version,torch_version,numpy_version,gymnasium_version,minigrid_version,gym_pybullet_drones_version,pybullet_version
ReliabilityShift-boundary-020-independent-calibration,relative_reliability_fuzzy,12090,4000,0.8292682926829268,0.9146341463414634,1.0,18.12047799996799,4000,243,0.2266629459987942,0.539757490158081,0,16,16,14.386887800123077,3.733590199844912,0.4669000396932262,0.0,0.2853691,0.1666285200237081,41.0,0.08536585365853659,0.0,0.0,0.0,0.9146341463414634,,0.0,0.0,,0.0,0.48611203128569536,0.5138879687143045,0.0,0.48611203128569536,0.0,0.9920436690179071,0.3678794411714423,1.0,1.0,1.0,0.0,0.0,0.0,1167.5878048780487,1080.5500000000002,41.0,82.0,820.0,4000,0.8292682926829268,4000,3.596721950030769,0.7666666666666667,0.8833333333333333,reviewer1_reliability_calibration_independent_focal_instrumentation_rerun,configs/reviewer1_remaining/reliability_calibration/independent_focal_instrumentation_rerun.yaml,ReliabilityShiftBandit-v0,ReliabilityShiftBandit-v0,native_gymnasium_observation,a67fc3ee77138f2cdbb6163552ba1efd5c8f672a,1.8.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ReliabilityShift-boundary-020-independent-calibration,relative_reliability_fuzzy,12091,4000,1.0,1.0,1.0,18.347819500020705,4000,243,0.2137276530112504,0.5092365741729736,0,16,16,14.697548700030891,3.650270799989812,0.4677439117364301,0.0,0.25449777,0.2327626607701019,41.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,,0.0,0.48799293891458484,0.512007061085415,0.0,0.48799293891458484,0.0,0.9919064731707303,0.3678794411714423,1.0,1.0,1.0,0.0,0.0,0.0,1374.5170731707317,1129.75,41.0,82.0,820.0,4000,1.0,4000,3.674387175007723,0.8479674796747968,0.9239837398373983,reviewer1_reliability_calibration_independent_focal_instrumentation_rerun,configs/reviewer1_remaining/reliability_calibration/independent_focal_instrumentation_rerun.yaml,ReliabilityShiftBandit-v0,ReliabilityShiftBandit-v0,native_gymnasium_observation,a67fc3ee77138f2cdbb6163552ba1efd5c8f672a,1.8.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ReliabilityShift-boundary-020-independent-calibration,relative_reliability_fuzzy,12092,4000,0.975609756097561,0.9878048780487805,1.0,18.344290699984413,4000,243,0.2029493159840626,0.5133584141731262,0,16,16,14.62680370005546,3.7174869999289513,0.4554575138709938,0.0,0.3127993,0.153918251350029,41.0,0.012195121951219513,0.0,0.0,0.0,0.9878048780487805,,0.0,0.0,,0.0,0.4479687027017326,0.5520312972982674,0.0,0.4479687027017326,0.0,0.9914998460513369,0.3678794411714423,1.0,1.0,1.0,0.0,0.0,0.0,1227.7426829268293,1075.6,41.0,82.0,820.0,4000,0.975609756097561,4000,3.656700925013865,0.7707317073170732,0.8853658536585367,reviewer1_reliability_calibration_independent_focal_instrumentation_rerun,configs/reviewer1_remaining/reliability_calibration/independent_focal_instrumentation_rerun.yaml,ReliabilityShiftBandit-v0,ReliabilityShiftBandit-v0,native_gymnasium_observation,a67fc3ee77138f2cdbb6163552ba1efd5c8f672a,1.8.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ReliabilityShift-boundary-020-independent-calibration,relative_reliability_fuzzy,12093,4000,0.9512195121951219,0.975609756097561,1.0,17.982778700010385,4000,243,0.2387060379847087,0.5807852745056152,0,16,16,14.14070010004798,3.842078599962406,0.4805601248336332,0.0,0.4044632,0.2401523246639787,41.0,0.024390243902439025,0.0,0.0,0.0,0.975609756097561,,0.0,0.0,,0.0,0.4539873353141702,0.5460126646858298,0.0,0.4539873353141702,0.0,0.9915255394664849,0.3678794411714423,1.0,1.0,1.0,0.0,0.0,0.0,1435.4731707317073,1232.75,41.0,82.0,820.0,4000,0.9512195121951219,4000,3.535175025011995,0.7902439024390243,0.8951219512195124,reviewer1_reliability_calibration_independent_focal_instrumentation_rerun,configs/reviewer1_remaining/reliability_calibration/independent_focal_instrumentation_rerun.yaml,ReliabilityShiftBandit-v0,ReliabilityShiftBandit-v0,native_gymnasium_observation,a67fc3ee77138f2cdbb6163552ba1efd5c8f672a,1.8.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ReliabilityShift-boundary-020-independent-calibration,relative_reliability_fuzzy,12094,4000,0.9512195121951219,0.975609756097561,1.0,18.393731999967716,4000,243,0.2043750697417269,0.4792596101760864,0,16,16,14.39297009987058,4.000761900097132,0.4575845455821082,0.0,0.3258683,0.2136014744061257,41.0,0.024390243902439025,0.0,0.0,0.0,0.975609756097561,,0.0,0.0,,0.0,0.49291645718358457,0.5070835428164153,0.0,0.49291645718358457,0.0,0.9915718988909495,0.3678794411714423,1.0,1.0,1.0,0.0,0.0,0.0,1466.5731707317073,1133.9499999999998,41.0,82.0,820.0,4000,0.9512195121951219,4000,3.598242524967645,0.8317073170731708,0.9158536585365854,reviewer1_reliability_calibration_independent_focal_instrumentation_rerun,configs/reviewer1_remaining/reliability_calibration/independent_focal_instrumentation_rerun.yaml,ReliabilityShiftBandit-v0,ReliabilityShiftBandit-v0,native_gymnasium_observation,a67fc3ee77138f2cdbb6163552ba1efd5c8f672a,1.8.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ReliabilityShift-boundary-020-independent-calibration,relative_reliability_fuzzy,12095,4000,1.0,1.0,1.0,18.056054599990603,4000,243,0.2673019874120445,0.5595870018005371,0,16,16,13.932755299960265,4.12329930003034,0.5166529755422857,0.0,0.37628916,0.1337447328576837,41.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,,0.0,0.4861005503758375,0.5138994496241625,0.0,0.4861005503758375,0.0,0.9915819507935308,0.3678794411714423,1.0,1.0,1.0,0.0,0.0,0.0,1104.7865853658536,1066.9,41.0,82.0,820.0,4000,1.0,4000,3.483188824990066,0.7780487804878048,0.8890243902439025,reviewer1_reliability_calibration_independent_focal_instrumentation_rerun,configs/reviewer1_remaining/reliability_calibration/independent_focal_instrumentation_rerun.yaml,ReliabilityShiftBandit-v0,ReliabilityShiftBandit-v0,native_gymnasium_observation,a67fc3ee77138f2cdbb6163552ba1efd5c8f672a,1.8.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ReliabilityShift-boundary-020-independent-calibration,relative_reliability_fuzzy,12096,4000,0.926829268292683,0.9634146341463414,1.0,17.458336400042754,4000,243,0.2218154912254938,0.5034515857696533,0,16,16,13.780423200165387,3.6779131998773664,0.4665668492443367,0.0,0.21449064,0.1784310190580357,41.0,0.036585365853658534,0.0,0.0,0.0,0.9634146341463414,,0.0,0.0,,0.0,0.4668232642722152,0.5331767357277847,0.0,0.4668232642722152,0.0,0.9916788591020226,0.3678794411714423,1.0,1.0,1.0,0.0,0.0,0.0,1072.2878048780487,1056.0,41.0,82.0,820.0,4000,0.926829268292683,4000,3.445105800041347,0.8154471544715447,0.9077235772357722,reviewer1_reliability_calibration_independent_focal_instrumentation_rerun,configs/reviewer1_remaining/reliability_calibration/independent_focal_instrumentation_rerun.yaml,ReliabilityShiftBandit-v0,ReliabilityShiftBandit-v0,native_gymnasium_observation,a67fc3ee77138f2cdbb6163552ba1efd5c8f672a,1.8.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ReliabilityShift-boundary-020-independent-calibration,relative_reliability_fuzzy,12097,4000,0.9512195121951219,0.975609756097561,1.0,18.470411899965256,4000,243,0.2104382798719553,0.5211687088012695,0,16,16,14.504020899999889,3.9663909999653697,0.4519928633681322,0.0,0.24231328,0.0986454639630859,41.0,0.024390243902439025,0.0,0.0,0.0,0.975609756097561,,0.0,0.0,,0.0,0.4411795703554538,0.5588204296445461,0.0,0.4411795703554538,0.0,0.9909280993448976,0.3678794411714423,1.0,1.0,1.0,0.0,0.0,0.0,1717.7756097560975,1169.2,41.0,82.0,820.0,4000,0.9512195121951219,4000,3.626005224999972,0.7788617886178862,0.8894308943089432,reviewer1_reliability_calibration_independent_focal_instrumentation_rerun,configs/reviewer1_remaining/reliability_calibration/independent_focal_instrumentation_rerun.yaml,ReliabilityShiftBandit-v0,ReliabilityShiftBandit-v0,native_gymnasium_observation,a67fc3ee77138f2cdbb6163552ba1efd5c8f672a,1.8.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ReliabilityShift-boundary-020-independent-calibration,relative_reliability_fuzzy,12098,4000,0.975609756097561,0.9878048780487805,1.0,18.87870390003081,4000,243,0.2574312898173254,0.5337966084480286,0,16,16,14.877976500196382,4.000727399834432,0.5060302879841554,0.0,0.43240654,0.2049150591347945,41.0,0.012195121951219513,0.0,0.0,0.0,0.9878048780487805,,0.0,0.0,,0.0,0.5140064054210117,0.48599359457898816,0.0,0.5140064054210117,0.0,0.9917498591477149,0.3678794411714423,1.0,1.0,1.0,0.0,0.0,0.0,1123.660975609756,1072.85,41.0,82.0,820.0,4000,0.975609756097561,4000,3.7194941250490956,0.7479674796747969,0.8739837398373984,reviewer1_reliability_calibration_independent_focal_instrumentation_rerun,configs/reviewer1_remaining/reliability_calibration/independent_focal_instrumentation_rerun.yaml,ReliabilityShiftBandit-v0,ReliabilityShiftBandit-v0,native_gymnasium_observation,a67fc3ee77138f2cdbb6163552ba1efd5c8f672a,1.8.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ReliabilityShift-boundary-020-independent-calibration,relative_reliability_fuzzy,12099,4000,0.926829268292683,0.9634146341463414,1.0,17.666250700014643,4000,243,0.231798485243394,0.525857150554657,0,16,16,14.014691200165544,3.6515594998491,0.48255017678373,0.0,0.37672403,0.2147888966384694,41.0,0.036585365853658534,0.0,0.0,0.0,0.9634146341463414,,0.0,0.0,,0.0,0.4960432724738358,0.5039567275261643,0.0,0.4960432724738358,0.0,0.9916865742403591,0.3678794411714423,1.0,1.0,1.0,0.0,0.0,0.0,1140.581707317073,1055.15,41.0,82.0,820.0,4000,0.926829268292683,4000,3.503672800041386,0.7252032520325203,0.8626016260162601,reviewer1_reliability_calibration_independent_focal_instrumentation_rerun,configs/reviewer1_remaining/reliability_calibration/independent_focal_instrumentation_rerun.yaml,ReliabilityShiftBandit-v0,ReliabilityShiftBandit-v0,native_gymnasium_observation,a67fc3ee77138f2cdbb6163552ba1efd5c8f672a,1.8.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
