condition,agent,seed_set,training_steps,checkpoint_schedule,evaluation_episodes_per_checkpoint,cpu_threads,audit_status
no_noise_no_delay_no_dropout,dqn,15002;15003,80,40;80,2,1,PASS
no_noise_no_delay_no_dropout,fuzzy_relative_reliability,15002;15003,80,40;80,2,1,PASS
no_noise_no_delay_no_dropout,selected_approximate_support,15002;15003,80,40;80,2,1,PASS
no_noise_no_delay_no_dropout,sensorized_controller,15002;15003,80,40;80,2,1,PASS
noise_only,dqn,15002;15003,80,40;80,2,1,PASS
noise_only,fuzzy_relative_reliability,15002;15003,80,40;80,2,1,PASS
noise_only,selected_approximate_support,15002;15003,80,40;80,2,1,PASS
noise_only,sensorized_controller,15002;15003,80,40;80,2,1,PASS
latency_only,dqn,15002;15003,80,40;80,2,1,PASS
latency_only,fuzzy_relative_reliability,15002;15003,80,40;80,2,1,PASS
latency_only,selected_approximate_support,15002;15003,80,40;80,2,1,PASS
latency_only,sensorized_controller,15002;15003,80,40;80,2,1,PASS
localization_dropout_only,dqn,15002;15003,80,40;80,2,1,PASS
localization_dropout_only,fuzzy_relative_reliability,15002;15003,80,40;80,2,1,PASS
localization_dropout_only,selected_approximate_support,15002;15003,80,40;80,2,1,PASS
localization_dropout_only,sensorized_controller,15002;15003,80,40;80,2,1,PASS
range_dropout_only,dqn,15002;15003,80,40;80,2,1,PASS
range_dropout_only,fuzzy_relative_reliability,15002;15003,80,40;80,2,1,PASS
range_dropout_only,selected_approximate_support,15002;15003,80,40;80,2,1,PASS
range_dropout_only,sensorized_controller,15002;15003,80,40;80,2,1,PASS
camera_dropout_only,dqn,15002;15003,80,40;80,2,1,PASS
camera_dropout_only,fuzzy_relative_reliability,15002;15003,80,40;80,2,1,PASS
camera_dropout_only,selected_approximate_support,15002;15003,80,40;80,2,1,PASS
camera_dropout_only,sensorized_controller,15002;15003,80,40;80,2,1,PASS
visibility_occlusion_only,dqn,15002;15003,80,40;80,2,1,PASS
visibility_occlusion_only,fuzzy_relative_reliability,15002;15003,80,40;80,2,1,PASS
visibility_occlusion_only,selected_approximate_support,15002;15003,80,40;80,2,1,PASS
visibility_occlusion_only,sensorized_controller,15002;15003,80,40;80,2,1,PASS
combined_executed_condition,dqn,15002;15003,80,40;80,2,1,PASS
combined_executed_condition,fuzzy_relative_reliability,15002;15003,80,40;80,2,1,PASS
combined_executed_condition,selected_approximate_support,15002;15003,80,40;80,2,1,PASS
combined_executed_condition,sensorized_controller,15002;15003,80,40;80,2,1,PASS
