environment,metric,left,right,n_pairs,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,cohen_dz,rank_biserial,paired_t_p,wilcoxon_p,sign_test_p,wins,losses,ties,difference_skew,difference_excess_kurtosis,catastrophic_low_outliers,catastrophic_high_outliers,win_rate_non_ties,paired_t_holm_p,wilcoxon_holm_p,sign_test_holm_p
camera_dropout_only,mean_return,dqn,fuzzy_relative_reliability,2,-0.050102325729094455,-0.050102325729094455,-0.10020465145818891,0.0,-0.7071067811865476,-1.0,0.5000000000000001,1.0,1.0,0,1,1,0.0,0.0,0,0,0.0,1.0,1.0,1.0
camera_dropout_only,mean_return,dqn,selected_approximate_support,2,-0.08765712384367358,-0.08765712384367358,-0.10039368066005416,-0.074920567027293,-4.866538702944727,-1.0,0.09185784881074857,0.5,0.5,0,2,0,0.0,0.0,0,0,0.0,0.5511470928644915,1.0,1.0
camera_dropout_only,mean_return,dqn,sensorized_controller,2,-0.09705195754999296,-0.09705195754999296,-0.20361054212320595,0.009506627023220027,-0.6440222304555686,-0.3333333333333333,0.5297023650599019,1.0,1.0,1,1,0,0.0,0.0,0,0,0.5,1.0,1.0,1.0
camera_dropout_only,mean_return,fuzzy_relative_reliability,selected_approximate_support,2,-0.037554798114579124,-0.037554798114579124,-0.074920567027293,-0.00018902920186525396,-0.7106839544756464,-1.0,0.4983937725395891,0.5,0.5,0,2,0,0.0,0.0,0,0,0.0,1.0,1.0,1.0
camera_dropout_only,mean_return,fuzzy_relative_reliability,sensorized_controller,2,-0.04694963182089851,-0.04694963182089851,-0.20361054212320595,0.10971127848140894,-0.2119124864697028,-0.3333333333333333,0.814634199121201,1.0,1.0,1,1,0,0.0,0.0,0,0,0.5,1.0,1.0,1.0
camera_dropout_only,mean_return,selected_approximate_support,sensorized_controller,2,-0.009394833706319383,-0.009394833706319383,-0.12868997509591296,0.10990030768327419,-0.055686682160535,-0.3333333333333333,0.9499676347412478,1.0,1.0,1,1,0,0.0,0.0,0,0,0.5,1.0,1.0,1.0
camera_dropout_only,success_rate,dqn,fuzzy_relative_reliability,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,1.0,1.0,1.0
camera_dropout_only,success_rate,dqn,selected_approximate_support,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,1.0,1.0,1.0
camera_dropout_only,success_rate,dqn,sensorized_controller,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,1.0,1.0,1.0
camera_dropout_only,success_rate,fuzzy_relative_reliability,selected_approximate_support,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,1.0,1.0,1.0
