condition,agent,n_seeds,evaluation_episode_rows,success_rate,failure_rate,collision_rate,localization_error_mean,exact_support_coverage,approximate_support_coverage,memory_branch_usage_ratio,neural_branch_usage_ratio,seed_lower_tail_return_0_10,seed_minimum_return,episode_lower_tail_return_0_10,fragmentation_rate,fragmentation_denominator,aliasing_rate,aliasing_denominator,effective_latency_mean,localization_dropout_rate,range_dropout_rate,camera_dropout_rate,target_visibility_rate,source_file
no_noise_no_delay_no_dropout,dqn,2,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.1475283461343497,-1.1475283461343497,-1.2026792104542254,0.9433198380566802,988,0.0,1039,0.0,0.0,0.0,0.0,1.0,results/reviewer1_remaining/sensor_factorial_development/raw.csv;results/reviewer1_remaining/sensor_factorial_development/trace_shards/*.csv.gz
no_noise_no_delay_no_dropout,fuzzy_relative_reliability,2,8,0.0,1.0,0.0,0.0,0.0,0.15625,0.0,1.0,-1.1475283461343497,-1.1475283461343497,-1.2026792104542254,0.9488752556237219,978,0.0,1032,0.0,0.0,0.0,0.0,1.0,results/reviewer1_remaining/sensor_factorial_development/raw.csv;results/reviewer1_remaining/sensor_factorial_development/trace_shards/*.csv.gz
no_noise_no_delay_no_dropout,selected_approximate_support,2,8,0.0,1.0,0.0,0.0,0.0,1.0,0.5160841175274277,0.4839158824725723,-1.1413087061140685,-1.1413087061140685,-1.2026792104542254,0.9605911330049262,1015,0.0,1069,0.0,0.0,0.0,0.0,1.0,results/reviewer1_remaining/sensor_factorial_development/raw.csv;results/reviewer1_remaining/sensor_factorial_development/trace_shards/*.csv.gz
no_noise_no_delay_no_dropout,sensorized_controller,2,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.955787391983904,-0.955787391983904,-0.9665102467220276,0.9539121114683816,933,0.0,973,0.0,0.0,0.0,0.0,1.0,results/reviewer1_remaining/sensor_factorial_development/raw.csv;results/reviewer1_remaining/sensor_factorial_development/trace_shards/*.csv.gz
noise_only,dqn,2,8,0.0,1.0,0.0,0.0326127072999952,0.0,0.0,0.0,1.0,-1.149648813735694,-1.149648813735694,-1.201528521552682,1.0,1003,0.0,68,0.0,0.0,0.0,0.0,1.0,results/reviewer1_remaining/sensor_factorial_development/raw.csv;results/reviewer1_remaining/sensor_factorial_development/trace_shards/*.csv.gz
noise_only,fuzzy_relative_reliability,2,8,0.0,1.0,0.0,0.0326127072999952,0.0,0.0,0.0,1.0,-1.149648813735694,-1.149648813735694,-1.201528521552682,1.0,1003,0.0,68,0.0,0.0,0.0,0.0,1.0,results/reviewer1_remaining/sensor_factorial_development/raw.csv;results/reviewer1_remaining/sensor_factorial_development/trace_shards/*.csv.gz
noise_only,selected_approximate_support,2,8,0.0,1.0,0.0,0.032612707596854265,0.0,1.0,0.5080794043911994,0.4919205956088005,-1.1524815805279651,-1.1524815805279651,-1.201528521552682,1.0,1053,0.0,80,0.0,0.0,0.0,0.0,1.0,results/reviewer1_remaining/sensor_factorial_development/raw.csv;results/reviewer1_remaining/sensor_factorial_development/trace_shards/*.csv.gz
noise_only,sensorized_controller,2,8,0.0,1.0,0.0,0.03261270728544327,0.0,0.0,0.0,0.0,-0.948898540234659,-0.948898540234659,-0.9497397202253344,1.0,836,0.0,57,0.0,0.0,0.0,0.0,1.0,results/reviewer1_remaining/sensor_factorial_development/raw.csv;results/reviewer1_remaining/sensor_factorial_development/trace_shards/*.csv.gz
latency_only,dqn,2,8,0.0,1.0,0.0,0.0037356212895019373,0.0,0.0,0.0,1.0,-1.1480352958757432,-1.1480352958757432,-1.2032396277971569,0.9343434343434344,990,0.0,1133,0.030833333333333296,0.0,0.0,0.0,1.0,results/reviewer1_remaining/sensor_factorial_development/raw.csv;results/reviewer1_remaining/sensor_factorial_development/trace_shards/*.csv.gz
latency_only,fuzzy_relative_reliability,2,8,0.0,1.0,0.0,0.0037356212895019373,0.0,0.16875,0.0,1.0,-1.1480352958757432,-1.1480352958757432,-1.2032396277971569,0.9343434343434344,990,0.0,1133,0.030833333333333296,0.0,0.0,0.0,1.0,results/reviewer1_remaining/sensor_factorial_development/raw.csv;results/reviewer1_remaining/sensor_factorial_development/trace_shards/*.csv.gz
