condition,agent,seed,phase,similar_latent_pair_count,different_exact_key_pair_count,fragmentation_rate,latent_similarity_radius,status_x,reason_if_unavailable_x,similar_observation_pair_count,materially_different_latent_pair_count,different_optimal_label_pair_count,aliased_pair_count,aliasing_rate,observation_similarity_radius,material_latent_distance,status_y,reason_if_unavailable_y,trace_row_count,effective_latency_mean,localization_dropout_rate,range_dropout_rate,camera_dropout_rate,target_visibility_rate
camera_dropout_only,dqn,15002,eval,487,464,0.9527720739219713,0.1,available,,472,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.0875,0.9125
camera_dropout_only,dqn,15003,eval,469,445,0.9488272921108742,0.1,available,,383,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.05,0.95
camera_dropout_only,fuzzy_relative_reliability,15002,eval,507,486,0.9585798816568047,0.1,available,,503,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.0875,0.9125
camera_dropout_only,fuzzy_relative_reliability,15003,eval,469,445,0.9488272921108742,0.1,available,,383,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.05,0.95
camera_dropout_only,selected_approximate_support,15002,eval,575,561,0.9756521739130435,0.1,available,,533,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.0875,0.9125
camera_dropout_only,selected_approximate_support,15003,eval,435,415,0.9540229885057471,0.1,available,,408,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.05,0.95
camera_dropout_only,sensorized_controller,15002,eval,471,457,0.970276008492569,0.1,available,,486,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.0875,0.9125
camera_dropout_only,sensorized_controller,15003,eval,462,442,0.9567099567099567,0.1,available,,347,0,0,0,0.0,0.15,0.3,available,,80,0.0,0.0,0.0,0.05,0.95
combined_executed_condition,dqn,15002,eval,483,483,1.0,0.1,available,,32,0,0,0,0.0,0.15,0.3,available,,80,0.031874999999999966,0.05,0.1625,0.0875,0.05
combined_executed_condition,dqn,15003,eval,442,442,1.0,0.1,available,,24,0,0,0,0.0,0.15,0.3,available,,80,0.031458333333333297,0.0375,0.225,0.0375,0.55
combined_executed_condition,fuzzy_relative_reliability,15002,eval,483,483,1.0,0.1,available,,32,0,0,0,0.0,0.15,0.3,available,,80,0.031874999999999966,0.05,0.1625,0.0875,0.05
combined_executed_condition,fuzzy_relative_reliability,15003,eval,442,442,1.0,0.1,available,,24,0,0,0,0.0,0.15,0.3,available,,80,0.031458333333333297,0.0375,0.225,0.0375,0.55
combined_executed_condition,selected_approximate_support,15002,eval,483,483,1.0,0.1,available,,32,0,0,0,0.0,0.15,0.3,available,,80,0.031874999999999966,0.05,0.1625,0.0875,0.05
combined_executed_condition,selected_approximate_support,15003,eval,442,442,1.0,0.1,available,,24,0,0,0,0.0,0.15,0.3,available,,80,0.031458333333333297,0.0375,0.225,0.0375,0.55
combined_executed_condition,sensorized_controller,15002,eval,407,407,1.0,0.1,available,,25,0,0,0,0.0,0.15,0.3,available,,80,0.031874999999999966,0.05,0.1625,0.0875,0.05
combined_executed_condition,sensorized_controller,15003,eval,387,387,1.0,0.1,available,,21,0,0,0,0.0,0.15,0.3,available,,80,0.031458333333333297,0.0375,0.225,0.0375,0.5375
latency_only,dqn,15002,eval,511,480,0.9393346379647749,0.1,available,,677,0,0,0,0.0,0.15,0.3,available,,80,0.030833333333333296,0.0,0.0,0.0,1.0
latency_only,dqn,15003,eval,479,445,0.9290187891440501,0.1,available,,456,0,0,0,0.0,0.15,0.3,available,,80,0.030833333333333296,0.0,0.0,0.0,1.0
latency_only,fuzzy_relative_reliability,15002,eval,511,480,0.9393346379647749,0.1,available,,677,0,0,0,0.0,0.15,0.3,available,,80,0.030833333333333296,0.0,0.0,0.0,1.0
latency_only,fuzzy_relative_reliability,15003,eval,479,445,0.9290187891440501,0.1,available,,456,0,0,0,0.0,0.15,0.3,available,,80,0.030833333333333296,0.0,0.0,0.0,1.0
