environment,agent,metric,n_seeds,minimum,maximum,median,mad,skew,excess_kurtosis,catastrophic_low_outliers,catastrophic_high_outliers,heavy_tail_flag
horizon120_budget6000_high_level,feed_forward_dqn,return_auc,3,-5.916567839114345,-4.382266570332416,-4.75287609326042,0.370609522928004,-1.3239189489354641,0.0,0,0,False
horizon120_budget6000_high_level,feed_forward_dqn,mean_return,3,-6.1506977091517765,-3.3125279751777996,-3.8672046788908196,0.55467670371302,-1.470901745005849,0.0,0,0,False
horizon120_budget6000_high_level,selected_temporal_drqn,return_auc,3,-6.50640412634128,-3.714324986230146,-5.147946381006834,1.3584577453344462,0.08072518869265978,0.0,0,0,False
horizon120_budget6000_high_level,selected_temporal_drqn,mean_return,3,-6.107419803164463,-3.492825373106985,-5.507719891690838,0.5996999114736248,1.366031625796564,0.0,0,0,False
horizon120_budget6000_high_level,velocity_setpoint_controller,return_auc,3,-5.1963214686067,-4.840328910008604,-5.09738979350996,0.09893167509674061,1.184597654500771,0.0,0,0,False
horizon120_budget6000_high_level,velocity_setpoint_controller,mean_return,3,-5.407334295311783,-4.752270017033487,-5.262675456885801,0.1446588384259817,1.394136913917077,0.0,0,0,False
horizon120_budget6000_low_level,feed_forward_dqn,return_auc,3,-7.940457878373271,-6.267445752375876,-6.407749761481245,0.14030400910536933,-1.6876226612831242,0.0,1,0,True
horizon120_budget6000_low_level,feed_forward_dqn,mean_return,3,-6.942330243000645,-6.0966782408945726,-6.866282493220178,0.07604774978046702,1.6807047669918573,0.0,0,1,True
horizon120_budget6000_low_level,selected_temporal_drqn,return_auc,3,-6.737911475569914,-6.232256364898873,-6.718637055442144,0.019274420127769254,1.7232381682040987,0.0,0,1,True
horizon120_budget6000_low_level,selected_temporal_drqn,mean_return,3,-7.2673275035037666,-6.635802820455517,-6.7523405590414765,0.11653773858595962,-1.500684486975724,0.0,0,0,False
horizon120_budget6000_low_level,sensorized_motor_controller,return_auc,3,-3.9203380483326917,-3.3006745641503366,-3.46342712528666,0.16275256113632341,-1.2455218767817013,0.0,0,0,False
