environment,metric,left,right,n_pairs,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,cohen_dz,rank_biserial,paired_t_p,wilcoxon_p,sign_test_p,wins,losses,ties,difference_skew,difference_excess_kurtosis,catastrophic_low_outliers,catastrophic_high_outliers,win_rate_non_ties,paired_t_holm_p,wilcoxon_holm_p,sign_test_holm_p
horizon120_budget6000_high_level,mean_return,feed_forward_dqn,selected_temporal_drqn,3,0.5925115682472969,1.6405152128000187,-2.6578723360447913,2.7948918279866635,0.2061999264285949,0.3333333333333333,0.7551451493204775,0.75,1.0,2,1,0,-1.4229095273815664,0.0,0,0,0.6666666666666666,1.0,1.0,1.0
horizon120_budget6000_high_level,mean_return,feed_forward_dqn,velocity_setpoint_controller,3,0.6972831353368916,0.8850653381426672,-0.8880222522659755,2.094806320133983,0.46477660517723085,0.3333333333333333,0.5053003054230653,0.75,1.0,2,1,0,-0.5544267735071349,0.0,0,0,0.6666666666666666,1.0,1.0,1.0
horizon120_budget6000_high_level,mean_return,selected_temporal_drqn,velocity_setpoint_controller,3,0.10477156708959463,-0.7000855078526804,-0.7554498746573515,1.7698500837788158,0.07264372080910651,0.0,0.9113800271628817,1.0,1.0,1,2,0,1.7291799183621575,0.0,0,1,0.3333333333333333,1.0,1.0,1.0
horizon120_budget6000_high_level,success_rate,feed_forward_dqn,selected_temporal_drqn,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,3,0.0,0.0,0,0,0.5,1.0,1.0,1.0
horizon120_budget6000_high_level,success_rate,feed_forward_dqn,velocity_setpoint_controller,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,3,0.0,0.0,0,0,0.5,1.0,1.0,1.0
horizon120_budget6000_high_level,success_rate,selected_temporal_drqn,velocity_setpoint_controller,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,3,0.0,0.0,0,0,0.5,1.0,1.0,1.0
horizon120_budget6000_high_level,return_auc,feed_forward_dqn,selected_temporal_drqn,3,0.10565499695702633,0.39507028774641384,-2.202242852884199,2.124137556008864,0.04851762395386509,0.0,0.9406829191303997,1.0,1.0,2,1,0,-0.5874947863083883,0.0,0,0,0.6666666666666666,1.0,1.0,1.0
horizon120_budget6000_high_level,return_auc,feed_forward_dqn,velocity_setpoint_controller,3,0.0274432231393608,0.08745281674818361,-0.7202463705076445,0.7151232231775433,0.03813868348394135,0.0,0.9533407167834154,1.0,1.0,2,1,0,-0.3726770691057062,0.0,0,0,0.6666666666666666,1.0,1.0,1.0
horizon120_budget6000_high_level,return_auc,selected_temporal_drqn,velocity_setpoint_controller,3,-0.07821177381766553,-0.3076174709982302,-1.4090143328313207,1.4819964823765543,-0.0536029610731087,0.0,0.9344910655619374,1.0,1.0,1,2,0,0.6900218584509454,0.0,0,0,0.3333333333333333,1.0,1.0,1.0
horizon120_budget6000_low_level,mean_return,feed_forward_dqn,selected_temporal_drqn,3,0.25005996862845503,0.40104501028358897,-0.18998968395916815,0.5391245795609443,0.6456536458027926,0.6666666666666666,0.37973385699571766,0.5,1.0,2,1,0,-1.487679406685006,0.0,0,0,0.6666666666666666,0.37973385699571766,0.75,1.0
horizon120_budget6000_low_level,mean_return,feed_forward_dqn,sensorized_motor_controller,3,-2.546696747934814,-2.5695404772011106,-2.599789472104399,-2.470760294498933,-37.740193908240165,-1.0,0.00023394731596583374,0.25,0.25,0,3,0,1.3487936665896794,0.0,0,0,0.0,0.0007018419478975012,0.75,0.75
horizon120_budget6000_low_level,mean_return,selected_temporal_drqn,sensorized_motor_controller,3,-2.7967567165632694,-2.9705854874846995,-3.1389140516653433,-2.280770610539765,-6.150583384410026,-1.0,0.008696647051525872,0.25,0.25,0,3,0,1.4688684352340684,0.0,0,0,0.0,0.017393294103051744,0.75,0.75
horizon120_budget6000_low_level,success_rate,feed_forward_dqn,selected_temporal_drqn,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,3,0.0,0.0,0,0,0.5,1.0,1.0,1.0
horizon120_budget6000_low_level,success_rate,feed_forward_dqn,sensorized_motor_controller,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,3,0.0,0.0,0,0,0.5,1.0,1.0,1.0
horizon120_budget6000_low_level,success_rate,selected_temporal_drqn,sensorized_motor_controller,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,3,0.0,0.0,0,0,0.5,1.0,1.0,1.0
horizon120_budget6000_low_level,return_auc,feed_forward_dqn,selected_temporal_drqn,3,-0.3089494987731536,-0.0351893874770024,-1.221820822931127,0.33016171408866857,-0.38076075765019285,-0.3333333333333333,0.5773615442663091,0.75,1.0,1,2,0,-1.3454350786043137,0.0,0,0,0.3333333333333333,0.5773615442663091,0.75,1.0
horizon120_budget6000_low_level,return_auc,feed_forward_dqn,sensorized_motor_controller,3,-3.310404551486901,-2.966771188225539,-4.02011983004058,-2.944322636194585,-5.385101320698499,-1.0,0.01130005970633516,0.25,0.25,0,3,0,-1.7294527121476788,0.0,1,0,0.0,0.02260011941267032,0.75,0.75
horizon120_budget6000_low_level,return_auc,selected_temporal_drqn,sensorized_motor_controller,3,-3.001455052713748,-2.931581800748537,-3.2744843502832537,-2.7982990071094527,-12.217823331790864,-1.0,0.002225560246608732,0.25,0.25,0,3,0,-1.1763822505290393,0.0,0,0,0.0,0.006676680739826196,0.75,0.75
horizon240_budget12000_high_level,mean_return,feed_forward_dqn,selected_temporal_drqn,3,-0.25800074745052753,-0.5048870457477062,-4.085976416214022,3.816861219610145,-0.06519781695700298,-0.3333333333333333,0.9204026664288413,0.75,1.0,1,2,0,0.27965838351240263,0.0,0,0,0.3333333333333333,1.0,1.0,1.0
horizon240_budget12000_high_level,mean_return,feed_forward_dqn,velocity_setpoint_controller,3,0.4658237280656268,-1.0763751647580904,-2.1261363525207333,4.599982701475704,0.12873191417994662,0.0,0.8442600471926472,1.0,1.0,1,2,0,1.5695033351784395,0.0,0,0,0.3333333333333333,1.0,1.0,1.0
horizon240_budget12000_high_level,mean_return,selected_temporal_drqn,velocity_setpoint_controller,3,0.7238244755161544,0.7831214818655585,-0.5714881190103842,1.9598400636932887,0.571422880000139,0.6666666666666666,0.42662165427251536,0.5,1.0,2,1,0,-0.21019234840383164,0.0,0,0,0.6666666666666666,1.0,1.0,1.0
horizon240_budget12000_high_level,success_rate,feed_forward_dqn,selected_temporal_drqn,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,3,0.0,0.0,0,0,0.5,1.0,1.0,1.0
horizon240_budget12000_high_level,success_rate,feed_forward_dqn,velocity_setpoint_controller,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,3,0.0,0.0,0,0,0.5,1.0,1.0,1.0
horizon240_budget12000_high_level,success_rate,selected_temporal_drqn,velocity_setpoint_controller,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,3,0.0,0.0,0,0,0.5,1.0,1.0,1.0
horizon240_budget12000_high_level,return_auc,feed_forward_dqn,selected_temporal_drqn,3,-0.6887165579213915,0.37454501679338037,-2.885896246300721,0.4452015557431661,-0.3618840794285126,0.0,0.5947998279018453,1.0,1.0,2,1,0,-1.7293653801987154,0.0,1,0,0.6666666666666666,1.0,1.0,1.0
horizon240_budget12000_high_level,return_auc,feed_forward_dqn,velocity_setpoint_controller,3,-0.18179947197271495,-0.323986589624889,-2.3563912924941217,2.134979466200866,-0.08083357715173567,-0.3333333333333333,0.9014811105071525,0.75,1.0,1,2,0,0.28335615637546585,0.0,0,0,0.3333333333333333,1.0,1.0,1.0
horizon240_budget12000_high_level,return_auc,selected_temporal_drqn,velocity_setpoint_controller,3,0.5069170859486766,0.5295049538065992,-0.6985316064182694,1.6897779104576998,0.42444170840397927,0.3333333333333333,0.5387640399108702,0.75,1.0,2,1,0,-0.08507726180279569,0.0,0,0,0.6666666666666666,1.0,1.0,1.0
horizon240_budget12000_low_level,mean_return,feed_forward_dqn,selected_temporal_drqn,3,-0.2026201730618693,0.456246133181498,-1.7629232941715172,0.6988166418044113,-0.1493484344063477,0.0,0.8200714801174009,1.0,1.0,2,1,0,-1.6699676476468757,0.0,1,0,0.6666666666666666,0.8200714801174009,1.0,1.0
horizon240_budget12000_low_level,mean_return,feed_forward_dqn,sensorized_motor_controller,3,-6.678305446274404,-6.476740362685173,-7.260446825916297,-6.297729150221741,-13.042727170846502,-1.0,0.001953744294028536,0.25,0.25,0,3,0,-1.4969400787720542,0.0,0,0,0.0,0.005861232882085609,0.75,0.75
horizon240_budget12000_low_level,mean_return,selected_temporal_drqn,sensorized_motor_controller,3,-6.475685273212534,-7.175557004489584,-7.716692959097795,-4.534805856050224,-3.8036589943635257,-1.0,0.022272789209150747,0.25,0.25,0,3,0,1.5372748266178269,0.0,0,0,0.0,0.04454557841830149,0.75,0.75
horizon240_budget12000_low_level,success_rate,feed_forward_dqn,selected_temporal_drqn,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,3,0.0,0.0,0,0,0.5,1.0,1.0,1.0
horizon240_budget12000_low_level,success_rate,feed_forward_dqn,sensorized_motor_controller,3,-0.4000000000000001,-0.4,-0.5,-0.3,-4.000000000000001,-1.0,0.020204102886728758,0.25,0.25,0,3,0,7.480994990149977e-15,0.0,0,0,0.0,0.06061230866018627,0.75,0.75
horizon240_budget12000_low_level,success_rate,selected_temporal_drqn,sensorized_motor_controller,3,-0.4000000000000001,-0.4,-0.5,-0.3,-4.000000000000001,-1.0,0.020204102886728758,0.25,0.25,0,3,0,7.480994990149977e-15,0.0,0,0,0.0,0.06061230866018627,0.75,0.75
horizon240_budget12000_low_level,return_auc,feed_forward_dqn,selected_temporal_drqn,3,-0.075368332312521,-0.47047740989925657,-0.6512098060149292,0.8955822189766227,-0.0891184510290657,0.0,0.8914970266137652,1.0,1.0,1,2,0,1.6434850053432215,0.0,0,0,0.3333333333333333,0.8914970266137652,1.0,1.0
horizon240_budget12000_low_level,return_auc,feed_forward_dqn,sensorized_motor_controller,3,-6.31550452414598,-5.922068027594136,-7.380452591616738,-5.643992953227066,-6.77125368676963,-1.0,0.007191770167618637,0.25,0.25,0,3,0,-1.5604583863625734,0.0,0,0,0.0,0.018798128578299995,0.75,0.75
horizon240_budget12000_low_level,return_auc,selected_temporal_drqn,sensorized_motor_controller,3,-6.24013619183346,-6.539575172203689,-6.909975181717481,-5.270858221579207,-7.259291189794811,-1.0,0.006266042859433331,0.25,0.25,0,3,0,1.3773365170822562,0.0,0,0,0.0,0.018798128578299995,0.75,0.75
horizon360_budget24000_high_level,mean_return,feed_forward_dqn,selected_temporal_drqn,3,-0.25018704177016815,2.8448757859806957,-7.029345853657155,3.433908942365955,-0.04256107566477885,0.0,0.9479442150326886,1.0,1.0,2,1,0,-1.712505907557795,0.0,1,0,0.6666666666666666,1.0,1.0,1.0
horizon360_budget24000_high_level,mean_return,feed_forward_dqn,velocity_setpoint_controller,3,0.516771780449511,2.7727333123293487,-5.746500304461487,4.524082333480671,0.09405456992164721,0.0,0.8855638945768225,1.0,1.0,2,1,0,-1.536178979225055,0.0,0,0,0.6666666666666666,1.0,1.0,1.0
horizon360_budget24000_high_level,mean_return,selected_temporal_drqn,velocity_setpoint_controller,3,0.7669588222196791,1.2828455491956685,-0.6611756300366061,1.6792065474999749,0.6123042660065996,0.6666666666666666,0.40004274969407994,0.5,1.0,2,1,0,-1.5389852827019035,0.0,0,0,0.6666666666666666,1.0,1.0,1.0
horizon360_budget24000_high_level,success_rate,feed_forward_dqn,selected_temporal_drqn,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,3,0.0,0.0,0,0,0.5,1.0,1.0,1.0
horizon360_budget24000_high_level,success_rate,feed_forward_dqn,velocity_setpoint_controller,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,3,0.0,0.0,0,0,0.5,1.0,1.0,1.0
horizon360_budget24000_high_level,success_rate,selected_temporal_drqn,velocity_setpoint_controller,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,3,0.0,0.0,0,0,0.5,1.0,1.0,1.0
horizon360_budget24000_high_level,return_auc,feed_forward_dqn,selected_temporal_drqn,3,0.329063320497849,0.6753553551694882,-0.7009171694499692,1.0127517757740279,0.3624836978445217,0.3333333333333333,0.5942389002389283,0.75,1.0,2,1,0,-1.4667944981171614,0.0,0,0,0.6666666666666666,1.0,1.0,1.0
horizon360_budget24000_high_level,return_auc,feed_forward_dqn,velocity_setpoint_controller,3,0.1953776008084803,0.06416044431914614,-0.30877303779975485,0.8307453959060496,0.33628909039610505,0.3333333333333333,0.6191682642592704,0.75,1.0,2,1,0,0.964500982601374,0.0,0,0,0.6666666666666666,1.0,1.0,1.0
horizon360_budget24000_high_level,return_auc,selected_temporal_drqn,velocity_setpoint_controller,3,-0.13368571968936868,-0.1820063798679783,-0.984128392969243,0.7650776137691153,-0.15267836633264703,-0.3333333333333333,0.8161938293979263,0.75,1.0,1,2,0,0.24757866743213264,0.0,0,0,0.3333333333333333,1.0,1.0,1.0
horizon360_budget24000_low_level,mean_return,feed_forward_dqn,selected_temporal_drqn,3,1.0541982106354542,0.7532495928313567,0.4958624833989882,1.9134825556760173,1.3959043349686937,1.0,0.13681892777660176,0.25,0.25,3,0,0,1.5084722625001654,0.0,0,0,1.0,0.13681892777660176,0.75,0.75
horizon360_budget24000_low_level,mean_return,feed_forward_dqn,sensorized_motor_controller,3,-5.853361688550213,-5.389125803729055,-8.070084888970829,-4.100874372950756,-2.8906655634479272,-1.0,0.03765308571587455,0.25,0.25,0,3,0,-0.9774510908030558,0.0,0,0,0.0,0.0753061714317491,0.75,0.75
horizon360_budget24000_low_level,mean_return,selected_temporal_drqn,sensorized_motor_controller,3,-6.907559899185668,-7.302608359405072,-8.565947372369818,-4.8541239657821125,-3.66025114684963,-1.0,0.023988727954039824,0.25,0.25,0,3,0,0.900717769440477,0.0,0,0,0.0,0.07196618386211948,0.75,0.75
horizon360_budget24000_low_level,success_rate,feed_forward_dqn,selected_temporal_drqn,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,3,0.0,0.0,0,0,0.5,1.0,1.0,1.0
horizon360_budget24000_low_level,success_rate,feed_forward_dqn,sensorized_motor_controller,3,-0.6666666666666666,-0.6,-0.9,-0.5,-3.2025630761017427,-1.0,0.030996833776981543,0.25,0.25,0,3,0,-1.2933427807333977,0.0,0,0,0.0,0.09299050133094464,0.75,0.75
