environment,agent,seed,checkpoint,mean_return,success_rate,mean_length,elapsed_seconds,environment_steps,gradient_updates,training_loss_mean,training_loss_max,nonfinite_loss_count,completed_checkpoint_count,expected_checkpoint_count,training_elapsed_seconds,evaluation_elapsed_seconds,mean_gate,support_abstention_rate,global_tabular_error,global_neural_error,visited_states,failure_rate,collision_rate,risk_zone_rate,idle_rate,risk_adjusted_score,localization_error_mean,sensor_dropout_rate,camera_visible_rate,motor_saturation_rate,unsupported_state_ratio,memory_branch_usage_ratio,neural_branch_usage_ratio,abstention_ratio,adaptive_alpha_mean,adaptive_alpha_iqr,support_score_mean,uncertainty_score_mean,exact_support_coverage,approximate_support_coverage,fuzzy_gate_active_rate,neural_only_fallback_rate,out_of_fuzzy_support_count,out_of_fuzzy_support_ratio,inference_time_us_per_decision_mean,inference_time_us_per_decision_median,memory_cost_states,memory_cost_entries,memory_cost_bytes_estimated,eval_checkpoint,eval_return,train_steps,seconds_per_1000_steps,return_auc,success_rate_auc,experiment_name,config_file,environment_id,resolved_environment_id,observation_representation,git_commit_hash,package_version,python_version,torch_version,numpy_version,gymnasium_version,minigrid_version,gym_pybullet_drones_version,pybullet_version
horizon120_budget6000_high_level,feed_forward_dqn,15006,6000,-3.8672046788908196,0.0,120.0,74.03424079995602,6000,1493,0.0002826884900867,0.0026398522313684,0,2,2,56.21705579990521,17.817185000050813,,,,,,1.0,0.0,0.495,0.009166666666666639,-0.00045833333333330004,0.0329781693227899,0.22916666666666666,0.3683333333333333,0.0,1.0,0.0,1.0,0.0,,,0.0,,0.0,0.0,,1.0,,,1100.09375,974.975,0.0,0.0,0.0,6000,-3.8672046788908196,6000,9.369509299984202,-4.75287609326042,0.0,reviewer1_sensor_nondegenerate_feasibility,configs/reviewer1_remaining/sensor_nondegenerate_development/feasibility_grid.yaml,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,16b64f6d0a863f2a9a2731511db3e6c3e1a2dbb5,1.8.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,2.1.0,3.2.7
horizon120_budget6000_high_level,feed_forward_dqn,15007,6000,-6.1506977091517765,0.0,120.0,70.13760559994262,6000,1493,0.0002751340996378,0.0041811629198491,0,2,2,51.94460509996861,18.193000499974005,,,,,,1.0,0.0,0.9724999999999999,0.12416666666666665,-0.0062083333333333105,0.03352175311822364,0.22833333333333333,0.13333333333333336,0.0,1.0,0.0,1.0,0.0,,,0.0,,0.0,0.0,,1.0,,,1042.8446666666666,935.35,0.0,0.0,0.0,6000,-6.1506977091517765,6000,8.657434183328101,-5.916567839114345,0.0,reviewer1_sensor_nondegenerate_feasibility,configs/reviewer1_remaining/sensor_nondegenerate_development/feasibility_grid.yaml,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,16b64f6d0a863f2a9a2731511db3e6c3e1a2dbb5,1.8.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,2.1.0,3.2.7
horizon120_budget6000_high_level,feed_forward_dqn,15008,6000,-3.3125279751777996,0.0,120.0,70.27709380001761,6000,1493,0.0003300397241999,0.0068288384936749,0,2,2,51.91702999995323,18.36006380006438,,,,,,1.0,0.0,0.31916666666666665,0.00083333333333333,-4.1666666666660004e-05,0.033812876321802174,0.21666666666666665,0.21666666666666665,0.0,1.0,0.0,1.0,0.0,,,0.0,,0.0,0.0,,1.0,,,1069.9909166666666,924.325,0.0,0.0,0.0,6000,-3.3125279751777996,6000,8.652838333325539,-4.382266570332416,0.0,reviewer1_sensor_nondegenerate_feasibility,configs/reviewer1_remaining/sensor_nondegenerate_development/feasibility_grid.yaml,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,16b64f6d0a863f2a9a2731511db3e6c3e1a2dbb5,1.8.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,2.1.0,3.2.7
horizon120_budget6000_high_level,selected_temporal_drqn,15006,6000,-5.507719891690838,0.0,120.0,89.03609840001445,6000,1471,0.0003215348003751,0.0159342754632234,0,2,2,68.80682690005051,20.229271499963943,,,,,,1.0,0.0,0.9191666666666667,0.10416666666666663,-0.00520833333333329,0.0330436059015725,0.22916666666666666,0.35,0.0,1.0,0.0,1.0,0.0,,,0.0,,0.0,0.0,,1.0,,,1703.5769166666664,1496.65,6000.0,5850.0,107548.0,6000,-5.507719891690838,6000,11.467804483341752,-5.147946381006834,0.0,reviewer1_sensor_nondegenerate_feasibility,configs/reviewer1_remaining/sensor_nondegenerate_development/feasibility_grid.yaml,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,16b64f6d0a863f2a9a2731511db3e6c3e1a2dbb5,1.8.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,2.1.0,3.2.7
horizon120_budget6000_high_level,selected_temporal_drqn,15007,6000,-3.492825373106985,0.0,120.0,93.79761179996422,6000,1471,0.0002513099696098,0.0036640120670199,0,2,2,70.50880449998658,23.288807299977638,,,,,,1.0,0.0,0.4458333333333333,0.00999999999999999,-0.00049999999999999,0.03312731484285901,0.22833333333333333,0.13333333333333333,0.0,1.0,0.0,1.0,0.0,,,0.0,,0.0,0.0,,1.0,,,1832.2031666666667,1546.55,6000.0,5850.0,107548.0,6000,-3.492825373106985,6000,11.75146741666443,-3.714324986230146,0.0,reviewer1_sensor_nondegenerate_feasibility,configs/reviewer1_remaining/sensor_nondegenerate_development/feasibility_grid.yaml,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,16b64f6d0a863f2a9a2731511db3e6c3e1a2dbb5,1.8.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,2.1.0,3.2.7
horizon120_budget6000_high_level,selected_temporal_drqn,15008,6000,-6.107419803164463,0.0,120.0,95.23163519997615,6000,1471,0.0001877611761744,0.0077999704517424,0,2,2,74.11602560000028,21.11560959997587,,,,,,1.0,0.0,0.7716666666666667,0.9800000000000001,-0.048999999999999974,0.03325030550574102,0.21666666666666665,0.23249999999999998,0.0,1.0,0.0,1.0,0.0,,,0.0,,0.0,0.0,,1.0,,,1717.2545833333334,1509.4499999999998,6000.0,5797.0,107548.0,6000,-6.107419803164463,6000,12.35267093333338,-6.50640412634128,0.0,reviewer1_sensor_nondegenerate_feasibility,configs/reviewer1_remaining/sensor_nondegenerate_development/feasibility_grid.yaml,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,16b64f6d0a863f2a9a2731511db3e6c3e1a2dbb5,1.8.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,2.1.0,3.2.7
horizon120_budget6000_high_level,velocity_setpoint_controller,15006,6000,-4.752270017033487,0.0,120.0,61.97472350002499,6000,0,,,0,2,2,42.87179450003896,19.102928999986037,,,,,,1.0,0.0,0.7041666666666666,0.00333333333333332,-0.00016666666666666,0.033366867461396985,0.22916666666666666,0.4125,0.0,1.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,,379.23766666666666,311.975,0.0,0.0,0.0,6000,-4.752270017033487,6000,7.145299083339826,-4.840328910008604,0.0,reviewer1_sensor_nondegenerate_feasibility,configs/reviewer1_remaining/sensor_nondegenerate_development/feasibility_grid.yaml,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,16b64f6d0a863f2a9a2731511db3e6c3e1a2dbb5,1.8.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,2.1.0,3.2.7
horizon120_budget6000_high_level,velocity_setpoint_controller,15007,6000,-5.262675456885801,0.0,120.0,59.223652000015136,6000,0,,,0,2,2,43.82015679997858,15.40349520003656,,,,,,1.0,0.0,0.7849999999999999,0.013333333333333319,-0.00066666666666664,0.03388160461347521,0.22833333333333333,0.047499999999999994,0.0,1.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,,359.6813333333333,305.9,0.0,0.0,0.0,6000,-5.262675456885801,6000,7.303359466663096,-5.1963214686067,0.0,reviewer1_sensor_nondegenerate_feasibility,configs/reviewer1_remaining/sensor_nondegenerate_development/feasibility_grid.yaml,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,16b64f6d0a863f2a9a2731511db3e6c3e1a2dbb5,1.8.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,2.1.0,3.2.7
horizon120_budget6000_high_level,velocity_setpoint_controller,15008,6000,-5.407334295311783,0.0,120.0,61.375354399962816,6000,0,,,0,2,2,41.91147639992414,19.46387800003868,,,,,,1.0,0.0,0.9141666666666668,0.00999999999999998,-0.00049999999999997,0.03388146767586776,0.21666666666666665,0.1983333333333333,0.0,1.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,,391.54200000000003,303.725,0.0,0.0,0.0,6000,-5.407334295311783,6000,6.985246066654024,-5.09738979350996,0.0,reviewer1_sensor_nondegenerate_feasibility,configs/reviewer1_remaining/sensor_nondegenerate_development/feasibility_grid.yaml,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,16b64f6d0a863f2a9a2731511db3e6c3e1a2dbb5,1.8.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,2.1.0,3.2.7
horizon120_budget6000_low_level,feed_forward_dqn,15006,6000,-6.942330243000645,0.0,112.8,66.13160099997185,6000,1493,0.0078416748289002,0.4498196840286255,0,2,2,50.87880980002228,15.25279119994957,,,,,,1.0,0.00479786659566186,0.2540110244724849,0.0,-0.00479786659566186,0.03674861631532749,0.22778991805085322,0.3402977013689488,0.0,1.0,0.0,1.0,0.0,,,0.0,,0.0,0.0,,1.0,,,1135.3023427648502,1011.55,0.0,0.0,0.0,6000,-6.942330243000645,6000,8.479801633337047,-7.940457878373271,0.0,reviewer1_sensor_nondegenerate_feasibility,configs/reviewer1_remaining/sensor_nondegenerate_development/feasibility_grid.yaml,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,16b64f6d0a863f2a9a2731511db3e6c3e1a2dbb5,1.8.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,2.1.0,3.2.7
