environment,agent,metric,n_seeds,mean,std,median,q25,q75,t_ci_low,t_ci_high,bootstrap_ci_low,bootstrap_ci_high
horizon120_budget6000_high_level,feed_forward_dqn,mean_return,3,-4.443476787740132,1.5042835561454841,-3.8672046788908196,-5.008951194021298,-3.5898663270343096,-8.180324298727024,-0.7066292767532398,-6.150697709151776,-3.3125279751777996
horizon120_budget6000_high_level,feed_forward_dqn,success_rate,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
horizon120_budget6000_high_level,feed_forward_dqn,return_auc,3,-5.017236834235727,0.8005841909963116,-4.75287609326042,-5.334721966187383,-4.567571331796419,-7.005998214520794,-3.0284754539506604,-5.916567839114346,-4.382266570332416
horizon120_budget6000_high_level,feed_forward_dqn,success_rate_auc,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
horizon120_budget6000_high_level,feed_forward_dqn,seconds_per_1000_steps,3,8.893260605545947,0.4124498692870661,8.657434183328101,8.65513625832682,9.01347174165615,7.868678331043452,9.917842880048443,8.652838333325539,9.369509299984202
horizon120_budget6000_high_level,feed_forward_dqn,gradient_updates,3,1493.0,0.0,1493.0,1493.0,1493.0,1493.0,1493.0,1493.0,1493.0
horizon120_budget6000_high_level,feed_forward_dqn,failure_rate,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
horizon120_budget6000_high_level,feed_forward_dqn,collision_rate,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
horizon120_budget6000_high_level,feed_forward_dqn,risk_zone_rate,3,0.5955555555555555,0.33807495607620197,0.495,0.40708333333333335,0.7337499999999999,-0.2442691922316742,1.4353803033427852,0.31916666666666665,0.9724999999999998
horizon120_budget6000_high_level,feed_forward_dqn,idle_rate,3,0.0447222222222222,0.06892696080581187,0.009166666666666639,0.0049999999999999845,0.06666666666666665,-0.12650184047183202,0.2159462849162764,0.00083333333333333,0.12416666666666665
horizon120_budget6000_high_level,feed_forward_dqn,risk_adjusted_score,3,-0.00223611111111109,0.0034463480402905913,-0.00045833333333330004,-0.0033333333333333054,-0.00024999999999998,-0.010797314245813793,0.006325092023591614,-0.006208333333333311,-4.166666666666e-05
horizon120_budget6000_high_level,feed_forward_dqn,localization_error_mean,3,0.03343759958760524,0.0004236688637210381,0.03352175311822364,0.033249961220506774,0.03366731472001291,0.0323851477859414,0.03449005138926908,0.0329781693227899,0.033812876321802174
