condition,agent,seed_set,seed_sets_equal,training_steps,training_steps_equal,checkpoint_schedule,checkpoint_schedule_equal,evaluation_episodes_per_checkpoint,evaluation_episodes_equal,observed_seed_runs,gradient_updates_by_seed,interaction_budget_matched,compute_budget_identical,compute_identity_reason,audit_status,source_file
combined_executed_condition,feed_forward_dqn,16000;16001;16002;16003;16004;16005;16006;16007;16008;16009;16010;16011;16012;16013;16014;16015;16016;16017;16018;16019;16020;16021;16022;16023;16024;16025;16026;16027;16028;16029,True,240,True,120;240,True,4,True,30,16000:53;16001:53;16002:53;16003:53;16004:53;16005:53;16006:53;16007:53;16008:53;16009:53;16010:53;16011:53;16012:53;16013:53;16014:53;16015:53;16016:53;16017:53;16018:53;16019:53;16020:53;16021:53;16022:53;16023:53;16024:53;16025:53;16026:53;16027:53;16028:53;16029:53,True,False,"DQN, DRQN, hybrid estimators, and the model-based controller have different update rules, network structures, and query costs.",PASS,results/reviewer1_remaining/sensorized_final/sensor_seed_metrics.csv
combined_executed_condition,selected_temporal_drqn,16000;16001;16002;16003;16004;16005;16006;16007;16008;16009;16010;16011;16012;16013;16014;16015;16016;16017;16018;16019;16020;16021;16022;16023;16024;16025;16026;16027;16028;16029,True,240,True,120;240,True,4,True,30,16000:53;16001:53;16002:53;16003:53;16004:53;16005:53;16006:53;16007:53;16008:53;16009:53;16010:53;16011:53;16012:53;16013:53;16014:53;16015:53;16016:53;16017:53;16018:53;16019:53;16020:53;16021:53;16022:53;16023:53;16024:53;16025:53;16026:53;16027:53;16028:53;16029:53,True,False,"DQN, DRQN, hybrid estimators, and the model-based controller have different update rules, network structures, and query costs.",PASS,results/reviewer1_remaining/sensorized_final/sensor_seed_metrics.csv
combined_executed_condition,fuzzy_relative_reliability,16000;16001;16002;16003;16004;16005;16006;16007;16008;16009;16010;16011;16012;16013;16014;16015;16016;16017;16018;16019;16020;16021;16022;16023;16024;16025;16026;16027;16028;16029,True,240,True,120;240,True,4,True,30,16000:53;16001:53;16002:53;16003:53;16004:53;16005:53;16006:53;16007:53;16008:53;16009:53;16010:53;16011:53;16012:53;16013:53;16014:53;16015:53;16016:53;16017:53;16018:53;16019:53;16020:53;16021:53;16022:53;16023:53;16024:53;16025:53;16026:53;16027:53;16028:53;16029:53,True,False,"DQN, DRQN, hybrid estimators, and the model-based controller have different update rules, network structures, and query costs.",PASS,results/reviewer1_remaining/sensorized_final/sensor_seed_metrics.csv
combined_executed_condition,selected_approximate_support,16000;16001;16002;16003;16004;16005;16006;16007;16008;16009;16010;16011;16012;16013;16014;16015;16016;16017;16018;16019;16020;16021;16022;16023;16024;16025;16026;16027;16028;16029,True,240,True,120;240,True,4,True,30,16000:53;16001:53;16002:53;16003:53;16004:53;16005:53;16006:53;16007:53;16008:53;16009:53;16010:53;16011:53;16012:53;16013:53;16014:53;16015:53;16016:53;16017:53;16018:53;16019:53;16020:53;16021:53;16022:53;16023:53;16024:53;16025:53;16026:53;16027:53;16028:53;16029:53,True,False,"DQN, DRQN, hybrid estimators, and the model-based controller have different update rules, network structures, and query costs.",PASS,results/reviewer1_remaining/sensorized_final/sensor_seed_metrics.csv
combined_executed_condition,sensorized_controller,16000;16001;16002;16003;16004;16005;16006;16007;16008;16009;16010;16011;16012;16013;16014;16015;16016;16017;16018;16019;16020;16021;16022;16023;16024;16025;16026;16027;16028;16029,True,240,True,120;240,True,4,True,30,16000:0;16001:0;16002:0;16003:0;16004:0;16005:0;16006:0;16007:0;16008:0;16009:0;16010:0;16011:0;16012:0;16013:0;16014:0;16015:0;16016:0;16017:0;16018:0;16019:0;16020:0;16021:0;16022:0;16023:0;16024:0;16025:0;16026:0;16027:0;16028:0;16029:0,True,False,"DQN, DRQN, hybrid estimators, and the model-based controller have different update rules, network structures, and query costs.",PASS,results/reviewer1_remaining/sensorized_final/sensor_seed_metrics.csv
latency_only,feed_forward_dqn,16000;16001;16002;16003;16004;16005;16006;16007;16008;16009;16010;16011;16012;16013;16014;16015;16016;16017;16018;16019;16020;16021;16022;16023;16024;16025;16026;16027;16028;16029,True,240,True,120;240,True,4,True,30,16000:53;16001:53;16002:53;16003:53;16004:53;16005:53;16006:53;16007:53;16008:53;16009:53;16010:53;16011:53;16012:53;16013:53;16014:53;16015:53;16016:53;16017:53;16018:53;16019:53;16020:53;16021:53;16022:53;16023:53;16024:53;16025:53;16026:53;16027:53;16028:53;16029:53,True,False,"DQN, DRQN, hybrid estimators, and the model-based controller have different update rules, network structures, and query costs.",PASS,results/reviewer1_remaining/sensorized_final/sensor_seed_metrics.csv
latency_only,selected_temporal_drqn,16000;16001;16002;16003;16004;16005;16006;16007;16008;16009;16010;16011;16012;16013;16014;16015;16016;16017;16018;16019;16020;16021;16022;16023;16024;16025;16026;16027;16028;16029,True,240,True,120;240,True,4,True,30,16000:53;16001:53;16002:53;16003:53;16004:53;16005:53;16006:53;16007:53;16008:53;16009:53;16010:53;16011:53;16012:53;16013:53;16014:53;16015:53;16016:53;16017:53;16018:53;16019:53;16020:53;16021:53;16022:53;16023:53;16024:53;16025:53;16026:53;16027:53;16028:53;16029:53,True,False,"DQN, DRQN, hybrid estimators, and the model-based controller have different update rules, network structures, and query costs.",PASS,results/reviewer1_remaining/sensorized_final/sensor_seed_metrics.csv
latency_only,fuzzy_relative_reliability,16000;16001;16002;16003;16004;16005;16006;16007;16008;16009;16010;16011;16012;16013;16014;16015;16016;16017;16018;16019;16020;16021;16022;16023;16024;16025;16026;16027;16028;16029,True,240,True,120;240,True,4,True,30,16000:53;16001:53;16002:53;16003:53;16004:53;16005:53;16006:53;16007:53;16008:53;16009:53;16010:53;16011:53;16012:53;16013:53;16014:53;16015:53;16016:53;16017:53;16018:53;16019:53;16020:53;16021:53;16022:53;16023:53;16024:53;16025:53;16026:53;16027:53;16028:53;16029:53,True,False,"DQN, DRQN, hybrid estimators, and the model-based controller have different update rules, network structures, and query costs.",PASS,results/reviewer1_remaining/sensorized_final/sensor_seed_metrics.csv
latency_only,selected_approximate_support,16000;16001;16002;16003;16004;16005;16006;16007;16008;16009;16010;16011;16012;16013;16014;16015;16016;16017;16018;16019;16020;16021;16022;16023;16024;16025;16026;16027;16028;16029,True,240,True,120;240,True,4,True,30,16000:53;16001:53;16002:53;16003:53;16004:53;16005:53;16006:53;16007:53;16008:53;16009:53;16010:53;16011:53;16012:53;16013:53;16014:53;16015:53;16016:53;16017:53;16018:53;16019:53;16020:53;16021:53;16022:53;16023:53;16024:53;16025:53;16026:53;16027:53;16028:53;16029:53,True,False,"DQN, DRQN, hybrid estimators, and the model-based controller have different update rules, network structures, and query costs.",PASS,results/reviewer1_remaining/sensorized_final/sensor_seed_metrics.csv
latency_only,sensorized_controller,16000;16001;16002;16003;16004;16005;16006;16007;16008;16009;16010;16011;16012;16013;16014;16015;16016;16017;16018;16019;16020;16021;16022;16023;16024;16025;16026;16027;16028;16029,True,240,True,120;240,True,4,True,30,16000:0;16001:0;16002:0;16003:0;16004:0;16005:0;16006:0;16007:0;16008:0;16009:0;16010:0;16011:0;16012:0;16013:0;16014:0;16015:0;16016:0;16017:0;16018:0;16019:0;16020:0;16021:0;16022:0;16023:0;16024:0;16025:0;16026:0;16027:0;16028:0;16029:0,True,False,"DQN, DRQN, hybrid estimators, and the model-based controller have different update rules, network structures, and query costs.",PASS,results/reviewer1_remaining/sensorized_final/sensor_seed_metrics.csv
