environment,agent,seed,phase,checkpoint,episode,trace_steps,initial_trajectory_error,trajectory_error_mean,trajectory_error_min,trajectory_error_max,trajectory_error_final,recovery_event_count,recovery_event_occurred,constraint_steps,constraint_duration_seconds,saturation_steps,saturation_duration_seconds,target_visibility_fraction,target_visible_any,target_visible_all,episode_success,failure_stage,source_file
combined_executed_condition,feed_forward_dqn,16000,eval,120,1,30,0.8589377239308676,0.8357123653093974,0.787087619304657,0.8589163422584534,0.787087619304657,0,0,30,0.5,0,0.0,0.0,0,0,0,timeout_partial_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16000,eval,120,2,30,0.8513835352285637,0.8564685622851054,0.8513851165771484,0.8691635727882385,0.8691635727882385,0,0,10,0.16666666666666666,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16000,eval,120,3,30,0.8264007555054899,0.8217346370220184,0.8107835054397583,0.8263911604881287,0.8107835054397583,0,0,30,0.5,0,0.0,0.36666666666666664,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16000,eval,120,4,30,0.852405607147915,0.836246399084727,0.8090858459472656,0.8523608446121216,0.8090858459472656,0,0,30,0.5,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16000,eval,240,1,30,0.8701375410111829,0.8698467055956522,0.8675182461738586,0.8715909123420715,0.8677381277084351,0,0,30,0.5,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16000,eval,240,2,30,0.8475026018341384,0.8543790499369304,0.8473984599113464,0.8706400394439697,0.8706400394439697,0,0,27,0.45,0,0.0,0.5333333333333333,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16000,eval,240,3,30,0.8323223358693782,0.8451200683911642,0.8323758840560913,0.8754259943962097,0.8754259943962097,0,0,22,0.36666666666666664,0,0.0,0.5,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16000,eval,240,4,30,0.8486256704573445,0.8557341516017913,0.8483328223228455,0.8764747381210327,0.8764747381210327,0,0,30,0.5,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16001,eval,120,1,30,0.8507804516334911,0.8422422349452973,0.8223432898521423,0.8510249257087708,0.8223432898521423,0,0,30,0.5,0,0.0,0.36666666666666664,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16001,eval,120,2,30,0.8743333873319988,0.8742775479952495,0.8740923404693604,0.8744686841964722,0.8741714954376221,0,0,30,0.5,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16001,eval,120,3,30,0.8909455184425451,0.8798074285189311,0.8650282621383667,0.8909050822257996,0.8650282621383667,0,0,30,0.5,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16001,eval,120,4,30,0.8569166629011509,0.8823418915271759,0.8569453358650208,0.9352314472198486,0.9352314472198486,0,0,30,0.5,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16001,eval,240,1,30,0.8634840590911572,0.8798441191514333,0.86348956823349,0.9233850240707396,0.9233850240707396,0,0,0,0.0,0,0.0,1.0,1,1,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16001,eval,240,2,30,0.8521144984091641,0.8508709092934926,0.8483620285987854,0.8567044734954834,0.8567044734954834,0,0,15,0.25,0,0.0,0.6333333333333333,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16001,eval,240,3,30,0.8350247175501143,0.8156238834063212,0.7783464789390564,0.8350138068199158,0.7783464789390564,0,0,30,0.5,0,0.0,0.0,0,0,0,timeout_partial_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16001,eval,240,4,30,0.8733362753626445,0.8762865940729777,0.8726904392242432,0.8865562081336975,0.8865562081336975,0,0,30,0.5,0,0.0,0.9666666666666667,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16002,eval,120,1,30,0.8405293516934332,0.80468670129776,0.7286224961280823,0.8404878377914429,0.7286224961280823,0,0,12,0.2,0,0.0,0.0,0,0,0,timeout_partial_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16002,eval,120,2,30,0.8120266276883582,0.7907018045584361,0.7343906760215759,0.8121047019958496,0.7343906760215759,0,0,30,0.5,0,0.0,0.0,0,0,0,timeout_partial_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16002,eval,120,3,30,0.8444289461007821,0.8211528579394023,0.7701935172080994,0.8444101214408875,0.7701935172080994,0,0,23,0.3833333333333333,0,0.0,0.0,0,0,0,timeout_partial_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16002,eval,120,4,30,0.8608842147302725,0.8744167844454448,0.859890878200531,0.911984920501709,0.911984920501709,0,0,30,0.5,0,0.0,0.9666666666666667,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16002,eval,240,1,30,0.8483652482692555,0.8429360270500184,0.8262125253677368,0.8483625054359436,0.8262125253677368,1,1,22,0.36666666666666664,0,0.0,0.9666666666666667,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
