environment,metric,left,right,n_pairs,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,cohen_dz,rank_biserial,paired_t_p,wilcoxon_p,sign_test_p,wins,losses,ties,difference_skew,difference_excess_kurtosis,catastrophic_low_outliers,catastrophic_high_outliers,win_rate_non_ties,paired_t_holm_p,wilcoxon_holm_p,sign_test_holm_p
combined_executed_condition,mean_return,feed_forward_dqn,fuzzy_relative_reliability,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,30,0.0,0.0,0,0,0.5,1.0,1.0,1.0
combined_executed_condition,mean_return,feed_forward_dqn,selected_approximate_support,30,-0.0013022059791450102,0.01283856539521383,-0.040334682759045,0.035701999259188044,-0.01213417041327335,0.13978494623655913,0.9474664234439288,0.5158484429121017,0.36159460805356514,18,12,0,-0.9047009265375595,0.2918519651829219,0,0,0.6,1.0,1.0,1.0
combined_executed_condition,mean_return,feed_forward_dqn,selected_temporal_drqn,30,-0.0528354465639277,-0.03631331528755255,-0.11475840471397489,0.010739181726862673,-0.30024805840290225,-0.33763440860215055,0.11086610338031179,0.10943205840885639,0.36159460805356514,12,18,0,0.11882061780329582,0.1939260267245282,0,0,0.4,0.6401875124800264,0.6565923504531384,1.0
combined_executed_condition,mean_return,feed_forward_dqn,sensorized_controller,30,-0.3686962508115054,-0.376663066202309,-0.4233785317652847,-0.31339131388907676,-2.353186441363313,-1.0,1.5659190974329195e-13,1.862645149230957e-09,1.862645149230957e-09,0,30,0,-0.12052566880611096,0.12644536963861697,0,0,0.0,1.5659190974329194e-12,1.862645149230957e-08,1.862645149230957e-08
combined_executed_condition,mean_return,fuzzy_relative_reliability,selected_approximate_support,30,-0.0013022059791450102,0.01283856539521383,-0.040334682759045,0.035701999259188044,-0.01213417041327335,0.13978494623655913,0.9474664234439288,0.5158484429121017,0.36159460805356514,18,12,0,-0.9047009265375595,0.2918519651829219,0,0,0.6,1.0,1.0,1.0
combined_executed_condition,mean_return,fuzzy_relative_reliability,selected_temporal_drqn,30,-0.0528354465639277,-0.03631331528755255,-0.11475840471397489,0.010739181726862673,-0.30024805840290225,-0.33763440860215055,0.11086610338031179,0.10943205840885639,0.36159460805356514,12,18,0,0.11882061780329582,0.1939260267245282,0,0,0.4,0.6401875124800264,0.6565923504531384,1.0
combined_executed_condition,mean_return,fuzzy_relative_reliability,sensorized_controller,30,-0.3686962508115054,-0.376663066202309,-0.4233785317652847,-0.31339131388907676,-2.353186441363313,-1.0,1.5659190974329195e-13,1.862645149230957e-09,1.862645149230957e-09,0,30,0,-0.12052566880611096,0.12644536963861697,0,0,0.0,1.5659190974329194e-12,1.862645149230957e-08,1.862645149230957e-08
combined_executed_condition,mean_return,selected_approximate_support,selected_temporal_drqn,30,-0.051533240584782695,-0.06064919457057827,-0.11168555479701042,0.0072153844201845,-0.30397131026800694,-0.32903225806451614,0.10669791874667106,0.11907656863331795,0.042773945257067694,9,21,0,-0.31054289388921724,0.09812807910467125,0,0,0.3,0.6401875124800264,0.6565923504531384,0.2566436715424062
combined_executed_condition,mean_return,selected_approximate_support,sensorized_controller,30,-0.36739404483236043,-0.3745272494124946,-0.4235050877764346,-0.312539366157117,-2.33030243838701,-1.0,1.9952195221502273e-13,1.862645149230957e-09,1.862645149230957e-09,0,30,0,-0.11570055004620032,-0.5418217002612176,0,0,0.0,1.5961756177201818e-12,1.862645149230957e-08,1.862645149230957e-08
combined_executed_condition,mean_return,selected_temporal_drqn,sensorized_controller,30,-0.31586080424757773,-0.26803444507997487,-0.3821571138359892,-0.2552705974674555,-1.729539667081771,-1.0,2.220937325872969e-10,1.862645149230957e-09,1.862645149230957e-09,0,30,0,-1.1731196174895813,1.4032260958386509,0,0,0.0,1.5546561281110783e-09,1.862645149230957e-08,1.862645149230957e-08
combined_executed_condition,success_rate,feed_forward_dqn,fuzzy_relative_reliability,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,30,0.0,0.0,0,0,0.5,1.0,1.0,1.0
combined_executed_condition,success_rate,feed_forward_dqn,selected_approximate_support,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,30,0.0,0.0,0,0,0.5,1.0,1.0,1.0
combined_executed_condition,success_rate,feed_forward_dqn,selected_temporal_drqn,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,30,0.0,0.0,0,0,0.5,1.0,1.0,1.0
combined_executed_condition,success_rate,feed_forward_dqn,sensorized_controller,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,30,0.0,0.0,0,0,0.5,1.0,1.0,1.0
combined_executed_condition,success_rate,fuzzy_relative_reliability,selected_approximate_support,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,30,0.0,0.0,0,0,0.5,1.0,1.0,1.0
combined_executed_condition,success_rate,fuzzy_relative_reliability,selected_temporal_drqn,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,30,0.0,0.0,0,0,0.5,1.0,1.0,1.0
combined_executed_condition,success_rate,fuzzy_relative_reliability,sensorized_controller,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,30,0.0,0.0,0,0,0.5,1.0,1.0,1.0
