estimator_family,candidate_id,environment,environment_mean_return_auc,environment_rank,mean_environment_rank,worst_environment_rank,failure_probability,median_query_latency_seconds,overall_selection_order,selected_overall,selected_within_family,family_selection_order
raw_normalized,raw_normalized_s1,ApplicationNavigation-support-estimator-development,-2.476786666666667,2.0,2.5,3.0,0.733125,0.00169995,1,True,True,1
raw_normalized,raw_normalized_s1,Reviewer1-transition-dynamics-support-estimator-development,-1.8878800000000004,3.0,2.5,3.0,0.733125,0.00169995,1,True,True,1
mahalanobis,mahalanobis_s1,ApplicationNavigation-support-estimator-development,-3.281486666666667,4.0,5.0,6.0,0.725625,0.002341575,2,False,True,1
mahalanobis,mahalanobis_s1,Reviewer1-transition-dynamics-support-estimator-development,-1.9363933333333339,6.0,5.0,6.0,0.725625,0.002341575,2,False,True,1
raw_normalized,raw_normalized_s2,ApplicationNavigation-support-estimator-development,-2.46216,1.0,5.0,9.0,0.76625,0.002196975,3,False,False,2
raw_normalized,raw_normalized_s2,Reviewer1-transition-dynamics-support-estimator-development,-1.966273333333334,9.0,5.0,9.0,0.76625,0.002196975,3,False,False,2
mahalanobis,mahalanobis_s2,ApplicationNavigation-support-estimator-development,-3.2053,3.0,5.5,8.0,0.76625,0.0023320249999999997,4,False,False,2
mahalanobis,mahalanobis_s2,Reviewer1-transition-dynamics-support-estimator-development,-1.959966666666667,8.0,5.5,8.0,0.76625,0.0023320249999999997,4,False,False,2
frozen_embedding,frozen_embedding_s1,ApplicationNavigation-support-estimator-development,-3.642693333333334,9.0,6.5,9.0,0.715625,0.0025746000000000002,5,False,True,1
frozen_embedding,frozen_embedding_s1,Reviewer1-transition-dynamics-support-estimator-development,-1.8885400000000003,4.0,6.5,9.0,0.715625,0.0025746000000000002,5,False,True,1
raw_normalized,raw_normalized_s4,ApplicationNavigation-support-estimator-development,-4.135419999999999,11.0,6.5,11.0,0.765625,0.0022672499999999997,6,False,False,3
raw_normalized,raw_normalized_s4,Reviewer1-transition-dynamics-support-estimator-development,-1.819186666666667,2.0,6.5,11.0,0.765625,0.0022672499999999997,6,False,False,3
