environment,candidate_id,estimator_family,estimator_type,representation,slot_id,k,h,tau_approx,regularization,requested_index,effective_index,seed,return_auc,failure_probability,median_query_latency_seconds,checkpoint_first,checkpoint_last,checkpoint_count,evaluation_episodes_per_checkpoint,source_row_count,execution_source_commit,source_snapshot_sha256,source_file
ApplicationNavigation-support-estimator-development,frozen_embedding_s1,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s1,3,0.25,1.0,0.0001,brute_force,brute_force,13000,-7.006833333333334,0.63125,0.00070635,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
ApplicationNavigation-support-estimator-development,frozen_embedding_s1,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s1,3,0.25,1.0,0.0001,brute_force,brute_force,13001,-3.0697000000000005,0.75,0.0008837000000000001,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
ApplicationNavigation-support-estimator-development,frozen_embedding_s1,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s1,3,0.25,1.0,0.0001,brute_force,brute_force,13002,-2.605866666666667,0.8125,0.0007390000000000001,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
ApplicationNavigation-support-estimator-development,frozen_embedding_s1,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s1,3,0.25,1.0,0.0001,brute_force,brute_force,13003,-3.668533333333333,0.6125,0.0007286,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
ApplicationNavigation-support-estimator-development,frozen_embedding_s1,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s1,3,0.25,1.0,0.0001,brute_force,brute_force,13004,-1.8625333333333336,0.73125,0.0006975,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
Reviewer1-transition-dynamics-support-estimator-development,frozen_embedding_s1,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s1,3,0.25,1.0,0.0001,brute_force,brute_force,13000,-1.699666666666667,0.68125,0.0043798,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
Reviewer1-transition-dynamics-support-estimator-development,frozen_embedding_s1,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s1,3,0.25,1.0,0.0001,brute_force,brute_force,13001,-2.093233333333334,0.7625,0.0047493,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
Reviewer1-transition-dynamics-support-estimator-development,frozen_embedding_s1,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s1,3,0.25,1.0,0.0001,brute_force,brute_force,13002,-2.0545000000000004,0.76875,0.00441385,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
Reviewer1-transition-dynamics-support-estimator-development,frozen_embedding_s1,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s1,3,0.25,1.0,0.0001,brute_force,brute_force,13003,-1.8434000000000006,0.7375,0.00528905,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
Reviewer1-transition-dynamics-support-estimator-development,frozen_embedding_s1,frozen_embedding,gaussian_affinity,frozen_dqn_penultimate,s1,3,0.25,1.0,0.0001,brute_force,brute_force,13004,-1.7519000000000005,0.66875,0.0042655,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
