estimator_family,candidate_id,environment,family_candidate_count,candidate_counts_equal,seed_set,seed_sets_equal,training_steps,training_steps_equal,checkpoint_schedule,checkpoint_schedule_equal,evaluation_episodes,evaluation_episodes_equal,torch_threads,cpu_thread_settings_equal,expected_completed_runs,observed_completed_runs,observed_seed_set,observed_coverage_equal,final_seed_rows,audit_status,source_file
raw_normalized,raw_normalized_s1,ApplicationNavigation-support-estimator-development,4,True,13000;13001;13002;13003;13004,True,16000,True,1000:1000:16000,True,10,True,1,True,5,5,13000;13001;13002;13003;13004,True,0,PASS,project_admin/reviewer1_remaining/SUPPORT_ESTIMATOR_CANDIDATES.yaml
raw_normalized,raw_normalized_s1,Reviewer1-transition-dynamics-support-estimator-development,4,True,13000;13001;13002;13003;13004,True,16000,True,1000:1000:16000,True,10,True,1,True,5,5,13000;13001;13002;13003;13004,True,0,PASS,project_admin/reviewer1_remaining/SUPPORT_ESTIMATOR_CANDIDATES.yaml
raw_normalized,raw_normalized_s2,ApplicationNavigation-support-estimator-development,4,True,13000;13001;13002;13003;13004,True,16000,True,1000:1000:16000,True,10,True,1,True,5,5,13000;13001;13002;13003;13004,True,0,PASS,project_admin/reviewer1_remaining/SUPPORT_ESTIMATOR_CANDIDATES.yaml
raw_normalized,raw_normalized_s2,Reviewer1-transition-dynamics-support-estimator-development,4,True,13000;13001;13002;13003;13004,True,16000,True,1000:1000:16000,True,10,True,1,True,5,5,13000;13001;13002;13003;13004,True,0,PASS,project_admin/reviewer1_remaining/SUPPORT_ESTIMATOR_CANDIDATES.yaml
raw_normalized,raw_normalized_s3,ApplicationNavigation-support-estimator-development,4,True,13000;13001;13002;13003;13004,True,16000,True,1000:1000:16000,True,10,True,1,True,5,5,13000;13001;13002;13003;13004,True,0,PASS,project_admin/reviewer1_remaining/SUPPORT_ESTIMATOR_CANDIDATES.yaml
raw_normalized,raw_normalized_s3,Reviewer1-transition-dynamics-support-estimator-development,4,True,13000;13001;13002;13003;13004,True,16000,True,1000:1000:16000,True,10,True,1,True,5,5,13000;13001;13002;13003;13004,True,0,PASS,project_admin/reviewer1_remaining/SUPPORT_ESTIMATOR_CANDIDATES.yaml
raw_normalized,raw_normalized_s4,ApplicationNavigation-support-estimator-development,4,True,13000;13001;13002;13003;13004,True,16000,True,1000:1000:16000,True,10,True,1,True,5,5,13000;13001;13002;13003;13004,True,0,PASS,project_admin/reviewer1_remaining/SUPPORT_ESTIMATOR_CANDIDATES.yaml
raw_normalized,raw_normalized_s4,Reviewer1-transition-dynamics-support-estimator-development,4,True,13000;13001;13002;13003;13004,True,16000,True,1000:1000:16000,True,10,True,1,True,5,5,13000;13001;13002;13003;13004,True,0,PASS,project_admin/reviewer1_remaining/SUPPORT_ESTIMATOR_CANDIDATES.yaml
zscore,zscore_s1,ApplicationNavigation-support-estimator-development,4,True,13000;13001;13002;13003;13004,True,16000,True,1000:1000:16000,True,10,True,1,True,5,5,13000;13001;13002;13003;13004,True,0,PASS,project_admin/reviewer1_remaining/SUPPORT_ESTIMATOR_CANDIDATES.yaml
zscore,zscore_s1,Reviewer1-transition-dynamics-support-estimator-development,4,True,13000;13001;13002;13003;13004,True,16000,True,1000:1000:16000,True,10,True,1,True,5,5,13000;13001;13002;13003;13004,True,0,PASS,project_admin/reviewer1_remaining/SUPPORT_ESTIMATOR_CANDIDATES.yaml
