environment_key,environment,agent,target_type,target_definition,aggregation_level,requested_coverage,realized_coverage,retained_rows,total_rows,selective_risk,selective_risk_ci_low,selective_risk_ci_high,bootstrap_available_seed_count,source_file
application_goal_shift,support-final-application-goal-shift,exact_count_gate,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.1,0.1,960,9600,0.9333333333333333,0.9125,0.9520833333333333,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,exact_count_gate,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.25,0.25,2400,9600,0.9383333333333331,0.9262499999999999,0.9512499999999999,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,exact_count_gate,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.5,0.5,4800,9600,0.9400000000000001,0.9297864583333333,0.9491666666666667,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,exact_count_gate,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.75,0.75,7200,9600,0.9387499999999999,0.9288888888888889,0.9476423611111111,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,exact_count_gate,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,1.0,1.0,9600,9600,0.9348958333333335,0.9258333333333334,0.9428124999999999,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,frozen_embedding_s1,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.1,0.1,960,9600,0.48125,0.39895833333333336,0.5697916666666667,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,frozen_embedding_s1,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.25,0.25,2400,9600,0.4895833333333334,0.4420833333333334,0.5354166666666667,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,frozen_embedding_s1,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.5,0.5,4800,9600,0.529375,0.4950000000000001,0.5620937500000001,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,frozen_embedding_s1,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.75,0.75,7200,9600,0.6565277777777777,0.6316631944444444,0.6784722222222221,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,frozen_embedding_s1,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,1.0,1.0,9600,9600,0.7271874999999998,0.7105182291666666,0.7441666666666666,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,gaussian_affinity_executed,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.1,0.1,960,9600,0.725,0.6895833333333333,0.7583333333333333,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,gaussian_affinity_executed,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.25,0.25,2400,9600,0.4933333333333334,0.4691458333333333,0.5175000000000001,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,gaussian_affinity_executed,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.5,0.5,4800,9600,0.4958333333333333,0.4693697916666666,0.5233333333333333,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,gaussian_affinity_executed,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.75,0.75,7200,9600,0.6308333333333335,0.6134722222222223,0.6486145833333333,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,gaussian_affinity_executed,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,1.0,1.0,9600,9600,0.7083333333333334,0.6957265625,0.7211484375,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,gaussian_density_s3,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.1,0.1,960,9600,0.978125,0.9552083333333333,0.9958333333333333,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,gaussian_density_s3,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.25,0.25,2400,9600,0.9445833333333334,0.90790625,0.9716666666666666,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,gaussian_density_s3,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.5,0.5,4800,9600,0.9247916666666666,0.9006197916666666,0.9481249999999999,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,gaussian_density_s3,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.75,0.75,7200,9600,0.9220833333333333,0.9030520833333333,0.9380555555555554,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,gaussian_density_s3,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,1.0,1.0,9600,9600,0.9269791666666667,0.9136432291666667,0.9394791666666666,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,mahalanobis_s1,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.1,0.1,960,9600,0.35520833333333335,0.285390625,0.428125,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,mahalanobis_s1,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.25,0.25,2400,9600,0.3133333333333333,0.26499999999999996,0.36041666666666666,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,mahalanobis_s1,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.5,0.5,4800,9600,0.42,0.38353645833333333,0.459375,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,mahalanobis_s1,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.75,0.75,7200,9600,0.5625,0.5352743055555554,0.5915347222222221,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,mahalanobis_s1,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,1.0,1.0,9600,9600,0.6545833333333333,0.6331197916666667,0.6766666666666664,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,raw_normalized_s1,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.1,0.1,960,9600,0.9958333333333333,0.9895833333333334,1.0,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
application_goal_shift,support-final-application-goal-shift,raw_normalized_s1,episode_failure,failure rate among highest-support retained episodes,mean_seed_selective_risk,0.25,0.25,2400,9600,0.9770833333333334,0.9625,0.9883333333333334,30,results/reviewer1_remaining/support_final/execution/application_goal_shift/raw.csv.gz
