estimator,memory_size,dimension,k,status,reason_if_unavailable,build_time_seconds,median_query_latency_seconds,p95_query_latency_seconds,memory_bytes,serialized_size_bytes,warmup_calls,measured_queries_per_repeat,timing_repeats,query_sample_count,build_repeats,cpu_threads,logical_cpu_count,cpu_model,platform,python_version,numpy_version,scipy_version,torch_version,device,gpu_used,synthetic_seed,data_dtype,query_hit_fraction,embedding_dimension,embedding_snapshot_hash,expected_asymptotic_time,observed_query_scaling_exponent,observed_memory_scaling_exponent,memory_definition,serialized_size_definition,timing_scope,query_checksum
brute_force_euclidean_knn,100,4,5,completed,,8.3e-06,3e-05,5.7249999999999996e-05,1600,1746,5,20,5,100,3,1,12,"Intel64 Family 6 Model 165 Stepping 3, GenuineIntel",Windows-11-10.0.26200-SP0,3.14.3,2.4.3,1.17.1,2.11.0+cpu,cpu,False,20260805,float32,0.5,0,,"build O(n*d), query O(n*d)",0.8106782491528021,0.9999999999999998,Estimator-owned arrays/model tensors and exposed cKDTree arrays plus Python container sizes where measurable; allocator fragmentation and temporary query workspace excluded.,Length in bytes of pickle protocol 5 for the immutable estimator state used by this microbenchmark.,Single-thread warmed CPU wall-clock; per-query timings include query representation and search/density evaluation but exclude synthetic data generation and serialization.,512.7159922122955
ckdtree_indexed_knn,100,4,5,completed,,0.000116,4.92e-05,8.012999999999997e-05,4152,5507,5,20,5,100,3,1,12,"Intel64 Family 6 Model 165 Stepping 3, GenuineIntel",Windows-11-10.0.26200-SP0,3.14.3,2.4.3,1.17.1,2.11.0+cpu,cpu,False,20260805,float32,0.5,0,,"build O(n*log(n)*d), average query O(log(n)*d + k); worst-case O(n*d)",0.07265137280166725,0.9949975257301931,Estimator-owned arrays/model tensors and exposed cKDTree arrays plus Python container sizes where measurable; allocator fragmentation and temporary query workspace excluded.,Length in bytes of pickle protocol 5 for the immutable estimator state used by this microbenchmark.,Single-thread warmed CPU wall-clock; per-query timings include query representation and search/density evaluation but exclude synthetic data generation and serialization.,512.7159984810531
exact_hash_lookup,100,4,0,completed,,0.0001064,1.3e-06,1.7049999999999998e-06,12388,2116,5,20,5,100,3,1,12,"Intel64 Family 6 Model 165 Stepping 3, GenuineIntel",Windows-11-10.0.26200-SP0,3.14.3,2.4.3,1.17.1,2.11.0+cpu,cpu,False,20260805,float32,0.5,0,,"build O(n*d), expected query O(d) for state-byte hashing; worst-case hash lookup O(n)",0.09522612355564498,1.0027721630395283,Estimator-owned arrays/model tensors and exposed cKDTree arrays plus Python container sizes where measurable; allocator fragmentation and temporary query workspace excluded.,Length in bytes of pickle protocol 5 for the immutable estimator state used by this microbenchmark.,Single-thread warmed CPU wall-clock; per-query timings include query representation and search/density evaluation but exclude synthetic data generation and serialization.,50.0
frozen_embedding_ckdtree_knn,100,4,5,completed,,0.0123408,0.00030055,0.0004906099999999998,73152,74956,5,20,5,100,3,1,12,"Intel64 Family 6 Model 165 Stepping 3, GenuineIntel",Windows-11-10.0.26200-SP0,3.14.3,2.4.3,1.17.1,2.11.0+cpu,cpu,False,20260805,float32,0.5,64,de03cd4b22040ad452673f46faa5eee59e2bb9963455f97c43559173b0a2d093,"build O(n*network_cost + n*log(n)*e), query O(network_cost + log(n)*e + k), worst-case indexed search O(n*e)",0.2421952865933591,0.9581312324505948,Estimator-owned arrays/model tensors and exposed cKDTree arrays plus Python container sizes where measurable; allocator fragmentation and temporary query workspace excluded.,Length in bytes of pickle protocol 5 for the immutable estimator state used by this microbenchmark.,Single-thread warmed CPU wall-clock; per-query timings include query representation and search/density evaluation but exclude synthetic data generation and serialization.,303.61430166285464
regularized_gaussian_density,100,4,0,completed,,0.0002536,4.15e-05,4.961e-05,3360,3636,5,20,5,100,3,1,12,"Intel64 Family 6 Model 165 Stepping 3, GenuineIntel",Windows-11-10.0.26200-SP0,3.14.3,2.4.3,1.17.1,2.11.0+cpu,cpu,False,20260805,float32,0.5,0,,"build O(n*d^2 + d^3), query O(n*d + d^2)",0.8378761291402063,0.9934548276549645,Estimator-owned arrays/model tensors and exposed cKDTree arrays plus Python container sizes where measurable; allocator fragmentation and temporary query workspace excluded.,Length in bytes of pickle protocol 5 for the immutable estimator state used by this microbenchmark.,Single-thread warmed CPU wall-clock; per-query timings include query representation and search/density evaluation but exclude synthetic data generation and serialization.,-619.08813348052
regularized_mahalanobis,100,4,5,completed,,0.0003244,3.555e-05,7.391499999999997e-05,3360,3603,5,20,5,100,3,1,12,"Intel64 Family 6 Model 165 Stepping 3, GenuineIntel",Windows-11-10.0.26200-SP0,3.14.3,2.4.3,1.17.1,2.11.0+cpu,cpu,False,20260805,float32,0.5,0,,"build O(n*d^2 + d^3), query O(n*d + d^2) after whitening",0.8482138394569411,0.9934548276549645,Estimator-owned arrays/model tensors and exposed cKDTree arrays plus Python container sizes where measurable; allocator fragmentation and temporary query workspace excluded.,Length in bytes of pickle protocol 5 for the immutable estimator state used by this microbenchmark.,Single-thread warmed CPU wall-clock; per-query timings include query representation and search/density evaluation but exclude synthetic data generation and serialization.,492.121979572123
brute_force_euclidean_knn,1000,4,5,completed,,1.26e-05,5.635e-05,0.00011488999999999998,16000,16147,5,20,5,100,3,1,12,"Intel64 Family 6 Model 165 Stepping 3, GenuineIntel",Windows-11-10.0.26200-SP0,3.14.3,2.4.3,1.17.1,2.11.0+cpu,cpu,False,20260805,float32,0.5,0,,"build O(n*d), query O(n*d)",0.8106782491528021,0.9999999999999998,Estimator-owned arrays/model tensors and exposed cKDTree arrays plus Python container sizes where measurable; allocator fragmentation and temporary query workspace excluded.,Length in bytes of pickle protocol 5 for the immutable estimator state used by this microbenchmark.,Single-thread warmed CPU wall-clock; per-query timings include query representation and search/density evaluation but exclude synthetic data generation and serialization.,267.273664355278
ckdtree_indexed_knn,1000,4,5,completed,,0.0003502,5.13e-05,8.789999999999995e-05,40152,49574,5,20,5,100,3,1,12,"Intel64 Family 6 Model 165 Stepping 3, GenuineIntel",Windows-11-10.0.26200-SP0,3.14.3,2.4.3,1.17.1,2.11.0+cpu,cpu,False,20260805,float32,0.5,0,,"build O(n*log(n)*d), average query O(log(n)*d + k); worst-case O(n*d)",0.07265137280166725,0.9949975257301931,Estimator-owned arrays/model tensors and exposed cKDTree arrays plus Python container sizes where measurable; allocator fragmentation and temporary query workspace excluded.,Length in bytes of pickle protocol 5 for the immutable estimator state used by this microbenchmark.,Single-thread warmed CPU wall-clock; per-query timings include query representation and search/density evaluation but exclude synthetic data generation and serialization.,267.27366455680476
exact_hash_lookup,1000,4,0,completed,,0.0005145,1.7e-06,2.6049999999999996e-06,113952,21018,5,20,5,100,3,1,12,"Intel64 Family 6 Model 165 Stepping 3, GenuineIntel",Windows-11-10.0.26200-SP0,3.14.3,2.4.3,1.17.1,2.11.0+cpu,cpu,False,20260805,float32,0.5,0,,"build O(n*d), expected query O(d) for state-byte hashing; worst-case hash lookup O(n)",0.09522612355564498,1.0027721630395283,Estimator-owned arrays/model tensors and exposed cKDTree arrays plus Python container sizes where measurable; allocator fragmentation and temporary query workspace excluded.,Length in bytes of pickle protocol 5 for the immutable estimator state used by this microbenchmark.,Single-thread warmed CPU wall-clock; per-query timings include query representation and search/density evaluation but exclude synthetic data generation and serialization.,50.0
frozen_embedding_ckdtree_knn,1000,4,5,completed,,0.0155329,0.0009782,0.00142718,555552,565424,5,20,5,100,3,1,12,"Intel64 Family 6 Model 165 Stepping 3, GenuineIntel",Windows-11-10.0.26200-SP0,3.14.3,2.4.3,1.17.1,2.11.0+cpu,cpu,False,20260805,float32,0.5,64,de03cd4b22040ad452673f46faa5eee59e2bb9963455f97c43559173b0a2d093,"build O(n*network_cost + n*log(n)*e), query O(network_cost + log(n)*e + k), worst-case indexed search O(n*e)",0.2421952865933591,0.9581312324505948,Estimator-owned arrays/model tensors and exposed cKDTree arrays plus Python container sizes where measurable; allocator fragmentation and temporary query workspace excluded.,Length in bytes of pickle protocol 5 for the immutable estimator state used by this microbenchmark.,Single-thread warmed CPU wall-clock; per-query timings include query representation and search/density evaluation but exclude synthetic data generation and serialization.,165.08765297941898
