result_family,environment,agent,aggregation_level,source_file,source_column,n_seed_rows,n_finite_returns,nonfinite_returns_dropped,mean_return,minimum_return,return_quantile_0_05,worst_decile_mean_return,cvar_0_10_return,cvar_0_10_tail_count,cvar_0_05_return,cvar_0_05_tail_count,cvar_0_05_available,cvar_0_05_reason,failure_probability,failure_probability_n,failure_probability_reason,collision_rate,collision_rate_n,collision_rate_reason,risk_zone_rate,risk_zone_rate_n,risk_zone_rate_reason,motor_saturation_rate,motor_saturation_rate_n,motor_saturation_rate_reason
adaptive_gate_compact_validation,CliffWalking-adaptive,count_gated_tau_20,seed,results/adaptive_gate_compact_validation/seed_metrics.csv,mean_return,30,30,0,-13,-13,-13,-13,-13,3,-13,2,True,,0,30,,0,30,,0,30,,,0,source column motor_saturation_rate is absent
adaptive_gate_compact_validation,CliffWalking-adaptive,fuzzy_support_adaptive,seed,results/adaptive_gate_compact_validation/seed_metrics.csv,mean_return,30,30,0,-13,-13,-13,-13,-13,3,-13,2,True,,0,30,,0,30,,0,30,,,0,source column motor_saturation_rate is absent
adaptive_gate_compact_validation,CliffWalking-adaptive,support_abstain_tau_20,seed,results/adaptive_gate_compact_validation/seed_metrics.csv,mean_return,30,30,0,-13.0388888889,-14.1666666667,-13,-13.3888888889,-13.3888888889,3,-13.5833333333,2,True,,0,30,,0,30,,0,30,,,0,source column motor_saturation_rate is absent
adaptive_gate_compact_validation,CliffWalking-adaptive,tabular,seed,results/adaptive_gate_compact_validation/seed_metrics.csv,mean_return,30,30,0,-13,-13,-13,-13,-13,3,-13,2,True,,0,30,,0,30,,0,30,,,0,source column motor_saturation_rate is absent
adaptive_gate_compact_validation,CliffWalking-adaptive,validated_dqn,seed,results/adaptive_gate_compact_validation/seed_metrics.csv,mean_return,30,30,0,-500,-500,-500,-500,-500,3,-500,2,True,,1,30,,0,30,,0,30,,,0,source column motor_saturation_rate is absent
adaptive_gate_compact_validation,FourRooms-9-support-shift-adaptive,count_gated_tau_20,seed,results/adaptive_gate_compact_validation/seed_metrics.csv,mean_return,30,30,0,-2.09176666667,-2.98566666667,-2.80116666667,-2.85966666667,-2.85966666667,3,-2.91366666667,2,True,,0.796666666667,30,,0,30,,0,30,,,0,source column motor_saturation_rate is absent
adaptive_gate_compact_validation,FourRooms-9-support-shift-adaptive,fuzzy_support_adaptive,seed,results/adaptive_gate_compact_validation/seed_metrics.csv,mean_return,30,30,0,-2.19026666667,-2.89733333333,-2.63368333333,-2.72122222222,-2.72122222222,3,-2.76783333333,2,True,,0.812222222222,30,,0,30,,0,30,,,0,source column motor_saturation_rate is absent
adaptive_gate_compact_validation,FourRooms-9-support-shift-adaptive,support_abstain_tau_20,seed,results/adaptive_gate_compact_validation/seed_metrics.csv,mean_return,30,30,0,-1.05321111111,-1.449,-1.32443333333,-1.36322222222,-1.36322222222,3,-1.40516666667,2,True,,0.584444444444,30,,0,30,,0,30,,,0,source column motor_saturation_rate is absent
adaptive_gate_compact_validation,FourRooms-9-support-shift-adaptive,tabular,seed,results/adaptive_gate_compact_validation/seed_metrics.csv,mean_return,30,30,0,-1.04543333333,-1.46566666667,-1.4149,-1.42944444444,-1.42944444444,3,-1.45633333333,2,True,,0.591111111111,30,,0,30,,0,30,,,0,source column motor_saturation_rate is absent
adaptive_gate_compact_validation,FourRooms-9-support-shift-adaptive,validated_dqn,seed,results/adaptive_gate_compact_validation/seed_metrics.csv,mean_return,30,30,0,-2.13163333333,-2.785,-2.68273333333,-2.71077777778,-2.71077777778,3,-2.77466666667,2,True,,0.804444444444,30,,0,30,,0,30,,,0,source column motor_saturation_rate is absent
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,count_gated_tau_20,seed,results/adaptive_gate_compact_validation/seed_metrics.csv,mean_return,30,30,0,0.666666666667,0.266666666667,0.4,0.355555555556,0.355555555556,3,0.333333333333,2,True,,0.333333333333,30,,0,30,,0,30,,,0,source column motor_saturation_rate is absent
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,fuzzy_support_adaptive,seed,results/adaptive_gate_compact_validation/seed_metrics.csv,mean_return,30,30,0,0.653333333333,0.4,0.496666666667,0.466666666667,0.466666666667,3,0.433333333333,2,True,,0.346666666667,30,,0,30,,0,30,,,0,source column motor_saturation_rate is absent
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,support_abstain_tau_20,seed,results/adaptive_gate_compact_validation/seed_metrics.csv,mean_return,30,30,0,0.665555555556,0.266666666667,0.4,0.355555555556,0.355555555556,3,0.333333333333,2,True,,0.334444444444,30,,0,30,,0,30,,,0,source column motor_saturation_rate is absent
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,tabular,seed,results/adaptive_gate_compact_validation/seed_metrics.csv,mean_return,30,30,0,0.645555555556,0,0.381666666667,0.255555555556,0.255555555556,3,0.183333333333,2,True,,0.354444444444,30,,0,30,,0,30,,,0,source column motor_saturation_rate is absent
adaptive_gate_compact_validation,FrozenLake-4x4-slippery-adaptive,validated_dqn,seed,results/adaptive_gate_compact_validation/seed_metrics.csv,mean_return,30,30,0,0.247777777778,0,0,0,0,3,0,2,True,,0.752222222222,30,,0,30,,0,30,,,0,source column motor_saturation_rate is absent
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,count_gated_tau_20,seed,results/application_navigation_case_study/seed_metrics.csv,mean_return,30,30,0,-4.54175555556,-12.7736666667,-11.07825,-11.6417777778,-11.6417777778,3,-11.9368333333,2,True,,0.41,30,,0.232902141545,30,,0.0205567728942,30,,,0,source column motor_saturation_rate is absent
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,fixed_hybrid,seed,results/application_navigation_case_study/seed_metrics.csv,mean_return,30,30,0,-4.99525555556,-12.256,-10.6864666667,-11.2017777778,-11.2017777778,3,-11.5243333333,2,True,,0.658888888889,30,,0.182533252521,30,,0.0155992747017,30,,,0,source column motor_saturation_rate is absent
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,seed,results/application_navigation_case_study/seed_metrics.csv,mean_return,30,30,0,-5.54234444444,-12.775,-11.1112166667,-11.622,-11.622,3,-12.2388333333,2,True,,0.502222222222,30,,0.244377849732,30,,0.0169056447086,30,,,0,source column motor_saturation_rate is absent
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,support_abstain_tau_20,seed,results/application_navigation_case_study/seed_metrics.csv,mean_return,30,30,0,1.23342222222,-0.755666666667,-0.09725,-0.316222222222,-0.316222222222,3,-0.429833333333,2,True,,0.455555555556,30,,0.00670581692147,30,,0.0327830547725,30,,,0,source column motor_saturation_rate is absent
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,tabular,seed,results/application_navigation_case_study/seed_metrics.csv,mean_return,30,30,0,1.2795,-1.09866666667,-0.603483333333,-0.768111111111,-0.768111111111,3,-0.854,2,True,,0.248888888889,30,,0.0695517983337,30,,0.0356371324482,30,,,0,source column motor_saturation_rate is absent
