agent,metric,n_environments,mean_environment_rank,median_environment_rank,best_environment_rank,worst_environment_rank
feedforward_capacity_h064,return_auc,1,4.0,4.0,4.0,4.0
feedforward_capacity_h096,return_auc,1,2.0,2.0,2.0,2.0
feedforward_capacity_h128,return_auc,1,3.0,3.0,3.0,3.0
interface_dqn_h064,return_auc,4,1.0,1.0,1.0,1.0
temporal_drqn_seq4,return_auc,1,1.0,1.0,1.0,1.0
temporal_filtered_alpha035,return_auc,1,1.0,1.0,1.0,1.0
temporal_frame_stack_4,return_auc,1,1.0,1.0,1.0,1.0
feedforward_capacity_h064,success_rate_auc,1,2.5,2.5,2.5,2.5
feedforward_capacity_h096,success_rate_auc,1,2.5,2.5,2.5,2.5
feedforward_capacity_h128,success_rate_auc,1,2.5,2.5,2.5,2.5
interface_dqn_h064,success_rate_auc,4,1.0,1.0,1.0,1.0
temporal_drqn_seq4,success_rate_auc,1,2.5,2.5,2.5,2.5
temporal_filtered_alpha035,success_rate_auc,1,1.0,1.0,1.0,1.0
temporal_frame_stack_4,success_rate_auc,1,1.0,1.0,1.0,1.0
feedforward_capacity_h064,mean_return,1,2.0,2.0,2.0,2.0
feedforward_capacity_h096,mean_return,1,4.0,4.0,4.0,4.0
feedforward_capacity_h128,mean_return,1,3.0,3.0,3.0,3.0
interface_dqn_h064,mean_return,4,1.0,1.0,1.0,1.0
temporal_drqn_seq4,mean_return,1,1.0,1.0,1.0,1.0
temporal_filtered_alpha035,mean_return,1,1.0,1.0,1.0,1.0
temporal_frame_stack_4,mean_return,1,1.0,1.0,1.0,1.0
