environment,agent,metric,n_seeds,minimum,maximum,median,mad,skew,excess_kurtosis,catastrophic_low_outliers,catastrophic_high_outliers,heavy_tail_flag
architecture_filtered_belief,temporal_filtered_alpha035,return_auc,2,-1.302824977374403,-1.1906531905150042,-1.2467390839447035,0.056085893429699385,0.0,0.0,0,0,False
architecture_filtered_belief,temporal_filtered_alpha035,mean_return,2,-1.4964185120351614,-1.387195419705628,-1.4418069658703947,0.05461154616476671,0.0,0.0,0,0,False
architecture_frame_stack,temporal_frame_stack_4,return_auc,2,-1.3668081184088563,-1.0358020041401808,-1.2013050612745184,0.16550305713433777,0.0,0.0,0,0,False
architecture_frame_stack,temporal_frame_stack_4,mean_return,2,-1.6328625791116307,-1.4356209131485471,-1.534241746130089,0.09862083298154178,0.0,0.0,0,0,False
architecture_sensorized_low_level,feedforward_capacity_h064,return_auc,2,-1.3799037703278008,-1.1555098382399107,-1.2677068042838557,0.11219696604394502,0.0,0.0,0,0,False
architecture_sensorized_low_level,feedforward_capacity_h064,mean_return,2,-1.4131923361557226,-1.371810980157461,-1.3925016581565917,0.020690677999130824,0.0,0.0,0,0,False
architecture_sensorized_low_level,feedforward_capacity_h096,return_auc,2,-1.3570890585891902,-1.1718828384054356,-1.2644859484973128,0.09260311009187727,0.0,0.0,0,0,False
architecture_sensorized_low_level,feedforward_capacity_h096,mean_return,2,-1.7017382976110094,-1.2660627036898708,-1.48390050065044,0.21783779696056926,0.0,0.0,0,0,False
architecture_sensorized_low_level,feedforward_capacity_h128,return_auc,2,-1.4458336580752316,-1.0862130955148799,-1.2660233767950557,0.17981028128017584,0.0,0.0,0,0,False
architecture_sensorized_low_level,feedforward_capacity_h128,mean_return,2,-1.793674799313691,-1.0715142715551582,-1.4325945354344247,0.3610802638792664,0.0,0.0,0,0,False
architecture_sensorized_low_level,temporal_drqn_seq4,return_auc,2,-1.110429553424668,-1.0909882316181516,-1.1007088925214097,0.009720660903258183,0.0,0.0,0,0,False
architecture_sensorized_low_level,temporal_drqn_seq4,mean_return,2,-1.5310307180528377,-1.0238866855735733,-1.2774587018132055,0.2535720162396322,0.0,0.0,0,0,False
interface_A_state_low_level,interface_dqn_h064,return_auc,2,-1.2251416773706056,-1.0469626760684574,-1.1360521767195315,0.08908950065107413,0.0,0.0,0,0,False
interface_A_state_low_level,interface_dqn_h064,mean_return,2,-1.46293467048866,-1.1115529010506968,-1.2872437857696784,0.17569088471898164,0.0,0.0,0,0,False
interface_B_sensorized_high_level,interface_dqn_h064,return_auc,2,-1.327164667265218,-1.2650350318501782,-1.296099849557698,0.0310648177075199,0.0,0.0,0,0,False
interface_B_sensorized_high_level,interface_dqn_h064,mean_return,2,-1.541852610539257,-1.2248770314109665,-1.3833648209751117,0.15848778956414522,0.0,0.0,0,0,False
interface_C_state_high_level,interface_dqn_h064,return_auc,2,-1.1827209831838266,-1.1467352012508976,-1.164728092217362,0.017992890966464503,0.0,0.0,0,0,False
interface_C_state_high_level,interface_dqn_h064,mean_return,2,-1.540227181304557,-1.290613261871622,-1.4154202215880893,0.12480695971646749,0.0,0.0,0,0,False
interface_D_sensorized_low_level,interface_dqn_h064,return_auc,2,-1.3799037703278008,-1.1555098382399107,-1.2677068042838557,0.11219696604394502,0.0,0.0,0,0,False
interface_D_sensorized_low_level,interface_dqn_h064,mean_return,2,-1.4131923361557226,-1.371810980157461,-1.3925016581565917,0.020690677999130824,0.0,0.0,0,0,False
