experiment_name,experiment,config_file,environment,environment_id,resolved_environment_id,observation_representation,agent,seed,phase,train_steps,eval_checkpoint,eval_return,checkpoint,episode,return,length,success,environment_steps,gradient_updates,training_loss_mean,training_loss_max,nonfinite_loss_count,completed_checkpoint_count,expected_checkpoint_count,elapsed_seconds,training_elapsed_seconds,evaluation_elapsed_seconds,wall_clock_training_time,wall_clock_evaluation_time,git_commit_hash,package_version,source_snapshot_sha256,execution_inputs_clean,python_version,torch_version,numpy_version,gymnasium_version,minigrid_version,gym_pybullet_drones_version,pybullet_version,mean_gate,support_abstention_rate,global_tabular_error,global_neural_error,visited_states,failure_rate,collision_rate,risk_zone_rate,idle_rate,risk_adjusted_score,unsupported_state_ratio,memory_branch_usage_ratio,neural_branch_usage_ratio,abstention_ratio,adaptive_alpha_mean,adaptive_alpha_iqr,support_score_mean,uncertainty_score_mean,exact_support_coverage,approximate_support_coverage,fuzzy_gate_active_rate,neural_only_fallback_rate,out_of_fuzzy_support_count,out_of_fuzzy_support_ratio,support_status,inference_time_us_per_decision_mean,inference_time_us_per_decision_median,selected_branch,memory_cost_states,memory_cost_entries,memory_cost_bytes_estimated,estimator_support_score,support_neighbor_count,support_nearest_distance,support_effective_sample_mass,support_density_log_score,support_estimator_type,support_representation_type,support_index_type,support_query_latency,support_memory_bytes,embedding_snapshot_hash,embedding_freeze_step,localization_error_mean,sensor_dropout_rate,camera_visible_rate,motor_saturation_rate,tabular_greedy_action,neural_greedy_action,mixed_selected_action,optimal_action,tabular_action_correct,neural_action_correct,relative_reliability_score,predicted_better_branch,actually_better_branch,actually_better_branch_value,tabular_q_error,neural_q_error,post_shift,shift_region,steps_since_shift
reviewer1_temporal_interface_development,reviewer1_temporal_interface_development,configs/reviewer1_remaining/temporal_and_interface_development/matched_design.yaml,architecture_filtered_belief,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,temporal_filtered_alpha035,15004,train,30,,,30,1,-1.5487800478842113,30,0.0,30,0,nan,nan,0,0,2,0.2202594999980647,0.2202594999980647,0.0,0.2202594999980647,0.0,7544f61e62b857de55fcd6c17c5151159b824ebf,1.8.0,36544a532d02876404ae4245dbfdbf54a902a017d06dc714fab7bef09253291c,True,3.12.13,2.12.0+cpu,2.4.6,1.2.3,3.1.0,2.1.0,3.2.7,,,,,,1.0,0.0,1.0,0.03333333333333333,-0.0016666666666666672,1.0,0.0,0.26666666666666666,0.0,nan,nan,0.0,nan,0.0,0.0,nan,0.26666666666666666,nan,nan,unsupported,60.79999999999999,35.2,none,0.0,0.0,0.0,,,,,,,,,,,,,0.030779587694754203,0.23333333333333334,0.9,0.0,,,,,,,,,,,,,,,
reviewer1_temporal_interface_development,reviewer1_temporal_interface_development,configs/reviewer1_remaining/temporal_and_interface_development/matched_design.yaml,architecture_filtered_belief,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,temporal_filtered_alpha035,15004,train,60,,,60,2,-1.593522722669877,30,0.0,60,8,0.018934459192678332,0.026766180992126465,0,0,2,0.4691799000138417,0.4691799000138417,0.0,0.4691799000138417,0.0,7544f61e62b857de55fcd6c17c5151159b824ebf,1.8.0,36544a532d02876404ae4245dbfdbf54a902a017d06dc714fab7bef09253291c,True,3.12.13,2.12.0+cpu,2.4.6,1.2.3,3.1.0,2.1.0,3.2.7,,,,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,nan,nan,0.0,nan,0.0,0.0,nan,1.0,nan,nan,unsupported,226.91999999999996,47.55,neural,0.0,0.0,0.0,,,,,,,,,,,,,0.0302692921521763,0.26666666666666666,0.0,0.0,,,,,,,,,,,,,,,
reviewer1_temporal_interface_development,reviewer1_temporal_interface_development,configs/reviewer1_remaining/temporal_and_interface_development/matched_design.yaml,architecture_filtered_belief,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,temporal_filtered_alpha035,15004,train,90,,,90,3,-0.3235809809714557,30,0.0,90,15,0.01902367677539587,0.026766180992126465,0,0,2,0.7163058000151068,0.7163058000151068,0.0,0.7163058000151068,0.0,7544f61e62b857de55fcd6c17c5151159b824ebf,1.8.0,36544a532d02876404ae4245dbfdbf54a902a017d06dc714fab7bef09253291c,True,3.12.13,2.12.0+cpu,2.4.6,1.2.3,3.1.0,2.1.0,3.2.7,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,nan,nan,0.0,nan,0.0,0.0,nan,1.0,nan,nan,unsupported,430.6433333333334,60.7,neural,0.0,0.0,0.0,,,,,,,,,,,,,0.03476900054762761,0.2,0.0,0.0,,,,,,,,,,,,,,,
reviewer1_temporal_interface_development,reviewer1_temporal_interface_development,configs/reviewer1_remaining/temporal_and_interface_development/matched_design.yaml,architecture_filtered_belief,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,temporal_filtered_alpha035,15004,eval,120,120,-0.6151299057295547,120,1,-0.6151299057295547,30,0.0,120,23,0.017575036329419716,0.026766180992126465,0,1,2,1.7265710000065155,0.9552853000059258,0.7712857000005897,0.9552853000059258,0.7712857000005897,7544f61e62b857de55fcd6c17c5151159b824ebf,1.8.0,36544a532d02876404ae4245dbfdbf54a902a017d06dc714fab7bef09253291c,True,3.12.13,2.12.0+cpu,2.4.6,1.2.3,3.1.0,2.1.0,3.2.7,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,nan,nan,0.0,nan,0.0,0.0,nan,1.0,nan,nan,unsupported,1065.7266666666667,1048.55,neural,0.0,0.0,0.0,,,,,,,,,,,,,0.032276109357674915,0.13333333333333333,0.9666666666666667,0.0,nan,nan,6,nan,nan,nan,nan,unavailable,unavailable,unavailable,nan,nan,0.0,unavailable,nan
reviewer1_temporal_interface_development,reviewer1_temporal_interface_development,configs/reviewer1_remaining/temporal_and_interface_development/matched_design.yaml,architecture_filtered_belief,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,temporal_filtered_alpha035,15004,eval,120,120,-1.5759003331232815,120,2,-1.5759003331232815,30,0.0,120,23,0.017575036329419716,0.026766180992126465,0,1,2,1.7268608000013046,0.9555751000007149,0.7712857000005897,0.9555751000007149,0.7712857000005897,7544f61e62b857de55fcd6c17c5151159b824ebf,1.8.0,36544a532d02876404ae4245dbfdbf54a902a017d06dc714fab7bef09253291c,True,3.12.13,2.12.0+cpu,2.4.6,1.2.3,3.1.0,2.1.0,3.2.7,,,,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,nan,nan,0.0,nan,0.0,0.0,nan,1.0,nan,nan,unsupported,960.9,945.85,neural,0.0,0.0,0.0,,,,,,,,,,,,,0.030620455648750065,0.23333333333333334,0.3,0.0,nan,nan,6,nan,nan,nan,nan,unavailable,unavailable,unavailable,nan,nan,0.0,unavailable,nan
reviewer1_temporal_interface_development,reviewer1_temporal_interface_development,configs/reviewer1_remaining/temporal_and_interface_development/matched_design.yaml,architecture_filtered_belief,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,temporal_filtered_alpha035,15004,eval,120,120,-1.4643333662766969,120,3,-1.4643333662766969,30,0.0,120,23,0.017575036329419716,0.026766180992126465,0,1,2,1.7271514000021853,0.9558657000015955,0.7712857000005897,0.9558657000015955,0.7712857000005897,7544f61e62b857de55fcd6c17c5151159b824ebf,1.8.0,36544a532d02876404ae4245dbfdbf54a902a017d06dc714fab7bef09253291c,True,3.12.13,2.12.0+cpu,2.4.6,1.2.3,3.1.0,2.1.0,3.2.7,,,,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,nan,nan,0.0,nan,0.0,0.0,nan,1.0,nan,nan,unsupported,948.6900000000002,901.8,neural,0.0,0.0,0.0,,,,,,,,,,,,,0.03316378140201171,0.13333333333333333,0.0,0.0,nan,nan,6,nan,nan,nan,nan,unavailable,unavailable,unavailable,nan,nan,0.0,unavailable,nan
reviewer1_temporal_interface_development,reviewer1_temporal_interface_development,configs/reviewer1_remaining/temporal_and_interface_development/matched_design.yaml,architecture_filtered_belief,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,temporal_filtered_alpha035,15004,train,120,,,120,4,-0.8170896767033266,30,0.0,120,23,0.017575036329419716,0.026766180992126465,0,1,2,1.733271600009175,0.9619859000085853,0.7712857000005897,0.9619859000085853,0.7712857000005897,7544f61e62b857de55fcd6c17c5151159b824ebf,1.8.0,36544a532d02876404ae4245dbfdbf54a902a017d06dc714fab7bef09253291c,True,3.12.13,2.12.0+cpu,2.4.6,1.2.3,3.1.0,2.1.0,3.2.7,,,,,,1.0,0.0,0.3,0.03333333333333333,-0.0016666666666666672,1.0,0.0,1.0,0.0,nan,nan,0.0,nan,0.0,0.0,nan,1.0,nan,nan,unsupported,419.8766666666667,56.900000000000006,neural,0.0,0.0,0.0,,,,,,,,,,,,,0.0294750132348175,0.2,0.06666666666666667,0.0,,,,,,,,,,,,,,,
reviewer1_temporal_interface_development,reviewer1_temporal_interface_development,configs/reviewer1_remaining/temporal_and_interface_development/matched_design.yaml,architecture_filtered_belief,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,temporal_filtered_alpha035,15004,train,150,,,150,5,-1.4064584363251922,30,0.0,150,30,0.015648632651815812,0.026766180992126465,0,1,2,1.9639770000067074,1.1926913000061177,0.7712857000005897,1.1926913000061177,0.7712857000005897,7544f61e62b857de55fcd6c17c5151159b824ebf,1.8.0,36544a532d02876404ae4245dbfdbf54a902a017d06dc714fab7bef09253291c,True,3.12.13,2.12.0+cpu,2.4.6,1.2.3,3.1.0,2.1.0,3.2.7,,,,,,1.0,0.0,1.0,0.06666666666666667,-0.0033333333333333344,1.0,0.0,1.0,0.0,nan,nan,0.0,nan,0.0,0.0,nan,1.0,nan,nan,unsupported,472.15999999999997,101.95,neural,0.0,0.0,0.0,,,,,,,,,,,,,0.030597489575544992,0.3333333333333333,0.0,0.0,,,,,,,,,,,,,,,
reviewer1_temporal_interface_development,reviewer1_temporal_interface_development,configs/reviewer1_remaining/temporal_and_interface_development/matched_design.yaml,architecture_filtered_belief,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,temporal_filtered_alpha035,15004,train,180,,,180,6,-0.4825111884437501,30,0.0,180,38,0.01348246555579336,0.026766180992126465,0,1,2,2.195405500009656,1.4241198000090662,0.7712857000005897,1.4241198000090662,0.7712857000005897,7544f61e62b857de55fcd6c17c5151159b824ebf,1.8.0,36544a532d02876404ae4245dbfdbf54a902a017d06dc714fab7bef09253291c,True,3.12.13,2.12.0+cpu,2.4.6,1.2.3,3.1.0,2.1.0,3.2.7,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,nan,nan,0.0,nan,0.0,0.0,nan,1.0,nan,nan,unsupported,747.9733333333332,900.7,neural,0.0,0.0,0.0,,,,,,,,,,,,,0.03308212058618665,0.26666666666666666,0.36666666666666664,0.0,,,,,,,,,,,,,,,
reviewer1_temporal_interface_development,reviewer1_temporal_interface_development,configs/reviewer1_remaining/temporal_and_interface_development/matched_design.yaml,architecture_filtered_belief,SensorizedPyBulletUAVWaypoint-v0,SensorizedPyBulletUAVWaypoint-v0,native_gymnasium_observation,temporal_filtered_alpha035,15004,train,210,,,210,7,-1.3282557545229792,30,0.0,210,45,0.011943225986841652,0.026766180992126465,0,1,2,2.528910499997437,1.7576247999968473,0.7712857000005897,1.7576247999968473,0.7712857000005897,7544f61e62b857de55fcd6c17c5151159b824ebf,1.8.0,36544a532d02876404ae4245dbfdbf54a902a017d06dc714fab7bef09253291c,True,3.12.13,2.12.0+cpu,2.4.6,1.2.3,3.1.0,2.1.0,3.2.7,,,,,,1.0,0.0,0.8333333333333334,0.06666666666666667,-0.0033333333333333344,1.0,0.0,1.0,0.0,nan,nan,0.0,nan,0.0,0.0,nan,1.0,nan,nan,unsupported,867.9600000000003,890.55,neural,0.0,0.0,0.0,,,,,,,,,,,,,0.03161312034353614,0.23333333333333334,0.9666666666666667,0.0,,,,,,,,,,,,,,,
