agent,metric,n_environments,mean_environment_rank,median_environment_rank,best_environment_rank,worst_environment_rank
dqn_lr1e3_h128_t1000,return_auc,4,3.0,2.5,2.0,5.0
dqn_lr1e3_h64_w512,return_auc,4,2.75,2.5,2.0,4.0
dqn_lr3e4_h128_t1000,return_auc,4,3.0,2.5,2.0,5.0
dqn_lr3e4_h64,return_auc,4,2.0,1.0,1.0,5.0
selected_dqn,return_auc,4,4.25,4.0,4.0,5.0
dqn_lr1e3_h128_t1000,success_rate_auc,4,2.25,2.5,1.0,3.0
dqn_lr1e3_h64_w512,success_rate_auc,4,3.0,3.0,2.0,4.0
dqn_lr3e4_h128_t1000,success_rate_auc,4,3.75,3.5,3.0,5.0
dqn_lr3e4_h64,success_rate_auc,4,1.75,1.5,1.0,3.0
selected_dqn,success_rate_auc,4,4.25,4.5,3.0,5.0
dqn_lr1e3_h128_t1000,mean_return,4,3.0,2.5,2.0,5.0
dqn_lr1e3_h64_w512,mean_return,4,3.75,4.0,3.0,4.0
dqn_lr3e4_h128_t1000,mean_return,4,2.75,2.5,1.0,5.0
dqn_lr3e4_h64,mean_return,4,2.5,2.0,1.0,5.0
selected_dqn,mean_return,4,3.0,3.0,3.0,3.0
