environment,metric,left,right,n_pairs,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,cohen_dz,rank_biserial,paired_t_p,wilcoxon_p,sign_test_p,wins,losses,ties,difference_skew,difference_excess_kurtosis,catastrophic_low_outliers,catastrophic_high_outliers,win_rate_non_ties,paired_t_holm_p,wilcoxon_holm_p,sign_test_holm_p
CliffWalking-v1,mean_return,dqn_lr1e3_h128_t1000,dqn_lr1e3_h64_w512,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,0.0,0.0,0,0,0.5,1.0,1.0,1.0
CliffWalking-v1,mean_return,dqn_lr1e3_h128_t1000,dqn_lr3e4_h128_t1000,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,0.0,0.0,0,0,0.5,1.0,1.0,1.0
CliffWalking-v1,mean_return,dqn_lr1e3_h128_t1000,dqn_lr3e4_h64,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,0.0,0.0,0,0,0.5,1.0,1.0,1.0
CliffWalking-v1,mean_return,dqn_lr1e3_h128_t1000,selected_dqn,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,0.0,0.0,0,0,0.5,1.0,1.0,1.0
CliffWalking-v1,mean_return,dqn_lr1e3_h64_w512,dqn_lr3e4_h128_t1000,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,0.0,0.0,0,0,0.5,1.0,1.0,1.0
CliffWalking-v1,mean_return,dqn_lr1e3_h64_w512,dqn_lr3e4_h64,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,0.0,0.0,0,0,0.5,1.0,1.0,1.0
CliffWalking-v1,mean_return,dqn_lr1e3_h64_w512,selected_dqn,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,0.0,0.0,0,0,0.5,1.0,1.0,1.0
CliffWalking-v1,mean_return,dqn_lr3e4_h128_t1000,dqn_lr3e4_h64,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,0.0,0.0,0,0,0.5,1.0,1.0,1.0
CliffWalking-v1,mean_return,dqn_lr3e4_h128_t1000,selected_dqn,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,0.0,0.0,0,0,0.5,1.0,1.0,1.0
CliffWalking-v1,mean_return,dqn_lr3e4_h64,selected_dqn,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,0.0,0.0,0,0,0.5,1.0,1.0,1.0
