environment,agent,metric,n_seeds,minimum,maximum,median,mad,skew,excess_kurtosis,catastrophic_low_outliers,catastrophic_high_outliers,heavy_tail_flag
MiniGrid-Empty-5x5,dqn_lr1e3_h128_t1000,return_auc,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False
MiniGrid-Empty-5x5,dqn_lr1e3_h128_t1000,mean_return,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False
MiniGrid-Empty-5x5,dqn_lr1e3_h64_w512,return_auc,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False
MiniGrid-Empty-5x5,dqn_lr1e3_h64_w512,mean_return,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False
MiniGrid-Empty-5x5,dqn_lr3e4_h128_t1000,return_auc,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False
MiniGrid-Empty-5x5,dqn_lr3e4_h128_t1000,mean_return,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False
MiniGrid-Empty-5x5,dqn_lr3e4_h64,return_auc,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False
MiniGrid-Empty-5x5,dqn_lr3e4_h64,mean_return,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False
MiniGrid-Empty-5x5,selected_dqn,return_auc,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False
MiniGrid-Empty-5x5,selected_dqn,mean_return,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False
