environment,agent,seed,checkpoint,mean_return,success_rate,mean_length,elapsed_seconds,environment_steps,gradient_updates,training_elapsed_seconds,evaluation_elapsed_seconds,mean_gate,support_abstention_rate,global_tabular_error,global_neural_error,visited_states,seconds_per_1000_steps,return_auc
MiniGrid-Empty-5x5,count_gated_tau_20,200,20000,0.946,1.0,6.0,45.32983009994496,20000,1235,38.90101969992975,6.428810400015209,0.9520836721775148,,1.0,1.0,32.0,1.9450509849964874,0.473
MiniGrid-Empty-5x5,count_gated_tau_20,201,20000,0.0,0.0,100.0,50.99528309999732,20000,1235,39.09638109989464,11.89890200010268,0.9571460195475476,,1.0,1.0,32.0,1.9548190549947322,0.0
MiniGrid-Empty-5x5,count_gated_tau_20,202,20000,0.946,1.0,6.0,43.76828010001918,20000,1235,37.748852199991234,6.019427900027949,0.9527591001872718,,1.0,1.0,32.0,1.8874426099995616,0.31683333333333336
MiniGrid-Empty-5x5,count_gated_tau_20,203,20000,0.0,0.0,100.0,50.37021520000417,20000,1235,38.32667870004661,12.043536499957554,0.9579176181677796,,1.0,1.0,32.0,1.9163339350023303,0.0
MiniGrid-Empty-5x5,count_gated_tau_20,204,20000,0.946,1.0,6.0,43.83004510001047,20000,1235,37.8433552000788,5.986689899931662,0.9530567960065848,,1.0,1.0,32.0,1.89216776000394,0.31683333333333336
MiniGrid-Empty-5x5,count_gated_tau_20,205,20000,0.0,0.0,100.0,50.06290580000496,20000,1235,37.5965207000263,12.466385099978652,0.9549109067354602,,1.0,1.0,32.0,1.8798260350013152,0.0
MiniGrid-Empty-5x5,count_gated_tau_20,206,20000,0.946,1.0,6.0,47.173773400019854,20000,1235,38.45396000007168,8.71981339994818,0.953047495240308,,1.0,1.0,32.0,1.922698000003584,0.15766666666666668
MiniGrid-Empty-5x5,count_gated_tau_20,207,20000,0.955,1.0,5.0,47.91120680002496,20000,1235,38.97801979997894,8.933187000046019,0.9571230221739035,,1.0,1.0,32.0,1.948900989998947,0.15916666666666668
MiniGrid-Empty-5x5,count_gated_tau_20,208,20000,0.0,0.0,100.0,50.56087639997713,20000,1235,37.996418299968354,12.564458100008778,0.9541500982415266,,1.0,1.0,32.0,1.8998209149984178,0.0
MiniGrid-Empty-5x5,count_gated_tau_20,209,20000,0.0,0.0,100.0,50.698369799996726,20000,1235,38.6601278000162,12.038241999980528,0.9570053045880352,,1.0,1.0,32.0,1.9330063900008099,0.0
MiniGrid-Empty-5x5,dqn,200,20000,0.0,0.0,100.0,34.4484964000294,20000,1235,22.764088700001597,11.684407700027805,,,,,,1.13820443500008,0.0
MiniGrid-Empty-5x5,dqn,201,20000,0.0,0.0,100.0,34.34156060003443,20000,1235,22.97288280003704,11.368677799997386,,,,,,1.148644140001852,0.0
MiniGrid-Empty-5x5,dqn,202,20000,0.0,0.0,100.0,34.02461899997434,20000,1235,22.734945599979252,11.28967339999508,,,,,,1.1367472799989626,0.0
MiniGrid-Empty-5x5,dqn,203,20000,0.0,0.0,100.0,34.55778710002778,20000,1235,23.035799300065264,11.521987799962517,,,,,,1.1517899650032632,0.0
MiniGrid-Empty-5x5,dqn,204,20000,0.0,0.0,100.0,34.414433300029486,20000,1235,23.10703720001038,11.307396100019105,,,,,,1.155351860000519,0.0
MiniGrid-Empty-5x5,dqn,205,20000,0.0,0.0,100.0,34.167278000037186,20000,1235,22.704440300061837,11.462837699975353,,,,,,1.1352220150030918,0.0
MiniGrid-Empty-5x5,dqn,206,20000,0.0,0.0,100.0,35.19083690003026,20000,1235,22.725509099953342,12.46532780007692,,,,,,1.136275454997667,0.0
MiniGrid-Empty-5x5,dqn,207,20000,0.0,0.0,100.0,34.29036370001268,20000,1235,22.57606739999028,11.714296300022395,,,,,,1.128803369999514,0.0
MiniGrid-Empty-5x5,dqn,208,20000,0.0,0.0,100.0,34.94244019995676,20000,1235,23.02192609990016,11.920514100056607,,,,,,1.151096304995008,0.0
MiniGrid-Empty-5x5,dqn,209,20000,0.0,0.0,100.0,33.922309799992945,20000,1235,22.37310740002431,11.549202399968635,,,,,,1.1186553700012154,0.0
MiniGrid-Empty-5x5,reliability_gated,200,20000,0.0,0.0,100.0,52.52287730004173,20000,1235,39.49357429996599,13.029303000075744,0.3912787273687491,,0.001783835,0.0016814325439796,32.0,1.9746787149982996,0.0
MiniGrid-Empty-5x5,reliability_gated,201,20000,0.0,0.0,100.0,52.09107019996736,20000,1235,39.555800699978136,12.535269499989226,0.3980962191497242,,0.0034401522,0.0012592354655538,32.0,1.9777900349989068,0.0
MiniGrid-Empty-5x5,reliability_gated,202,20000,0.0,0.0,100.0,51.82484920002753,20000,1235,39.2015041000559,12.62334509997163,0.3927200155559532,,0.009274193,0.005166107433378,32.0,1.960075205002795,0.0
