agent,metric,n_environments,mean_environment_rank,median_environment_rank,best_environment_rank,worst_environment_rank
count_gate_tau_20,return_auc,3,3.3333333333333335,4.0,1.0,5.0
crisp_relative_gate,return_auc,3,6.0,6.0,6.0,6.0
fuzzy_no_reliability,return_auc,3,3.3333333333333335,4.0,2.0,4.0
fuzzy_no_support,return_auc,3,3.6666666666666665,3.0,3.0,5.0
fuzzy_reliability_full,return_auc,3,3.3333333333333335,3.0,2.0,5.0
original_fuzzy,return_auc,3,1.3333333333333333,1.0,1.0,2.0
count_gate_tau_20,success_rate_auc,3,3.0,3.0,1.0,5.0
crisp_relative_gate,success_rate_auc,3,6.0,6.0,6.0,6.0
fuzzy_no_reliability,success_rate_auc,3,3.6666666666666665,4.0,3.0,4.0
fuzzy_no_support,success_rate_auc,3,3.0,3.0,1.0,5.0
fuzzy_reliability_full,success_rate_auc,3,2.6666666666666665,2.0,2.0,4.0
original_fuzzy,success_rate_auc,3,2.6666666666666665,2.0,1.0,5.0
count_gate_tau_20,mean_return,3,2.6666666666666665,2.0,2.0,4.0
crisp_relative_gate,mean_return,3,6.0,6.0,6.0,6.0
fuzzy_no_reliability,mean_return,3,3.0,4.0,1.0,4.0
fuzzy_no_support,mean_return,3,4.0,5.0,2.0,5.0
fuzzy_reliability_full,mean_return,3,2.0,2.0,1.0,3.0
original_fuzzy,mean_return,3,3.3333333333333335,3.0,2.0,5.0
