environment,agent,seed,checkpoint,mean_return,success_rate,mean_length,elapsed_seconds,environment_steps,gradient_updates,training_elapsed_seconds,evaluation_elapsed_seconds,mean_gate,support_abstention_rate,global_tabular_error,global_neural_error,visited_states,failure_rate,collision_rate,risk_zone_rate,idle_rate,risk_adjusted_score,unsupported_state_ratio,memory_branch_usage_ratio,neural_branch_usage_ratio,abstention_ratio,adaptive_alpha_mean,adaptive_alpha_iqr,support_score_mean,uncertainty_score_mean,inference_time_us_per_decision_mean,inference_time_us_per_decision_median,memory_cost_states,memory_cost_entries,memory_cost_bytes_estimated,eval_checkpoint,eval_return,train_steps,seconds_per_1000_steps,return_auc,success_rate_auc,experiment_name,config_file,environment_id,resolved_environment_id,observation_representation,git_commit_hash,package_version,python_version,torch_version,numpy_version,gymnasium_version,minigrid_version,gym_pybullet_drones_version,pybullet_version
CliffWalking-confirmatory,count_gate_tau_20,1300,10000,-13.0,1.0,13.0,38.68565160001162,10000,594,10.845133400012855,27.84051819999877,0.8628270370652464,0.0,1.0,1.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9322741649998608,0.0677258350001389,0.0,,,0.9999640855180126,,476.7958974358974,397.4,37.0,148.0,7992.0,10000,-13.0,10000,1.0845133400012856,-439.125,0.125,fuzzy_reliability_gate_independent_confirmatory,configs/fuzzy_reliability_confirmatory_30seed.yaml,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,ce81c103cc524029aa4bbeda841e350b8f9266ec,1.6.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
CliffWalking-confirmatory,count_gate_tau_20,1301,10000,-13.0,1.0,13.0,31.281991500000004,10000,594,10.528200599990669,20.75379090000933,0.8659893401941169,0.0,1.0,1.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9314197808524144,0.0685802191475857,0.0,,,0.9999585744135712,,392.13230769230773,369.85,37.0,148.0,7992.0,10000,-13.0,10000,1.052820059999067,-317.875,0.375,fuzzy_reliability_gate_independent_confirmatory,configs/fuzzy_reliability_confirmatory_30seed.yaml,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,ce81c103cc524029aa4bbeda841e350b8f9266ec,1.6.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
CliffWalking-confirmatory,count_gate_tau_20,1302,10000,-13.0,1.0,13.0,37.56993660000444,10000,594,10.614061200001744,26.955875400002697,0.8677335208877345,0.0,1.0,1.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9317996932408558,0.0682003067591441,0.0,,,0.9999605768111852,,386.26102564102564,373.1,37.0,148.0,7992.0,10000,-13.0,10000,1.0614061200001745,-439.125,0.125,fuzzy_reliability_gate_independent_confirmatory,configs/fuzzy_reliability_confirmatory_30seed.yaml,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,ce81c103cc524029aa4bbeda841e350b8f9266ec,1.6.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
CliffWalking-confirmatory,count_gate_tau_20,1303,10000,-13.0,1.0,13.0,38.70308429999568,10000,594,10.640881799990892,28.062202500004787,0.8724630746737572,0.0,1.0,1.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9351255681642924,0.0648744318357078,0.0,,,0.9999805581151322,,390.7653846153846,364.4,37.0,148.0,7992.0,10000,-13.0,10000,1.0640881799990891,-439.125,0.125,fuzzy_reliability_gate_independent_confirmatory,configs/fuzzy_reliability_confirmatory_30seed.yaml,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,ce81c103cc524029aa4bbeda841e350b8f9266ec,1.6.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
CliffWalking-confirmatory,count_gate_tau_20,1304,10000,-13.0,1.0,13.0,24.84992059999786,10000,594,10.781970900003216,14.067949699994642,0.8721885118296201,0.0,1.0,1.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9321873737265796,0.0678126262734204,0.0,,,0.99995617065019,,374.79205128205126,354.6,37.0,148.0,7992.0,10000,-13.0,10000,1.0781970900003217,-196.125,0.625,fuzzy_reliability_gate_independent_confirmatory,configs/fuzzy_reliability_confirmatory_30seed.yaml,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,ce81c103cc524029aa4bbeda841e350b8f9266ec,1.6.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
CliffWalking-confirmatory,count_gate_tau_20,1305,10000,-13.0,1.0,13.0,38.01481299998704,10000,594,10.65946109998913,27.355351899997917,0.8711565409663058,0.0,1.0,1.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9352326761299536,0.0647673238700462,0.0,,,0.9999837537738092,,415.3115384615385,387.95,37.0,148.0,7992.0,10000,-13.0,10000,1.065946109998913,-439.125,0.125,fuzzy_reliability_gate_independent_confirmatory,configs/fuzzy_reliability_confirmatory_30seed.yaml,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,ce81c103cc524029aa4bbeda841e350b8f9266ec,1.6.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
CliffWalking-confirmatory,count_gate_tau_20,1306,10000,-13.0,1.0,13.0,38.30103170000075,10000,594,10.851820099996983,27.449211600003764,0.8707386347770947,0.0,1.0,1.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9330524255883513,0.0669475744116487,0.0,,,0.9999667062179822,,370.8428205128205,362.75,37.0,148.0,7992.0,10000,-13.0,10000,1.0851820099996983,-439.125,0.125,fuzzy_reliability_gate_independent_confirmatory,configs/fuzzy_reliability_confirmatory_30seed.yaml,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,ce81c103cc524029aa4bbeda841e350b8f9266ec,1.6.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
CliffWalking-confirmatory,count_gate_tau_20,1307,10000,-13.0,1.0,13.0,31.253143900001305,10000,594,10.603994200006127,20.649149699995174,0.8683715783352501,0.0,1.0,1.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9328283716114676,0.0671716283885324,0.0,,,0.9999621766261731,,373.8348717948718,357.75,37.0,148.0,7992.0,10000,-13.0,10000,1.0603994200006128,-317.375,0.375,fuzzy_reliability_gate_independent_confirmatory,configs/fuzzy_reliability_confirmatory_30seed.yaml,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,ce81c103cc524029aa4bbeda841e350b8f9266ec,1.6.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
CliffWalking-confirmatory,count_gate_tau_20,1308,10000,-13.0,1.0,13.0,38.297292000002926,10000,594,10.617186300005416,27.68010569999751,0.8660329424594372,0.0,1.0,1.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9294161913215168,0.0705838086784831,0.0,,,0.9999223702262068,,399.13230769230773,389.1,37.0,148.0,7992.0,10000,-13.0,10000,1.0617186300005417,-439.125,0.125,fuzzy_reliability_gate_independent_confirmatory,configs/fuzzy_reliability_confirmatory_30seed.yaml,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,ce81c103cc524029aa4bbeda841e350b8f9266ec,1.6.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
CliffWalking-confirmatory,count_gate_tau_20,1309,10000,-13.0,1.0,13.0,37.54036030000134,10000,594,10.41936220000207,27.12099809999927,0.8701568329119659,0.0,1.0,1.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,0.93445568510249,0.0655443148975098,0.0,,,0.9999760717199636,,418.8943589743589,387.1,37.0,148.0,7992.0,10000,-13.0,10000,1.041936220000207,-439.125,0.125,fuzzy_reliability_gate_independent_confirmatory,configs/fuzzy_reliability_confirmatory_30seed.yaml,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,ce81c103cc524029aa4bbeda841e350b8f9266ec,1.6.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
