agent,metric,n_environments,mean_environment_rank,median_environment_rank,best_environment_rank,worst_environment_rank
count_gate,return_auc,2,6.0,6.0,6.0,6.0
fuzzy_shift_crisp,return_auc,2,1.0,1.0,1.0,1.0
fuzzy_shift_full,return_auc,2,3.0,3.0,3.0,3.0
fuzzy_shift_no_reliability,return_auc,2,4.0,4.0,4.0,4.0
fuzzy_shift_no_support,return_auc,2,2.0,2.0,2.0,2.0
original_fuzzy,return_auc,2,5.0,5.0,5.0,5.0
count_gate,success_rate_auc,2,6.0,6.0,6.0,6.0
fuzzy_shift_crisp,success_rate_auc,2,1.0,1.0,1.0,1.0
fuzzy_shift_full,success_rate_auc,2,3.0,3.0,3.0,3.0
fuzzy_shift_no_reliability,success_rate_auc,2,4.0,4.0,4.0,4.0
fuzzy_shift_no_support,success_rate_auc,2,2.0,2.0,2.0,2.0
original_fuzzy,success_rate_auc,2,5.0,5.0,5.0,5.0
count_gate,mean_return,2,6.0,6.0,6.0,6.0
fuzzy_shift_crisp,mean_return,2,3.0,3.0,2.0,4.0
fuzzy_shift_full,mean_return,2,2.25,2.25,1.5,3.0
fuzzy_shift_no_reliability,mean_return,2,3.5,3.5,3.0,4.0
fuzzy_shift_no_support,mean_return,2,1.25,1.25,1.0,1.5
original_fuzzy,mean_return,2,5.0,5.0,5.0,5.0
