environment,agent,seed,checkpoint,mean_return,success_rate,mean_length,elapsed_seconds,environment_steps,gradient_updates,training_elapsed_seconds,evaluation_elapsed_seconds,mean_gate,support_abstention_rate,global_tabular_error,global_neural_error,visited_states,failure_rate,collision_rate,risk_zone_rate,idle_rate,risk_adjusted_score,unsupported_state_ratio,memory_branch_usage_ratio,neural_branch_usage_ratio,abstention_ratio,adaptive_alpha_mean,adaptive_alpha_iqr,support_score_mean,uncertainty_score_mean,inference_time_us_per_decision_mean,inference_time_us_per_decision_median,memory_cost_states,memory_cost_entries,memory_cost_bytes_estimated,eval_checkpoint,eval_return,train_steps,seconds_per_1000_steps,return_auc,success_rate_auc,experiment_name,config_file,environment_id,resolved_environment_id,observation_representation,git_commit_hash,package_version,python_version,torch_version,numpy_version,gymnasium_version,minigrid_version,gym_pybullet_drones_version,pybullet_version
ReliabilityShift-boundary-020-confirmatory,count_gate,1400,8000,0.61,0.805,1.0,20.491541600000343,8000,1969,17.3471458999702,3.144395700030145,0.8425977919600702,0.0,1.0,1.0,41.0,0.195,0.0,0.0,0.0,0.805,0.0,0.906875688442695,0.093124311557305,0.0,,,0.9999209909053718,,541.1669999999999,455.55,41.0,82.0,820.0,8000,0.61,8000,2.168393237496275,0.4153333333333333,0.7076666666666667,fuzzy_reliability_shift_independent_confirmatory,configs/fuzzy_reliability_shift_confirmatory_30seed.yaml,ReliabilityShiftBandit-v0,ReliabilityShiftBandit-v0,native_gymnasium_observation,ce81c103cc524029aa4bbeda841e350b8f9266ec,1.6.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ReliabilityShift-boundary-020-confirmatory,count_gate,1401,8000,0.54,0.77,1.0,20.89608920000319,8000,1969,17.65087760001188,3.245211599991308,0.843947501111456,0.0,1.0,1.0,41.0,0.23,0.0,0.0,0.0,0.77,0.0,0.906874288468078,0.0931257115319219,0.0,,,0.999928877565185,,519.411,449.5,41.0,82.0,820.0,8000,0.54,8000,2.206359700001485,0.4106666666666667,0.7053333333333334,fuzzy_reliability_shift_independent_confirmatory,configs/fuzzy_reliability_shift_confirmatory_30seed.yaml,ReliabilityShiftBandit-v0,ReliabilityShiftBandit-v0,native_gymnasium_observation,ce81c103cc524029aa4bbeda841e350b8f9266ec,1.6.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ReliabilityShift-boundary-020-confirmatory,count_gate,1402,8000,0.6,0.8,1.0,20.640543100002105,8000,1969,17.475920199998654,3.164622900003451,0.8423033399822117,0.0,1.0,1.0,41.0,0.2,0.0,0.0,0.0,0.8,0.0,0.906258250522528,0.0937417494774718,0.0,,,0.999913304473816,,456.5035,445.8,41.0,82.0,820.0,8000,0.6,8000,2.184490024999832,0.4176666666666667,0.7088333333333333,fuzzy_reliability_shift_independent_confirmatory,configs/fuzzy_reliability_shift_confirmatory_30seed.yaml,ReliabilityShiftBandit-v0,ReliabilityShiftBandit-v0,native_gymnasium_observation,ce81c103cc524029aa4bbeda841e350b8f9266ec,1.6.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ReliabilityShift-boundary-020-confirmatory,count_gate,1403,8000,0.6,0.8,1.0,20.593969199995627,8000,1969,17.44039430000703,3.153574899988598,0.8424073422056383,0.0,1.0,1.0,41.0,0.2,0.0,0.0,0.0,0.8,0.0,0.9062108088430166,0.0937891911569832,0.0,,,0.9999215660099844,,520.5145,461.6,41.0,82.0,820.0,8000,0.6,8000,2.1800492875008786,0.4103333333333333,0.7051666666666667,fuzzy_reliability_shift_independent_confirmatory,configs/fuzzy_reliability_shift_confirmatory_30seed.yaml,ReliabilityShiftBandit-v0,ReliabilityShiftBandit-v0,native_gymnasium_observation,ce81c103cc524029aa4bbeda841e350b8f9266ec,1.6.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ReliabilityShift-boundary-020-confirmatory,count_gate,1404,8000,0.57,0.785,1.0,20.75066710000101,8000,1969,17.601303200048278,3.149363899952732,0.8412518251156714,0.0,1.0,1.0,41.0,0.215,0.0,0.0,0.0,0.785,0.0,0.9067695636990876,0.0932304363009123,0.0,,,0.9999328371728626,,477.136,463.9,41.0,82.0,820.0,8000,0.57,8000,2.2001629000060348,0.4126666666666667,0.7063333333333334,fuzzy_reliability_shift_independent_confirmatory,configs/fuzzy_reliability_shift_confirmatory_30seed.yaml,ReliabilityShiftBandit-v0,ReliabilityShiftBandit-v0,native_gymnasium_observation,ce81c103cc524029aa4bbeda841e350b8f9266ec,1.6.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ReliabilityShift-boundary-020-confirmatory,count_gate,1405,8000,0.61,0.805,1.0,21.14330820000032,8000,1969,17.79521470000327,3.3480934999970486,0.8416749412166924,0.0,1.0,1.0,41.0,0.195,0.0,0.0,0.0,0.805,0.0,0.9069250692507144,0.0930749307492854,0.0,,,0.9999287163319128,,464.5455,429.4500000000001,41.0,82.0,820.0,8000,0.61,8000,2.224401837500409,0.4136666666666667,0.7068333333333333,fuzzy_reliability_shift_independent_confirmatory,configs/fuzzy_reliability_shift_confirmatory_30seed.yaml,ReliabilityShiftBandit-v0,ReliabilityShiftBandit-v0,native_gymnasium_observation,ce81c103cc524029aa4bbeda841e350b8f9266ec,1.6.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ReliabilityShift-boundary-020-confirmatory,count_gate,1406,8000,0.71,0.855,1.0,20.021664900006726,8000,1969,16.86363750002056,3.1580273999861674,0.8434549445281928,0.0,1.0,1.0,41.0,0.145,0.0,0.0,0.0,0.855,0.0,0.9060673911115236,0.0939326088884762,0.0,,,0.9999173853008914,,458.706,424.35,41.0,82.0,820.0,8000,0.71,8000,2.10795468750257,0.4253333333333333,0.7126666666666667,fuzzy_reliability_shift_independent_confirmatory,configs/fuzzy_reliability_shift_confirmatory_30seed.yaml,ReliabilityShiftBandit-v0,ReliabilityShiftBandit-v0,native_gymnasium_observation,ce81c103cc524029aa4bbeda841e350b8f9266ec,1.6.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ReliabilityShift-boundary-020-confirmatory,count_gate,1407,8000,0.64,0.82,1.0,20.33928129999549,8000,1969,17.272397999971872,3.066883300023619,0.8417741805767336,0.0,1.0,1.0,41.0,0.18,0.0,0.0,0.0,0.82,0.0,0.9067995018694874,0.0932004981305125,0.0,,,0.9999269229159298,,475.5245,446.9,41.0,82.0,820.0,8000,0.64,8000,2.159049749996484,0.4346666666666666,0.7173333333333334,fuzzy_reliability_shift_independent_confirmatory,configs/fuzzy_reliability_shift_confirmatory_30seed.yaml,ReliabilityShiftBandit-v0,ReliabilityShiftBandit-v0,native_gymnasium_observation,ce81c103cc524029aa4bbeda841e350b8f9266ec,1.6.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ReliabilityShift-boundary-020-confirmatory,count_gate,1408,8000,0.66,0.83,1.0,20.414772799995266,8000,1969,17.32127039998886,3.0935024000064004,0.8431525624835443,0.0,1.0,1.0,41.0,0.17,0.0,0.0,0.0,0.83,0.0,0.907387502054573,0.0926124979454269,0.0,,,0.9999316336261652,,429.119,419.85,41.0,82.0,820.0,8000,0.66,8000,2.165158799998608,0.4206666666666667,0.7103333333333334,fuzzy_reliability_shift_independent_confirmatory,configs/fuzzy_reliability_shift_confirmatory_30seed.yaml,ReliabilityShiftBandit-v0,ReliabilityShiftBandit-v0,native_gymnasium_observation,ce81c103cc524029aa4bbeda841e350b8f9266ec,1.6.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ReliabilityShift-boundary-020-confirmatory,count_gate,1409,8000,0.59,0.795,1.0,20.35907099999895,8000,1969,17.24884899999597,3.110222000002977,0.842987802793448,0.0,1.0,1.0,41.0,0.205,0.0,0.0,0.0,0.795,0.0,0.9066395038473092,0.0933604961526906,0.0,,,0.999927382381017,,438.6575,425.3,41.0,82.0,820.0,8000,0.59,8000,2.1561061249994964,0.414,0.707,fuzzy_reliability_shift_independent_confirmatory,configs/fuzzy_reliability_shift_confirmatory_30seed.yaml,ReliabilityShiftBandit-v0,ReliabilityShiftBandit-v0,native_gymnasium_observation,ce81c103cc524029aa4bbeda841e350b8f9266ec,1.6.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
