environment,metric,left,right,n_pairs,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,cohen_dz,rank_biserial,paired_t_p,wilcoxon_p,sign_test_p,wins,losses,ties,difference_skew,difference_excess_kurtosis,catastrophic_low_outliers,catastrophic_high_outliers,win_rate_non_ties,paired_t_holm_p,wilcoxon_holm_p,sign_test_holm_p
ApplicationNavigation-deployment-goal-shift,mean_return,fuzzy_kappa_025,fuzzy_kappa_4,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,1.0,1.0,1.0
ApplicationNavigation-deployment-goal-shift,mean_return,fuzzy_kappa_025,fuzzy_shoulder_conservative,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,1.0,1.0,1.0
ApplicationNavigation-deployment-goal-shift,mean_return,fuzzy_kappa_025,fuzzy_tau_20,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,1.0,1.0,1.0
ApplicationNavigation-deployment-goal-shift,mean_return,fuzzy_kappa_025,fuzzy_tau_5,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,1.0,1.0,1.0
ApplicationNavigation-deployment-goal-shift,mean_return,fuzzy_kappa_025,fuzzy_tau_80,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,1.0,1.0,1.0
ApplicationNavigation-deployment-goal-shift,mean_return,fuzzy_kappa_025,fuzzy_zero_support_abstain,2,-6.4399999999999995,-6.4399999999999995,-8.51,-4.369999999999999,-2.1998877636914806,-1.0,0.19798765460580875,0.5,0.5,0,2,0,0.0,0.0,0,0,0.0,1.0,1.0,1.0
ApplicationNavigation-deployment-goal-shift,mean_return,fuzzy_kappa_4,fuzzy_shoulder_conservative,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,1.0,1.0,1.0
ApplicationNavigation-deployment-goal-shift,mean_return,fuzzy_kappa_4,fuzzy_tau_20,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,1.0,1.0,1.0
ApplicationNavigation-deployment-goal-shift,mean_return,fuzzy_kappa_4,fuzzy_tau_5,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,1.0,1.0,1.0
ApplicationNavigation-deployment-goal-shift,mean_return,fuzzy_kappa_4,fuzzy_tau_80,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,1.0,1.0,1.0
ApplicationNavigation-deployment-goal-shift,mean_return,fuzzy_kappa_4,fuzzy_zero_support_abstain,2,-6.4399999999999995,-6.4399999999999995,-8.51,-4.369999999999999,-2.1998877636914806,-1.0,0.19798765460580875,0.5,0.5,0,2,0,0.0,0.0,0,0,0.0,1.0,1.0,1.0
ApplicationNavigation-deployment-goal-shift,mean_return,fuzzy_shoulder_conservative,fuzzy_tau_20,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,1.0,1.0,1.0
ApplicationNavigation-deployment-goal-shift,mean_return,fuzzy_shoulder_conservative,fuzzy_tau_5,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,1.0,1.0,1.0
ApplicationNavigation-deployment-goal-shift,mean_return,fuzzy_shoulder_conservative,fuzzy_tau_80,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,2,0.0,0.0,0,0,0.5,1.0,1.0,1.0
