experiment_name,experiment,config_file,environment,environment_id,resolved_environment_id,observation_representation,agent,seed,phase,train_steps,eval_checkpoint,eval_return,checkpoint,episode,return,length,success,environment_steps,gradient_updates,elapsed_seconds,training_elapsed_seconds,evaluation_elapsed_seconds,wall_clock_training_time,wall_clock_evaluation_time,git_commit_hash,package_version,python_version,torch_version,numpy_version,gymnasium_version,minigrid_version,mean_gate,support_abstention_rate,global_tabular_error,global_neural_error,visited_states,failure_rate,collision_rate,risk_zone_rate,unsupported_state_ratio,memory_branch_usage_ratio,neural_branch_usage_ratio,abstention_ratio,adaptive_alpha_mean,adaptive_alpha_iqr,support_score_mean,uncertainty_score_mean,inference_time_us_per_decision_mean,inference_time_us_per_decision_median,selected_branch,memory_cost_states,memory_cost_entries,memory_cost_bytes_estimated
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_025,980,train,40,,,40,1,-2.1800000000000006,40,0.0,40,0,0.016500250999797572,0.016500250999797572,0.0,0.016500250999797572,0.0,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.18932417253283662,0.0,0.1354553,0.13861901205061872,9.0,1.0,0.15,0.0,0.975,0.004733104313320915,0.020266895686679085,0.0,0.18932417253283662,0.0,0.004531731173050455,0.574060417009434,34.430125000000004,19.9735,none,9.0,45.0,396.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_025,980,eval,50,50,4.98,50,1,4.98,2,1.0,50,0,0.02491398099982689,0.021449224999742,0.00346475600008489,0.021449224999742,0.00346475600008489,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.11048223997221156,0.0,0.08594053,0.09195181606978892,13.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2689028446365159,401.95450000000005,401.95450000000005,neural,14.0,70.0,600.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_025,980,eval,50,50,4.98,50,2,4.98,2,1.0,50,0,0.025016002000029403,0.021551245999944513,0.00346475600008489,0.021551245999944513,0.00346475600008489,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.11048223997221156,0.0,0.08594053,0.09195181606978892,13.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2689028446365159,454.67150000000004,454.67150000000004,neural,14.0,70.0,600.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_025,980,train,80,,,80,2,-2.1800000000000006,40,0.0,80,0,0.03849152899965702,0.03502677299957213,0.00346475600008489,0.03502677299957213,0.00346475600008489,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.08638976824718543,0.0,0.026463974,0.029742628211278516,22.0,1.0,0.15,0.0,0.65,0.049203094502878256,0.9507969054971218,0.0,0.049203094502878256,0.1368918895664779,0.048423858182154556,0.3258404267315971,74.84442499999999,20.5135,neural,22.0,110.0,968.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_025,980,eval,100,100,-9.31,100,1,-9.31,40,0.0,100,0,0.08277846299961311,0.04277656099975502,0.04000190199985809,0.04277656099975502,0.04000190199985809,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.09992769109172531,0.0,0.012382621,0.01656124691713537,29.0,1.0,0.925,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06212923712156736,403.679525,388.91150000000005,neural,29.0,145.0,1276.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_025,980,eval,100,100,-9.31,100,2,-9.31,40,0.0,100,0,0.08290835899970261,0.04290645699984452,0.04000190199985809,0.04290645699984452,0.04000190199985809,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.09992769109172531,0.0,0.012382621,0.01656124691713537,29.0,1.0,0.925,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06212923712156736,356.09337500000004,349.573,neural,29.0,145.0,1276.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_025,980,train,100,,,100,3,-0.7900000000000003,20,0.0,100,0,0.08370183799979714,0.043699935999939044,0.04000190199985809,0.043699935999939044,0.04000190199985809,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.09992769109172531,0.0,0.012382621,0.01656124691713537,29.0,1.0,0.05,0.1,0.0,0.12213537548743052,0.8778646245125696,0.0,0.12213537548743052,0.13115522815896463,0.12164484478178872,0.41207303423536834,40.4193,18.805500000000002,neural,29.0,145.0,1276.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_025,981,train,40,,,40,1,-4.25,40,0.0,40,0,0.015840286000184278,0.015840286000184278,0.0,0.015840286000184278,0.0,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.3164051956819828,0.0,0.14158218,0.1567002005887932,7.0,1.0,0.375,0.0,0.775,0.07591304482688946,0.14908695517311055,0.0,0.3373913103417309,0.0,0.07065308090967723,0.6241263313854483,41.150525,14.8825,none,7.0,35.0,308.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_025,981,eval,50,50,-0.8000000000000004,50,1,-0.8000000000000004,40,0.0,50,0,0.05824022600017997,0.019572770000195305,0.03866745599998467,0.019572770000195305,0.03866745599998467,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.3164051956819828,0.0,0.09025524,0.10191431346665906,12.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.28959979621946974,406.1268,395.491,neural,13.0,65.0,556.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_025,981,eval,50,50,-0.8000000000000004,50,2,-0.8000000000000004,40,0.0,50,0,0.05838084000015442,0.019713384000169754,0.03866745599998467,0.019713384000169754,0.03866745599998467,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.3164051956819828,0.0,0.09025524,0.10191431346665906,12.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.28959979621946974,405.234325,393.5525,neural,13.0,65.0,556.0
