environment,metric,left,right,n_pairs,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,cohen_dz,rank_biserial,paired_t_p,wilcoxon_p,sign_test_p,wins,losses,ties,difference_skew,difference_excess_kurtosis,catastrophic_low_outliers,catastrophic_high_outliers,win_rate_non_ties,contrast,paired_t_holm_p,wilcoxon_holm_p,sign_test_holm_p,analysis_status
MiniGrid-DoorKey-5x5,return_auc,count_gated_tau_20,validated_dqn,10,0.041045733333333334,0.0,0.0009568000000000001,0.08311786666666668,0.5897161777775723,1.0,0.09507645322053107,0.125,0.125,4,0,6,1.3970139797985792,0.25189301403076403,0,0,1.0,count_vs_validated_dqn,0.9334938724368185,1.0,1.0,post_hoc_extended_minigrid_diagnostic
MiniGrid-DoorKey-6x6,return_auc,count_gated_tau_20,validated_dqn,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,10,0.0,0.0,0,0,0.5,count_vs_validated_dqn,1.0,1.0,1.0,post_hoc_extended_minigrid_diagnostic
MiniGrid-Empty-5x5,return_auc,count_gated_tau_20,validated_dqn,10,0.15886666666666666,0.15916666666666668,0.06366666666666668,0.2543666666666667,0.950469652784021,1.0,0.01482000745541632,0.03125,0.03125,6,0,4,0.6994598307760852,-0.4898118411178163,0,0,1.0,count_vs_validated_dqn,0.19266009692041217,0.375,0.375,post_hoc_extended_minigrid_diagnostic
MiniGrid-Empty-6x6,return_auc,count_gated_tau_20,validated_dqn,10,0.20265625000000004,0.11953125,0.107421875,0.3103984374999999,1.140077648415974,1.0,0.005701473859251771,0.00390625,0.00390625,9,0,1,1.3749133092668853,1.465641884650438,1,3,1.0,count_vs_validated_dqn,0.07982063402952479,0.05859375,0.05859375,post_hoc_extended_minigrid_diagnostic
MiniGrid-Empty-8x8,return_auc,count_gated_tau_20,validated_dqn,10,0.5960234375,0.576796875,0.44221093749999996,0.7498359375000001,2.2964713122102953,1.0,4.75411485577071e-05,0.001953125,0.001953125,10,0,0,-0.13720557849800813,-1.7520462416078866,0,0,1.0,count_vs_validated_dqn,0.0007606583769233136,0.03515625,0.03515625,post_hoc_extended_minigrid_diagnostic
MiniGrid-FourRooms,return_auc,count_gated_tau_20,validated_dqn,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,10,0.0,0.0,0,0,0.5,count_vs_validated_dqn,1.0,1.0,1.0,post_hoc_extended_minigrid_diagnostic
MiniGrid-DoorKey-5x5,return_auc,count_gated_tau_20,tabular,10,-0.16879253333333333,-0.14584533333333333,-0.2778871433333333,-0.06362196333333336,-0.9262380582502089,-0.8545454545454545,0.016783684857364294,0.013671875,0.021484375,1,9,0,-0.202811838262641,-1.204347772995117,0,0,0.1,count_vs_tabular,0.20140421828837152,0.177734375,0.30078125,post_hoc_extended_minigrid_diagnostic
MiniGrid-DoorKey-6x6,return_auc,count_gated_tau_20,tabular,10,-0.02112797619047619,-0.018898809523809526,-0.026423764880952372,-0.017399404761904762,-2.626506932326886,-1.0,1.6383556184456918e-05,0.001953125,0.001953125,0,10,0,-2.380634983173535,6.482004619870397,1,0,0.0,count_vs_tabular,0.0002949040113202245,0.03515625,0.03515625,post_hoc_extended_minigrid_diagnostic
MiniGrid-Empty-5x5,return_auc,count_gated_tau_20,tabular,10,-0.03140833333333333,0.0,-0.20561666666666664,0.14265,-0.10929385573975114,-0.16666666666666666,0.7375712721718276,0.75,1.0,4,4,2,0.08626421317582514,-0.44528334036879613,0,0,0.5,count_vs_tabular,1.0,1.0,1.0,post_hoc_extended_minigrid_diagnostic
MiniGrid-Empty-6x6,return_auc,count_gated_tau_20,tabular,10,-0.011718749999999991,0.00039062500000000555,-0.131015625,0.10796874999999999,-0.05684147544420454,0.05555555555555555,0.8613318787683748,0.921875,0.7265625,5,3,2,0.1790016283951918,0.4317292247827229,0,0,0.625,count_vs_tabular,1.0,1.0,1.0,post_hoc_extended_minigrid_diagnostic
