environment,agent,seed,checkpoint,mean_return,success_rate,mean_length,elapsed_seconds,environment_steps,gradient_updates,training_elapsed_seconds,evaluation_elapsed_seconds,mean_gate,support_abstention_rate,global_tabular_error,global_neural_error,visited_states,eval_checkpoint,eval_return,train_steps,seconds_per_1000_steps,return_auc,success_rate_auc,experiment_name,config_file,environment_id,resolved_environment_id,observation_representation,git_commit_hash,package_version,python_version,torch_version,numpy_version,gymnasium_version,minigrid_version
MiniGrid-DoorKey-5x5,count_gated_tau_20,500,30000,0.25778666666666666,0.26666666666666666,185.8,173.19051740000214,30000,1844,92.60266929999852,80.58784810000361,0.8801732365724074,0.0,1.0,1.0,222.0,30000,0.25778666666666666,30000,3.086755643333284,0.077168,0.08,asoc_minigrid_extended_diagnostic,configs/minigrid_extended_diagnostic.json,MiniGrid-DoorKey-5x5-v0,MiniGrid-DoorKey-5x5-v0,fully_observable_image,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
MiniGrid-DoorKey-5x5,count_gated_tau_20,501,30000,0.3552666666666667,0.36666666666666664,161.5,105.05328010000083,30000,1844,60.73550440000327,44.31777569999758,0.8865415867652183,0.0,1.0,1.0,224.0,30000,0.3552666666666667,30000,2.0245168133334426,0.1649,0.17,asoc_minigrid_extended_diagnostic,configs/minigrid_extended_diagnostic.json,MiniGrid-DoorKey-5x5-v0,MiniGrid-DoorKey-5x5-v0,fully_observable_image,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
MiniGrid-DoorKey-5x5,count_gated_tau_20,502,30000,0.031893333333333336,0.03333333333333333,242.06666666666666,181.6254810000028,30000,1844,102.84869190000973,78.77678909999304,0.8890197337148522,0.0,1.0,1.0,209.0,30000,0.031893333333333336,30000,3.428289730000324,0.0031893333333333335,0.003333333333333333,asoc_minigrid_extended_diagnostic,configs/minigrid_extended_diagnostic.json,MiniGrid-DoorKey-5x5-v0,MiniGrid-DoorKey-5x5-v0,fully_observable_image,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
MiniGrid-DoorKey-5x5,count_gated_tau_20,503,30000,0.0,0.0,250.0,134.51612070000192,30000,1844,73.18404820000069,61.33207250000123,0.8903882728535969,0.0,1.0,1.0,220.0,30000,0.0,30000,2.439468273333356,0.0,0.0,asoc_minigrid_extended_diagnostic,configs/minigrid_extended_diagnostic.json,MiniGrid-DoorKey-5x5-v0,MiniGrid-DoorKey-5x5-v0,fully_observable_image,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
MiniGrid-DoorKey-5x5,count_gated_tau_20,504,30000,0.0,0.0,250.0,141.31358859999818,30000,1844,82.18191909999587,59.13166950000232,0.8793619737119156,0.0,1.0,1.0,219.0,30000,0.0,30000,2.7393973033331958,0.0,0.0,asoc_minigrid_extended_diagnostic,configs/minigrid_extended_diagnostic.json,MiniGrid-DoorKey-5x5-v0,MiniGrid-DoorKey-5x5-v0,fully_observable_image,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
MiniGrid-DoorKey-5x5,count_gated_tau_20,505,30000,0.0,0.0,250.0,120.18070699999952,30000,1844,70.47015329999704,49.71055370000249,0.8701135090410157,0.0,1.0,1.0,256.0,30000,0.0,30000,2.349005109999901,0.0,0.0,asoc_minigrid_extended_diagnostic,configs/minigrid_extended_diagnostic.json,MiniGrid-DoorKey-5x5-v0,MiniGrid-DoorKey-5x5-v0,fully_observable_image,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
MiniGrid-DoorKey-5x5,count_gated_tau_20,506,30000,0.0,0.0,250.0,132.62123059999794,30000,1844,74.58761619998768,58.033614400010265,0.8745216375868301,0.0,1.0,1.0,274.0,30000,0.0,30000,2.4862538733329225,0.0,0.0,asoc_minigrid_extended_diagnostic,configs/minigrid_extended_diagnostic.json,MiniGrid-DoorKey-5x5-v0,MiniGrid-DoorKey-5x5-v0,fully_observable_image,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
MiniGrid-DoorKey-5x5,count_gated_tau_20,507,30000,0.0,0.0,250.0,145.05670550000286,30000,1844,75.88714459999755,69.16956090000531,0.8812690964706462,0.0,1.0,1.0,231.0,30000,0.0,30000,2.529571486666585,0.0,0.0,asoc_minigrid_extended_diagnostic,configs/minigrid_extended_diagnostic.json,MiniGrid-DoorKey-5x5-v0,MiniGrid-DoorKey-5x5-v0,fully_observable_image,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
MiniGrid-DoorKey-5x5,count_gated_tau_20,508,30000,0.0,0.0,250.0,172.49210569999923,30000,1844,92.02011470000434,80.47199099999489,0.8818227899403436,0.0,1.0,1.0,228.0,30000,0.0,30000,3.0673371566668113,0.0,0.0,asoc_minigrid_extended_diagnostic,configs/minigrid_extended_diagnostic.json,MiniGrid-DoorKey-5x5-v0,MiniGrid-DoorKey-5x5-v0,fully_observable_image,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
MiniGrid-DoorKey-5x5,count_gated_tau_20,509,30000,0.48512,0.5,129.13333333333333,145.6365751000012,30000,1844,93.8952984000025,51.74127669999871,0.87813283296419,0.0,1.0,1.0,222.0,30000,0.48512,30000,3.1298432800000833,0.1652,0.17,asoc_minigrid_extended_diagnostic,configs/minigrid_extended_diagnostic.json,MiniGrid-DoorKey-5x5-v0,MiniGrid-DoorKey-5x5-v0,fully_observable_image,a867c4bd9a5206204e82b235e92cf9a3500d38ba,1.3.0.dev0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
