environment,agent,seed,checkpoint,mean_return,success_rate,mean_length,elapsed_seconds,environment_steps,gradient_updates,training_elapsed_seconds,evaluation_elapsed_seconds,mean_gate,support_abstention_rate,global_tabular_error,global_neural_error,visited_states,failure_rate,collision_rate,risk_zone_rate,idle_rate,risk_adjusted_score,unsupported_state_ratio,memory_branch_usage_ratio,neural_branch_usage_ratio,abstention_ratio,adaptive_alpha_mean,adaptive_alpha_iqr,support_score_mean,uncertainty_score_mean,inference_time_us_per_decision_mean,inference_time_us_per_decision_median,memory_cost_states,memory_cost_entries,memory_cost_bytes_estimated,eval_checkpoint,eval_return,train_steps,seconds_per_1000_steps,return_auc,success_rate_auc,experiment_name,config_file,environment_id,resolved_environment_id,observation_representation,git_commit_hash,package_version,python_version,torch_version,numpy_version,gymnasium_version,minigrid_version,gym_pybullet_drones_version,pybullet_version
ApplicationNavigation-deployment-goal-shift,double_dqn,600,12000,-8.751333333333333,0.13333333333333333,104.33333333333333,17.084059599998,12000,719,7.2738340000069,9.8102255999911,,,,,,0.8666666666666667,0.2638888888888889,0.00527777777777777,0.5605555555555556,-0.1866111111111111,0.26666666666666666,0.0,1.0,0.0,,,0.0,,413.7965277777778,354.17499999999995,0.0,0.0,0.0,12000,-8.751333333333333,12000,0.6061528333339083,-5.6073,0.03,asoc_double_dqn_30seed,configs/strong_baselines/double_dqn_30seed.yaml,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,a654625acfbaab6f0875c6312e90326207cf3149,1.5.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ApplicationNavigation-deployment-goal-shift,double_dqn,601,12000,-2.643333333333335,0.03333333333333333,117.63333333333334,17.00651199999993,12000,719,7.477502900008403,9.529009099991526,,,,,,0.9666666666666667,0.00944444444444442,0.020555555555555553,0.955640589569161,-0.07167517006802719,0.3,0.0,1.0,0.0,,,0.0,,383.6274767573696,350.55,0.0,0.0,0.0,12000,-2.643333333333335,12000,0.6231252416673669,-3.9841333333333337,0.08666666666666667,asoc_double_dqn_30seed,configs/strong_baselines/double_dqn_30seed.yaml,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,a654625acfbaab6f0875c6312e90326207cf3149,1.5.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ApplicationNavigation-deployment-goal-shift,double_dqn,602,12000,-3.0286666666666675,0.0,120.0,17.349608600001375,12000,719,7.246479000001273,10.103129600000102,,,,,,1.0,0.0049999999999999906,0.0511111111111111,0.9538888888888889,-0.10038888888888886,0.4777777777777778,0.0,1.0,0.0,,,0.0,,433.44191666666666,355.6,0.0,0.0,0.0,12000,-3.0286666666666675,12000,0.603873250000106,-2.8138333333333345,0.023333333333333338,asoc_double_dqn_30seed,configs/strong_baselines/double_dqn_30seed.yaml,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,a654625acfbaab6f0875c6312e90326207cf3149,1.5.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ApplicationNavigation-deployment-goal-shift,double_dqn,603,12000,-12.477,0.03333333333333333,116.06666666666666,17.502473300002748,12000,719,7.269033600008697,10.233439699994053,,,,,,0.9666666666666667,0.36416666666666664,0.028333333333333325,0.5441666666666667,-0.38525,0.5666666666666667,0.0,1.0,0.0,,,0.0,,408.60333333333335,355.025,0.0,0.0,0.0,12000,-12.477,12000,0.6057528000007247,-5.096466666666667,0.03666666666666667,asoc_double_dqn_30seed,configs/strong_baselines/double_dqn_30seed.yaml,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,a654625acfbaab6f0875c6312e90326207cf3149,1.5.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ApplicationNavigation-deployment-goal-shift,double_dqn,604,12000,-2.2963333333333353,0.06666666666666667,113.7,16.67129620000196,12000,719,7.223993400009931,9.44730279999203,,,,,,0.9333333333333333,0.006944444444444423,0.01722222222222222,0.9567136752136753,-0.035949145299145266,0.5,0.0,1.0,0.0,,,0.0,,412.3164393162394,358.0,0.0,0.0,0.0,12000,-2.2963333333333353,12000,0.6019994500008276,-3.8830333333333344,0.07666666666666667,asoc_double_dqn_30seed,configs/strong_baselines/double_dqn_30seed.yaml,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,a654625acfbaab6f0875c6312e90326207cf3149,1.5.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ApplicationNavigation-deployment-goal-shift,double_dqn,605,12000,-2.9380000000000015,0.0,120.0,17.44241200000397,12000,719,7.338547800005472,10.103864199998496,,,,,,1.0,0.007222222222222203,0.035277777777777776,0.9641666666666667,-0.10363888888888886,0.3333333333333333,0.0,1.0,0.0,,,0.0,,399.24844444444443,350.975,0.0,0.0,0.0,12000,-2.9380000000000015,12000,0.611545650000456,-3.463266666666667,0.02,asoc_double_dqn_30seed,configs/strong_baselines/double_dqn_30seed.yaml,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,a654625acfbaab6f0875c6312e90326207cf3149,1.5.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ApplicationNavigation-deployment-goal-shift,double_dqn,606,12000,-3.1043333333333325,0.1,112.5,16.917211599997245,12000,719,7.40156339998066,9.515648200016583,,,,,,0.9,0.025277777777777753,0.06861111111111111,0.9046939736346516,-0.015747175141242915,0.43333333333333335,0.0,1.0,0.0,,,0.0,,417.15852306967986,356.175,0.0,0.0,0.0,12000,-3.1043333333333325,12000,0.6167969499983883,-3.4554666666666662,0.09000000000000002,asoc_double_dqn_30seed,configs/strong_baselines/double_dqn_30seed.yaml,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,a654625acfbaab6f0875c6312e90326207cf3149,1.5.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ApplicationNavigation-deployment-goal-shift,double_dqn,607,12000,-2.616,0.06666666666666667,113.3,17.107362399998237,12000,719,7.41899410001497,9.688368299983267,,,,,,0.9333333333333333,0.0072222222222222,0.05055555555555554,0.9436111111111111,-0.03491666666666666,0.3333333333333333,0.0,1.0,0.0,,,0.0,,376.55930555555557,348.025,0.0,0.0,0.0,12000,-2.616,12000,0.6182495083345808,-3.6465333333333345,0.04666666666666667,asoc_double_dqn_30seed,configs/strong_baselines/double_dqn_30seed.yaml,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,a654625acfbaab6f0875c6312e90326207cf3149,1.5.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ApplicationNavigation-deployment-goal-shift,double_dqn,608,12000,-3.1316666666666677,0.13333333333333333,111.73333333333333,17.06330010000238,12000,719,7.238633600005414,9.824666499996964,,,,,,0.8666666666666667,0.05074074074074072,0.018611111111111103,0.7923692810457516,0.0033556644880174563,0.3,0.0,1.0,0.0,,,0.0,,400.0530366426264,361.30000000000007,0.0,0.0,0.0,12000,-3.1316666666666677,12000,0.6032194666671179,-4.0716,0.06,asoc_double_dqn_30seed,configs/strong_baselines/double_dqn_30seed.yaml,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,a654625acfbaab6f0875c6312e90326207cf3149,1.5.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
ApplicationNavigation-deployment-goal-shift,double_dqn,609,12000,-4.390666666666667,0.03333333333333333,119.2,17.49647869999899,12000,719,7.372507000007317,10.123971699991673,,,,,,0.9666666666666667,0.07055555555555554,0.02680555555555555,0.895,-0.1267222222222222,0.3,0.0,1.0,0.0,,,0.0,,398.8939305555556,356.525,0.0,0.0,0.0,12000,-4.390666666666667,12000,0.6143755833339432,-4.2774333333333345,0.03333333333333334,asoc_double_dqn_30seed,configs/strong_baselines/double_dqn_30seed.yaml,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,a654625acfbaab6f0875c6312e90326207cf3149,1.5.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,not-installed,not-installed
