environment,agent,seed,checkpoint,mean_return,success_rate,mean_length,elapsed_seconds,environment_steps,gradient_updates,training_elapsed_seconds,evaluation_elapsed_seconds,mean_gate,support_abstention_rate,global_tabular_error,global_neural_error,visited_states,eval_checkpoint,eval_return,train_steps,seconds_per_1000_steps,return_auc,success_rate_auc,experiment_name,config_file,environment_id,resolved_environment_id,observation_representation,git_commit_hash,package_version,python_version,torch_version,numpy_version,gymnasium_version,minigrid_version
CliffWalking-v1,support_abstain_tau_20,100,10000,-13.0,1.0,13.0,24.10257290001028,10000,610,11.405783600057475,12.696789299952798,0.8681548601454468,0.0,1.0,1.0,37.0,10000,-13.0,10000,1.1405783600057475,-197.625,0.625,posthoc_support_abstention_confirmatory,configs/support_abstention_confirmatory.json,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,d0f2751beb1165d2082e649cf6e5966325ad6bf0,1.2.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
CliffWalking-v1,support_abstain_tau_20,101,10000,-13.0,1.0,13.0,30.272063999960665,10000,610,11.518135299906136,18.75392870005453,0.8698078805314305,0.0,1.0,1.0,37.0,10000,-13.0,10000,1.1518135299906136,-317.375,0.375,posthoc_support_abstention_confirmatory,configs/support_abstention_confirmatory.json,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,d0f2751beb1165d2082e649cf6e5966325ad6bf0,1.2.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
CliffWalking-v1,support_abstain_tau_20,102,10000,-13.0,1.0,13.0,30.19298910000361,10000,610,11.29869129997678,18.89429780002684,0.8737797234136986,0.0,1.0,1.0,37.0,10000,-13.0,10000,1.129869129997678,-317.375,0.375,posthoc_support_abstention_confirmatory,configs/support_abstention_confirmatory.json,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,d0f2751beb1165d2082e649cf6e5966325ad6bf0,1.2.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
CliffWalking-v1,support_abstain_tau_20,103,10000,-13.0,1.0,13.0,36.40877519996138,10000,610,11.571434399927966,24.837340800033417,0.8701108304844385,0.0,1.0,1.0,37.0,10000,-13.0,10000,1.1571434399927967,-439.125,0.125,posthoc_support_abstention_confirmatory,configs/support_abstention_confirmatory.json,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,d0f2751beb1165d2082e649cf6e5966325ad6bf0,1.2.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
CliffWalking-v1,support_abstain_tau_20,104,10000,-13.0,1.0,13.0,36.28456169995479,10000,610,11.573575199989136,24.710986499965657,0.867014416974454,0.0008735150244584,1.0,1.0,37.0,10000,-13.0,10000,1.1573575199989137,-439.125,0.125,posthoc_support_abstention_confirmatory,configs/support_abstention_confirmatory.json,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,d0f2751beb1165d2082e649cf6e5966325ad6bf0,1.2.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
CliffWalking-v1,support_abstain_tau_20,105,10000,-13.0,1.0,13.0,30.33252719999291,10000,610,11.74645029992098,18.58607690007193,0.8707803978917673,0.0006934812760055,1.0,1.0,37.0,10000,-13.0,10000,1.174645029992098,-317.375,0.375,posthoc_support_abstention_confirmatory,configs/support_abstention_confirmatory.json,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,d0f2751beb1165d2082e649cf6e5966325ad6bf0,1.2.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
CliffWalking-v1,support_abstain_tau_20,106,10000,-13.0,1.0,13.0,35.834012000006624,10000,610,11.517538400017656,24.316473599988967,0.8670944577441353,0.0005218298834579,1.0,1.0,37.0,10000,-13.0,10000,1.1517538400017657,-439.125,0.125,posthoc_support_abstention_confirmatory,configs/support_abstention_confirmatory.json,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,d0f2751beb1165d2082e649cf6e5966325ad6bf0,1.2.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
CliffWalking-v1,support_abstain_tau_20,107,10000,-13.0,1.0,13.0,36.61968520004302,10000,610,11.53295960003743,25.0867256000056,0.869838530104546,0.0006950477845351,1.0,1.0,37.0,10000,-13.0,10000,1.153295960003743,-439.125,0.125,posthoc_support_abstention_confirmatory,configs/support_abstention_confirmatory.json,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,d0f2751beb1165d2082e649cf6e5966325ad6bf0,1.2.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
CliffWalking-v1,support_abstain_tau_20,108,10000,-13.0,1.0,13.0,36.10585729999002,10000,610,11.528660600015428,24.5771966999746,0.8674831033888858,0.0008742787200559,1.0,1.0,37.0,10000,-13.0,10000,1.1528660600015428,-439.125,0.125,posthoc_support_abstention_confirmatory,configs/support_abstention_confirmatory.json,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,d0f2751beb1165d2082e649cf6e5966325ad6bf0,1.2.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
CliffWalking-v1,support_abstain_tau_20,109,10000,-13.0,1.0,13.0,36.16690249997191,10000,610,11.539653899904806,24.627248600067105,0.8696065213371408,0.0001728907330567,1.0,1.0,37.0,10000,-13.0,10000,1.1539653899904807,-439.125,0.125,posthoc_support_abstention_confirmatory,configs/support_abstention_confirmatory.json,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,d0f2751beb1165d2082e649cf6e5966325ad6bf0,1.2.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
CliffWalking-v1,support_abstain_tau_20,110,10000,-13.0,1.0,13.0,35.86441099998774,10000,610,11.584077900042756,24.280333099944983,0.872073821946869,0.0003509387611861,1.0,1.0,37.0,10000,-13.0,10000,1.1584077900042755,-439.125,0.125,posthoc_support_abstention_confirmatory,configs/support_abstention_confirmatory.json,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,d0f2751beb1165d2082e649cf6e5966325ad6bf0,1.2.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
CliffWalking-v1,support_abstain_tau_20,111,10000,-13.0,1.0,13.0,36.18865869997535,10000,610,11.37519309995696,24.81346560001839,0.8730808603414565,0.0001761183515322,1.0,1.0,37.0,10000,-13.0,10000,1.137519309995696,-439.125,0.125,posthoc_support_abstention_confirmatory,configs/support_abstention_confirmatory.json,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,d0f2751beb1165d2082e649cf6e5966325ad6bf0,1.2.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
CliffWalking-v1,support_abstain_tau_20,112,10000,-13.0,1.0,13.0,36.07049400004325,10000,610,11.497563300014008,24.572930700029247,0.8715636720359665,0.0001743071291615,1.0,1.0,37.0,10000,-13.0,10000,1.1497563300014009,-439.125,0.125,posthoc_support_abstention_confirmatory,configs/support_abstention_confirmatory.json,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,d0f2751beb1165d2082e649cf6e5966325ad6bf0,1.2.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
CliffWalking-v1,support_abstain_tau_20,113,10000,-13.0,1.0,13.0,30.45935530000133,10000,610,11.471373200009111,18.987982099992223,0.8659364048070171,0.0005281690140845,1.0,1.0,37.0,10000,-13.0,10000,1.1471373200009112,-317.375,0.375,posthoc_support_abstention_confirmatory,configs/support_abstention_confirmatory.json,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,d0f2751beb1165d2082e649cf6e5966325ad6bf0,1.2.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
CliffWalking-v1,support_abstain_tau_20,114,10000,-13.0,1.0,13.0,35.82303510000929,10000,610,11.44779170001857,24.375243399990723,0.8689179457002227,0.0003487966515521,1.0,1.0,37.0,10000,-13.0,10000,1.144779170001857,-439.125,0.125,posthoc_support_abstention_confirmatory,configs/support_abstention_confirmatory.json,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,d0f2751beb1165d2082e649cf6e5966325ad6bf0,1.2.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
CliffWalking-v1,support_abstain_tau_20,115,10000,-13.0,1.0,13.0,36.66609179996885,10000,610,11.533881800074596,25.132209999894258,0.8669361712650451,0.0001768033946251,1.0,1.0,37.0,10000,-13.0,10000,1.1533881800074597,-439.125,0.125,posthoc_support_abstention_confirmatory,configs/support_abstention_confirmatory.json,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,d0f2751beb1165d2082e649cf6e5966325ad6bf0,1.2.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
CliffWalking-v1,support_abstain_tau_20,116,10000,-13.0,1.0,13.0,29.700820599973667,10000,610,11.505081299925225,18.195739300048444,0.8648801876382213,0.0007008936393902,1.0,1.0,37.0,10000,-13.0,10000,1.1505081299925224,-317.375,0.375,posthoc_support_abstention_confirmatory,configs/support_abstention_confirmatory.json,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,d0f2751beb1165d2082e649cf6e5966325ad6bf0,1.2.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
CliffWalking-v1,support_abstain_tau_20,117,10000,-13.0,1.0,13.0,36.30432399996789,10000,610,11.483993300003933,24.82033069996396,0.869612775550741,0.0008704735376044,1.0,1.0,37.0,10000,-13.0,10000,1.1483993300003932,-439.125,0.125,posthoc_support_abstention_confirmatory,configs/support_abstention_confirmatory.json,CliffWalking-v1,CliffWalking-v1,native_gymnasium_observation,d0f2751beb1165d2082e649cf6e5966325ad6bf0,1.2.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0
