environment,agent,metric,n_seeds,mean,std,median,q25,q75,t_ci_low,t_ci_high,bootstrap_ci_low,bootstrap_ci_high
FourRooms-11-slip-unseen-goals,count_gated_tau_20,mean_return,30,-3.013511111111108,0.2964724371717452,-3.0388333333333293,-3.1979999999999977,-2.79233333333333,-3.124215738530668,-2.902806483691548,-3.1221024999999964,-2.9110311111111074
FourRooms-11-slip-unseen-goals,count_gated_tau_20,success_rate,30,0.15444444444444444,0.06919533865401026,0.15,0.1,0.2,0.12860648035598204,0.18028240853290683,0.1311111111111111,0.17888888888888888
FourRooms-11-slip-unseen-goals,count_gated_tau_20,return_auc,30,-3.2936015873015845,0.13996806879991242,-3.303904761904758,-3.3887321428571395,-3.1901845238095206,-3.345866523141652,-3.241336651461517,-3.34260831349206,-3.245229722222219
FourRooms-11-slip-unseen-goals,count_gated_tau_20,success_rate_auc,30,0.12063492063492064,0.028560023266366953,0.12261904761904763,0.0988095238095238,0.14404761904761906,0.1099704326813051,0.13129940858853617,0.11071428571428571,0.13079365079365077
FourRooms-11-slip-unseen-goals,count_gated_tau_20,seconds_per_1000_steps,30,1.301677266249976,0.27818146555408263,1.257055671874923,1.0849882140626619,1.4386144171877504,1.1978025998797195,1.4055519326202326,1.2090293819427387,1.4029705210207737
FourRooms-11-slip-unseen-goals,count_gated_tau_20,gradient_updates,30,969.0,0.0,969.0,969.0,969.0,969.0,969.0,969.0,969.0
FourRooms-11-slip-unseen-goals,count_gated_tau_20,mean_gate,30,0.2631075505541171,0.013893114815152053,0.25774913857801074,0.2552931711457606,0.27346928525554615,0.25791977622345447,0.26829532488477975,0.2582718766117575,0.26796185097766306
FourRooms-11-slip-unseen-goals,count_gated_tau_20,support_abstention_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FourRooms-11-slip-unseen-goals,count_gated_tau_20,global_tabular_error,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FourRooms-11-slip-unseen-goals,count_gated_tau_20,global_neural_error,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FourRooms-11-slip-unseen-goals,count_gated_tau_20,visited_states,30,2026.1333333333334,108.87250795543265,2045.0,1968.5,2121.75,1985.4796707385299,2066.786995928137,1987.1975,2062.266666666667
FourRooms-11-slip-unseen-goals,fixed_hybrid,mean_return,30,-3.0743999999999967,0.49405915385668026,-3.0724999999999962,-3.4435833333333283,-2.7943333333333307,-3.2588847199715953,-2.889915280028398,-3.243001111111108,-2.896309999999996
FourRooms-11-slip-unseen-goals,fixed_hybrid,success_rate,30,0.1388888888888889,0.0830839179395074,0.13333333333333333,0.06666666666666667,0.19166666666666668,0.10786484406437044,0.16991293371340735,0.11111111111111112,0.16888888888888892
FourRooms-11-slip-unseen-goals,fixed_hybrid,return_auc,30,-3.3617849206349173,0.13302255851730987,-3.3613571428571394,-3.4406785714285677,-3.2930476190476154,-3.411456360312544,-3.3121134809572905,-3.4078394246031714,-3.3142663095238065
FourRooms-11-slip-unseen-goals,fixed_hybrid,success_rate_auc,30,0.11380952380952382,0.02311296359044474,0.11071428571428571,0.10059523809523807,0.12976190476190477,0.10517900136618522,0.12244004625286242,0.10563492063492066,0.121984126984127
FourRooms-11-slip-unseen-goals,fixed_hybrid,seconds_per_1000_steps,30,1.4790053316667051,0.3293360980363133,1.547503768749948,1.1846292593751855,1.7799861531249803,1.3560292116039785,1.6019814517294317,1.3640285645886256,1.590981726630279
FourRooms-11-slip-unseen-goals,fixed_hybrid,gradient_updates,30,969.0,0.0,969.0,969.0,969.0,969.0,969.0,969.0,969.0
FourRooms-11-slip-unseen-goals,fixed_hybrid,mean_gate,30,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
FourRooms-11-slip-unseen-goals,fixed_hybrid,support_abstention_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FourRooms-11-slip-unseen-goals,fixed_hybrid,global_tabular_error,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FourRooms-11-slip-unseen-goals,fixed_hybrid,global_neural_error,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FourRooms-11-slip-unseen-goals,fixed_hybrid,visited_states,30,2088.3,111.27045336972188,2101.0,2028.75,2157.75,2046.75092987189,2129.8490701281103,2047.7666666666667,2126.5008333333335
FourRooms-11-slip-unseen-goals,random,mean_return,30,-1.7465444444444396,0.19852325463508436,-1.7761666666666618,-1.8356666666666617,-1.6544166666666618,-1.820674246014371,-1.6724146428745081,-1.8139672222222167,-1.6749099999999955
FourRooms-11-slip-unseen-goals,random,success_rate,30,0.3311111111111112,0.09052140718991503,0.3333333333333333,0.3,0.36666666666666664,0.29730986215841815,0.36491236006380423,0.30000000000000004,0.36444444444444446
FourRooms-11-slip-unseen-goals,random,return_auc,30,-1.673173015873011,0.09652431884799392,-1.688214285714281,-1.727517857142852,-1.6094285714285672,-1.7092157888772475,-1.6371302428687744,-1.7070412896825344,-1.6389406746031703
FourRooms-11-slip-unseen-goals,random,success_rate_auc,30,0.35674603174603176,0.03631989721443266,0.3488095238095238,0.3345238095238095,0.38749999999999996,0.34318395923973916,0.37030810425232435,0.34404761904761916,0.3696825396825397
FourRooms-11-slip-unseen-goals,random,seconds_per_1000_steps,30,0.268142080416654,0.059286255944906774,0.29182900624971353,0.22391727968783925,0.3194751921876673,0.2460042286214144,0.2902799322118936,0.24741412625516718,0.288807345463494
FourRooms-11-slip-unseen-goals,random,gradient_updates,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FourRooms-11-slip-unseen-goals,reliability_gated,mean_return,30,-3.179711111111108,0.3921368000930652,-3.1713333333333296,-3.3598333333333303,-2.933999999999996,-3.326137398714543,-3.0332848235076733,-3.3189233333333306,-3.0449566666666636
FourRooms-11-slip-unseen-goals,reliability_gated,success_rate,30,0.13777777777777783,0.06988404919619494,0.13333333333333333,0.1,0.2,0.11168264494641367,0.163872910609142,0.11333333333333333,0.16222222222222224
FourRooms-11-slip-unseen-goals,reliability_gated,return_auc,30,-3.3510960317460285,0.1675768152036456,-3.383416666666663,-3.4566369047619014,-3.266994047619044,-3.413670242921448,-3.288521820570609,-3.4072021230158698,-3.288916428571426
FourRooms-11-slip-unseen-goals,reliability_gated,success_rate_auc,30,0.11388888888888889,0.031188836200340676,0.11666666666666667,0.09226190476190475,0.12976190476190477,0.10224278605333849,0.12553499172443927,0.10317460317460318,0.12539682539682537
FourRooms-11-slip-unseen-goals,reliability_gated,seconds_per_1000_steps,30,1.7711782404166343,0.4897679180480974,1.7975657125000453,1.353652006250002,2.1875254515621805,1.5882958942302365,1.954060586603032,1.599162927406296,1.9420802726665438
FourRooms-11-slip-unseen-goals,reliability_gated,gradient_updates,30,969.0,0.0,969.0,969.0,969.0,969.0,969.0,969.0,969.0
FourRooms-11-slip-unseen-goals,reliability_gated,mean_gate,30,0.5113667372470593,0.003273200800245402,0.5113124322354026,0.5094380995237379,0.513149645307035,0.5101445039814061,0.5125889705127125,0.5102291939114262,0.5125338768665892
FourRooms-11-slip-unseen-goals,reliability_gated,support_abstention_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FourRooms-11-slip-unseen-goals,reliability_gated,global_tabular_error,30,0.0039061103858666663,0.01177820795145926,8.51046095e-05,5.2107740250000004e-05,0.00012932808625,-0.0004919447432212717,0.008304165514954604,0.0005523988301258333,0.008737715172949165
FourRooms-11-slip-unseen-goals,reliability_gated,global_neural_error,30,0.0039623568104227925,0.012010946594566734,0.00015989874168995,9.506026458798856e-05,0.001094947742987125,-0.0005226043562622301,0.008447317977107814,0.0006877319383062523,0.008949148221626513
FourRooms-11-slip-unseen-goals,reliability_gated,visited_states,30,2099.8333333333335,113.93890780871861,2088.0,2005.75,2145.75,2057.2878459420426,2142.3788207246243,2060.5991666666664,2140.934166666667
FourRooms-11-slip-unseen-goals,support_abstain_tau_20,mean_return,30,-1.6670222222222177,0.2567006684946868,-1.705999999999995,-1.8398333333333285,-1.527333333333329,-1.7628758271480405,-1.571168617296395,-1.7560788888888843,-1.5744988888888845
FourRooms-11-slip-unseen-goals,support_abstain_tau_20,success_rate,30,0.35777777777777786,0.0896708896725217,0.36666666666666664,0.30833333333333335,0.4,0.32429411728549973,0.391261438270056,0.32666666666666677,0.39
FourRooms-11-slip-unseen-goals,support_abstain_tau_20,return_auc,30,-1.668102380952376,0.09661623656243097,-1.6644523809523766,-1.7364285714285665,-1.6087559523809478,-1.70417947659526,-1.632025285309492,-1.7020420634920583,-1.6349845833333287
FourRooms-11-slip-unseen-goals,support_abstain_tau_20,success_rate_auc,30,0.3595238095238095,0.037375173431327596,0.3678571428571429,0.3339285714285714,0.3886904761904762,0.3455676904021535,0.37347992864546553,0.3461904761904762,0.3723015873015873
FourRooms-11-slip-unseen-goals,support_abstain_tau_20,seconds_per_1000_steps,30,2.0498720879166132,0.29258839388141905,1.9550337468749603,1.8863518984375105,2.2797708437498727,1.9406177860970952,2.159126389736131,1.9500583871093307,2.154473351515502
FourRooms-11-slip-unseen-goals,support_abstain_tau_20,gradient_updates,30,969.0,0.0,969.0,969.0,969.0,969.0,969.0,969.0,969.0
FourRooms-11-slip-unseen-goals,support_abstain_tau_20,mean_gate,30,0.37720456039133793,0.0069198661097729,0.37603612033176465,0.37197423516453954,0.3814355404276746,0.37462063992040434,0.3797884808622715,0.3748195540481783,0.3796575328028199
