agent,metric,n_environments,mean_environment_rank,median_environment_rank,best_environment_rank,worst_environment_rank
count_gated_tau_1,return_auc,4,4.125,4.75,2.0,5.0
count_gated_tau_10,return_auc,4,3.25,3.0,1.0,6.0
count_gated_tau_100,return_auc,4,4.75,6.0,1.0,6.0
count_gated_tau_20,return_auc,4,2.0,2.0,1.0,3.0
count_gated_tau_5,return_auc,4,2.75,3.0,1.0,4.0
count_gated_tau_50,return_auc,4,4.125,4.25,3.0,5.0
count_gated_tau_1,success_rate_auc,4,4.25,5.0,1.0,6.0
count_gated_tau_10,success_rate_auc,4,3.125,2.75,2.0,5.0
count_gated_tau_100,success_rate_auc,4,4.5,5.0,2.0,6.0
count_gated_tau_20,success_rate_auc,4,2.625,2.75,1.0,4.0
count_gated_tau_5,success_rate_auc,4,2.5,2.5,1.0,4.0
count_gated_tau_50,success_rate_auc,4,4.0,4.5,1.0,6.0
count_gated_tau_1,mean_return,4,3.75,3.25,2.5,6.0
count_gated_tau_10,mean_return,4,4.375,4.5,3.5,5.0
count_gated_tau_100,mean_return,4,4.375,4.25,3.0,6.0
count_gated_tau_20,mean_return,4,1.875,1.5,1.0,3.5
count_gated_tau_5,mean_return,4,3.5,3.0,2.0,6.0
count_gated_tau_50,mean_return,4,3.125,3.75,1.0,4.0
