environment,metric,left,right,n_pairs,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,cohen_dz,rank_biserial,paired_t_p,wilcoxon_p,sign_test_p,wins,losses,ties,win_rate_non_ties,paired_t_holm_p,wilcoxon_holm_p,sign_test_holm_p
CliffWalking-v1,mean_return,count_gated_tau_1,count_gated_tau_10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,0.5,1.0,1.0,1.0
CliffWalking-v1,mean_return,count_gated_tau_1,count_gated_tau_100,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,0.5,1.0,1.0,1.0
CliffWalking-v1,mean_return,count_gated_tau_1,count_gated_tau_20,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,0.5,1.0,1.0,1.0
CliffWalking-v1,mean_return,count_gated_tau_1,count_gated_tau_5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,0.5,1.0,1.0,1.0
CliffWalking-v1,mean_return,count_gated_tau_1,count_gated_tau_50,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,0.5,1.0,1.0,1.0
CliffWalking-v1,mean_return,count_gated_tau_10,count_gated_tau_100,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,0.5,1.0,1.0,1.0
CliffWalking-v1,mean_return,count_gated_tau_10,count_gated_tau_20,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,0.5,1.0,1.0,1.0
CliffWalking-v1,mean_return,count_gated_tau_10,count_gated_tau_5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,0.5,1.0,1.0,1.0
CliffWalking-v1,mean_return,count_gated_tau_10,count_gated_tau_50,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,0.5,1.0,1.0,1.0
CliffWalking-v1,mean_return,count_gated_tau_100,count_gated_tau_20,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,0.5,1.0,1.0,1.0
CliffWalking-v1,mean_return,count_gated_tau_100,count_gated_tau_5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,0.5,1.0,1.0,1.0
CliffWalking-v1,mean_return,count_gated_tau_100,count_gated_tau_50,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,0.5,1.0,1.0,1.0
CliffWalking-v1,mean_return,count_gated_tau_20,count_gated_tau_5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,0.5,1.0,1.0,1.0
CliffWalking-v1,mean_return,count_gated_tau_20,count_gated_tau_50,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,0.5,1.0,1.0,1.0
CliffWalking-v1,mean_return,count_gated_tau_5,count_gated_tau_50,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,0.5,1.0,1.0,1.0
CliffWalking-v1,success_rate,count_gated_tau_1,count_gated_tau_10,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,0.5,1.0,1.0,1.0
CliffWalking-v1,success_rate,count_gated_tau_1,count_gated_tau_100,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,0.5,1.0,1.0,1.0
CliffWalking-v1,success_rate,count_gated_tau_1,count_gated_tau_20,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,0.5,1.0,1.0,1.0
CliffWalking-v1,success_rate,count_gated_tau_1,count_gated_tau_5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,0.5,1.0,1.0,1.0
