environment,agent,seed,checkpoint,mean_return,success_rate,mean_length,elapsed_seconds,environment_steps,gradient_updates,training_elapsed_seconds,evaluation_elapsed_seconds,mean_gate,support_abstention_rate,global_tabular_error,global_neural_error,visited_states,seconds_per_1000_steps,return_auc
CliffWalking-v1,count_gated_tau_1,0,10000,-13.0,1.0,13.0,27.78028239996638,10000,610,11.358393399917986,16.421889000048395,0.990381971549194,0.0,1.0,1.0,37.0,1.1358393399917985,-439.125
CliffWalking-v1,count_gated_tau_1,1,10000,-13.0,1.0,13.0,27.759984000003897,10000,610,11.353930999990553,16.406053000013344,0.9898864983201924,0.0,1.0,1.0,37.0,1.1353930999990554,-439.125
CliffWalking-v1,count_gated_tau_1,2,10000,-13.0,1.0,13.0,27.5032257999992,10000,610,11.179969499877188,16.32325630012201,0.990262569477429,0.0,1.0,1.0,37.0,1.117996949987719,-439.125
CliffWalking-v1,count_gated_tau_1,3,10000,-13.0,1.0,13.0,27.916248800000176,10000,610,11.388986800040584,16.52726199995959,0.9905547432475472,0.0,1.0,1.0,37.0,1.1388986800040584,-439.125
CliffWalking-v1,count_gated_tau_1,4,10000,-13.0,1.0,13.0,24.18677620001836,10000,610,11.561008300050162,12.625767899968196,0.9903409740015696,0.0,1.0,1.0,37.0,1.1561008300050162,-317.375
CliffWalking-v1,count_gated_tau_10,0,10000,-13.0,1.0,13.0,23.94000339997001,10000,610,11.317932799982373,12.622070599987635,0.9247052184757564,0.0,1.0,1.0,37.0,1.1317932799982373,-317.375
CliffWalking-v1,count_gated_tau_10,1,10000,-13.0,1.0,13.0,24.06314069998916,10000,610,11.421115699980874,12.642025000008289,0.9254664014844544,0.0,1.0,1.0,37.0,1.1421115699980873,-317.875
CliffWalking-v1,count_gated_tau_10,2,10000,-13.0,1.0,13.0,28.302999400009867,10000,610,11.548566299956292,16.754433100053575,0.924466750544354,0.0,1.0,1.0,37.0,1.154856629995629,-439.125
CliffWalking-v1,count_gated_tau_10,3,10000,-13.0,1.0,13.0,28.281169200025037,10000,610,11.765766000025906,16.515403199999128,0.9245502338035604,0.0,1.0,1.0,37.0,1.1765766000025906,-439.125
CliffWalking-v1,count_gated_tau_10,4,10000,-13.0,1.0,13.0,28.467817700002342,10000,610,11.520770499948412,16.94704720005393,0.9263758759330336,0.0,1.0,1.0,37.0,1.1520770499948412,-439.125
CliffWalking-v1,count_gated_tau_100,0,10000,-13.0,1.0,13.0,24.168140800029505,10000,610,11.746258799917996,12.42188200011151,0.6112559070735327,0.0,1.0,1.0,37.0,1.1746258799917997,-318.575
CliffWalking-v1,count_gated_tau_100,1,10000,-13.0,1.0,13.0,27.28968210000312,10000,610,11.780059300072026,15.509622799931094,0.6095357394240335,0.0,1.0,1.0,37.0,1.1780059300072026,-439.125
CliffWalking-v1,count_gated_tau_100,2,10000,-13.0,1.0,13.0,27.555410800036043,10000,610,11.840830600063782,15.71458019997226,0.6080682119928159,0.0,1.0,1.0,37.0,1.1840830600063783,-439.125
CliffWalking-v1,count_gated_tau_100,3,10000,-13.0,1.0,13.0,27.32826119998936,10000,610,12.076713799964637,15.25154740002472,0.6106647917719394,0.0,1.0,1.0,37.0,1.2076713799964636,-439.125
CliffWalking-v1,count_gated_tau_100,4,10000,-13.0,1.0,13.0,27.33399620000273,10000,610,11.96427140000742,15.36972479999531,0.6129729634337734,0.0,1.0,1.0,37.0,1.196427140000742,-439.125
CliffWalking-v1,count_gated_tau_20,0,10000,-13.0,1.0,13.0,27.85954950004816,10000,610,11.493853000109084,16.365696499939077,0.8692619716288607,0.0,1.0,1.0,37.0,1.1493853000109084,-439.125
CliffWalking-v1,count_gated_tau_20,1,10000,-13.0,1.0,13.0,23.991526300029363,10000,610,11.380608899984509,12.610917400044857,0.8688891598372247,0.0,1.0,1.0,37.0,1.1380608899984508,-317.375
CliffWalking-v1,count_gated_tau_20,2,10000,-13.0,1.0,13.0,23.665319600026123,10000,610,11.239294799917843,12.42602480010828,0.8664222253162085,0.0,1.0,1.0,37.0,1.1239294799917843,-317.375
CliffWalking-v1,count_gated_tau_20,3,10000,-13.0,1.0,13.0,27.82271259999834,10000,610,11.263081600016449,16.55963099998189,0.8690470182673031,0.0,1.0,1.0,37.0,1.126308160001645,-439.125
CliffWalking-v1,count_gated_tau_20,4,10000,-13.0,1.0,13.0,27.75814430002356,10000,610,11.251479299971834,16.506665000051726,0.8717766597267208,0.0,1.0,1.0,37.0,1.1251479299971834,-439.125
CliffWalking-v1,count_gated_tau_5,0,10000,-13.0,1.0,13.0,28.24384499998996,10000,610,11.694697600032669,16.549147399957292,0.9586026210166022,0.0,1.0,1.0,37.0,1.1694697600032669,-439.125
CliffWalking-v1,count_gated_tau_5,1,10000,-13.0,1.0,13.0,24.081420499947853,10000,610,11.49329069990199,12.588129800045865,0.9577570199038838,0.0,1.0,1.0,37.0,1.149329069990199,-317.375
CliffWalking-v1,count_gated_tau_5,2,10000,-13.0,1.0,13.0,27.821772199997213,10000,610,11.376537000003736,16.445235199993476,0.9581692853469636,0.0,1.0,1.0,37.0,1.1376537000003737,-439.125
CliffWalking-v1,count_gated_tau_5,3,10000,-13.0,1.0,13.0,24.464018600003328,10000,610,11.682045899971854,12.781972700031474,0.9580362371110388,0.0,1.0,1.0,37.0,1.1682045899971853,-317.375
CliffWalking-v1,count_gated_tau_5,4,10000,-13.0,1.0,13.0,24.11324140004581,10000,610,11.532230100070592,12.581011299975216,0.9600357438894892,0.0,1.0,1.0,37.0,1.1532230100070593,-317.375
CliffWalking-v1,count_gated_tau_50,0,10000,-13.0,1.0,13.0,27.78921859996626,10000,610,11.249039499962237,16.540179100004025,0.7440699674460266,0.0,1.0,1.0,37.0,1.1249039499962237,-439.125
CliffWalking-v1,count_gated_tau_50,1,10000,-13.0,1.0,13.0,27.673679400002584,10000,610,11.301564700028392,16.37211469997419,0.7417203399857177,0.0,1.0,1.0,37.0,1.1301564700028393,-439.125
CliffWalking-v1,count_gated_tau_50,2,10000,-13.0,1.0,13.0,28.361298299976625,10000,610,11.755296000046656,16.60600229992997,0.7448454130231099,0.0,1.0,1.0,37.0,1.1755296000046656,-439.125
CliffWalking-v1,count_gated_tau_50,3,10000,-13.0,1.0,13.0,23.943503900023643,10000,610,11.56850300001679,12.375000900006851,0.7458416400432276,0.0,1.0,1.0,37.0,1.156850300001679,-317.375
CliffWalking-v1,count_gated_tau_50,4,10000,-13.0,1.0,13.0,27.829101200040892,10000,610,11.88841300009517,15.940688199945726,0.7454958475506609,0.0,1.0,1.0,37.0,1.188841300009517,-439.125
FourRooms-7-unseen-goals,count_gated_tau_1,0,8000,-1.791500000000001,0.05,95.4,11.707516900030896,8000,485,8.625846999988426,3.0816699000424705,0.7464513613211897,0.0,1.0,1.0,880.0,1.0782308749985532,-1.7317500000000012
FourRooms-7-unseen-goals,count_gated_tau_1,1,8000,-1.391500000000001,0.15,85.3,11.274947600031735,8000,485,8.420455700019374,2.8544919000123627,0.75098896314141,0.0,1.0,1.0,853.0,1.0525569625024218,-1.560666666666668
FourRooms-7-unseen-goals,count_gated_tau_1,2,8000,-1.934000000000001,0.0,100.0,11.665814500011038,8000,485,8.571135800040793,3.0946786999702454,0.7464451250769368,0.0,1.0,1.0,860.0,1.071391975005099,-1.6382500000000009
FourRooms-7-unseen-goals,count_gated_tau_1,3,8000,-1.9365000000000012,0.0,100.0,11.69896880001761,8000,485,8.707841800001916,2.991127000015694,0.743657964750867,0.0,1.0,1.0,902.0,1.0884802250002394,-1.6926666666666679
