agent,metric,n_environments,mean_environment_rank,median_environment_rank,best_environment_rank,worst_environment_rank
count_gated_tau_1,return_auc,1,6.0,6.0,6.0,6.0
count_gated_tau_10,return_auc,1,4.0,4.0,4.0,4.0
count_gated_tau_100,return_auc,1,1.0,1.0,1.0,1.0
count_gated_tau_20,return_auc,1,2.0,2.0,2.0,2.0
count_gated_tau_5,return_auc,1,5.0,5.0,5.0,5.0
count_gated_tau_50,return_auc,1,3.0,3.0,3.0,3.0
count_gated_tau_1,success_rate_auc,1,6.0,6.0,6.0,6.0
count_gated_tau_10,success_rate_auc,1,4.0,4.0,4.0,4.0
count_gated_tau_100,success_rate_auc,1,1.0,1.0,1.0,1.0
count_gated_tau_20,success_rate_auc,1,3.0,3.0,3.0,3.0
count_gated_tau_5,success_rate_auc,1,5.0,5.0,5.0,5.0
count_gated_tau_50,success_rate_auc,1,2.0,2.0,2.0,2.0
count_gated_tau_1,mean_return,1,5.0,5.0,5.0,5.0
count_gated_tau_10,mean_return,1,3.5,3.5,3.5,3.5
count_gated_tau_100,mean_return,1,1.0,1.0,1.0,1.0
count_gated_tau_20,mean_return,1,2.0,2.0,2.0,2.0
count_gated_tau_5,mean_return,1,3.5,3.5,3.5,3.5
count_gated_tau_50,mean_return,1,6.0,6.0,6.0,6.0
