environment,metric,left,right,n_pairs,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,cohen_dz,rank_biserial,paired_t_p,wilcoxon_p,sign_test_p,wins,losses,ties,difference_skew,difference_excess_kurtosis,catastrophic_low_outliers,catastrophic_high_outliers,win_rate_non_ties,paired_t_holm_p,wilcoxon_holm_p,sign_test_holm_p
MiniGrid-Empty-5x5,mean_return,count_gated_tau_1,count_gated_tau_10,5,-0.18919999999999998,0.0,-0.7604,0.38379999999999986,-0.2374300805627633,-0.16666666666666666,0.6235911141603638,1.0,1.0,1,2,2,0.5179175939084781,-0.595497023186887,0,0,0.3333333333333333,1.0,1.0,1.0
MiniGrid-Empty-5x5,mean_return,count_gated_tau_1,count_gated_tau_100,5,-0.3802,0.0,-0.7622,0.0,-0.7302831029518628,-1.0,0.17781418745369987,0.5,0.5,0,2,3,-0.6087511192092293,-3.3323372192858067,0,0,0.0,1.0,1.0,1.0
MiniGrid-Empty-5x5,mean_return,count_gated_tau_1,count_gated_tau_20,5,-0.37839999999999996,0.0,-0.7567999999999999,0.0,-0.7302967433402215,-1.0,0.17780780835622137,0.5,0.5,0,2,3,-0.6085806194501846,-3.3333333333333344,0,0,0.0,1.0,1.0,1.0
MiniGrid-Empty-5x5,mean_return,count_gated_tau_1,count_gated_tau_5,5,-0.18919999999999998,0.0,-0.5676,0.0,-0.44721359549995787,-1.0,0.37390096630005887,1.0,1.0,0,1,4,-2.236067977499788,4.99999999999999,0,0,0.0,1.0,1.0,1.0
MiniGrid-Empty-5x5,mean_return,count_gated_tau_1,count_gated_tau_50,5,0.0017999999999999794,0.0,-0.5676,0.5729999999999998,0.00267813497671711,0.3333333333333333,0.9955086646602122,1.0,1.0,1,1,3,0.02008577221695385,2.000215168350345,0,0,0.5,1.0,1.0,1.0
MiniGrid-Empty-5x5,mean_return,count_gated_tau_10,count_gated_tau_100,5,-0.19099999999999998,0.0,-0.573,0.0035999999999999587,-0.44716395559137784,-0.5,0.37394862325710626,0.75,1.0,1,2,2,-2.2348271450774027,4.995561155720765,1,0,0.3333333333333333,1.0,1.0,1.0
MiniGrid-Empty-5x5,mean_return,count_gated_tau_10,count_gated_tau_20,5,-0.18919999999999998,0.0,-0.7604,0.38199999999999995,-0.23822996818282363,-0.3,0.6224602726489883,0.75,1.0,2,2,1,0.4948408360664366,-0.6618404863641794,0,0,0.5,1.0,1.0,1.0
MiniGrid-Empty-5x5,mean_return,count_gated_tau_10,count_gated_tau_5,5,0.0,0.0,-0.7604,0.7604,0.0,0.0,1.0,1.0,1.0,2,2,1,0.0,-2.9995517386317503,0,0,0.5,1.0,1.0,1.0
MiniGrid-Empty-5x5,mean_return,count_gated_tau_10,count_gated_tau_50,5,0.19099999999999998,0.0,0.0,0.5693999999999999,0.4525253278806967,1.0,0.3688319376434022,0.5,0.5,2,0,3,2.235592932586847,4.998286963356806,0,1,1.0,1.0,1.0,1.0
MiniGrid-Empty-5x5,mean_return,count_gated_tau_100,count_gated_tau_20,5,0.0017999999999999794,0.0,-0.5676,0.5729999999999998,0.0026781349767171104,0.3333333333333333,0.9955086646602122,1.0,1.0,1,1,3,0.020085772216953856,2.000215168350346,0,0,0.5,1.0,1.0,1.0
MiniGrid-Empty-5x5,mean_return,count_gated_tau_100,count_gated_tau_5,5,0.19099999999999998,0.0,-0.37839999999999996,0.7621999999999998,0.2406635499579422,0.5,0.6190275337095558,0.75,1.0,2,1,2,-0.5063688127974061,-0.6286193542992748,0,0,0.6666666666666666,1.0,1.0,1.0
MiniGrid-Empty-5x5,mean_return,count_gated_tau_100,count_gated_tau_50,5,0.38199999999999995,0.0,0.0,0.7639999999999999,0.7302967433402214,1.0,0.17780780835622137,0.5,0.5,2,0,3,0.6085806194501845,-3.3333333333333344,0,0,1.0,1.0,1.0,1.0
MiniGrid-Empty-5x5,mean_return,count_gated_tau_20,count_gated_tau_5,5,0.18919999999999998,0.0,-0.3784,0.7567999999999999,0.23904572186687872,0.3333333333333333,0.6213082950374971,1.0,1.0,2,1,2,-0.5122408325718831,-0.6122448979591839,0,0,0.6666666666666666,1.0,1.0,1.0
MiniGrid-Empty-5x5,mean_return,count_gated_tau_20,count_gated_tau_50,5,0.3802,0.0,0.0,0.7622,0.7302831029518628,1.0,0.17781418745369987,0.5,0.5,2,0,3,0.6087511192092293,-3.3323372192858067,0,0,1.0,1.0,1.0,1.0
MiniGrid-Empty-5x5,mean_return,count_gated_tau_5,count_gated_tau_50,5,0.19099999999999998,0.0,-0.37839999999999996,0.7604449999999993,0.24066354995794215,0.5,0.6190275337095558,0.75,1.0,2,1,2,-0.5063688127974058,-0.6286193542992771,0,0,0.6666666666666666,1.0,1.0,1.0
MiniGrid-Empty-5x5,success_rate,count_gated_tau_1,count_gated_tau_10,5,-0.2,0.0,-0.8,0.4,-0.23904572186687872,-0.3333333333333333,0.6213082950374971,1.0,1.0,1,2,2,0.5122408325718827,-0.6122448979591839,0,0,0.3333333333333333,1.0,1.0,1.0
MiniGrid-Empty-5x5,success_rate,count_gated_tau_1,count_gated_tau_100,5,-0.4,0.0,-0.8,0.0,-0.7302967433402214,-1.0,0.17780780835622137,0.5,0.5,0,2,3,-0.6085806194501843,-3.333333333333334,0,0,0.0,1.0,1.0,1.0
MiniGrid-Empty-5x5,success_rate,count_gated_tau_1,count_gated_tau_20,5,-0.4,0.0,-0.8,0.0,-0.7302967433402214,-1.0,0.17780780835622137,0.5,0.5,0,2,3,-0.6085806194501845,-3.333333333333334,0,0,0.0,1.0,1.0,1.0
MiniGrid-Empty-5x5,success_rate,count_gated_tau_1,count_gated_tau_5,5,-0.2,0.0,-0.6,0.0,-0.44721359549995787,-1.0,0.37390096630005887,1.0,1.0,0,1,4,-2.236067977499789,4.999999999999995,0,0,0.0,1.0,1.0,1.0
MiniGrid-Empty-5x5,success_rate,count_gated_tau_1,count_gated_tau_50,5,0.0,0.0,-0.6,0.6,0.0,0.0,1.0,1.0,1.0,1,1,3,0.0,2.0,0,0,0.5,1.0,1.0,1.0
MiniGrid-Empty-5x5,success_rate,count_gated_tau_10,count_gated_tau_100,5,-0.2,0.0,-0.6,0.0,-0.4472135954999579,-1.0,0.37390096630005887,1.0,1.0,0,1,4,-2.2360679774997894,5.0,0,0,0.0,1.0,1.0,1.0
MiniGrid-Empty-5x5,success_rate,count_gated_tau_10,count_gated_tau_20,5,-0.2,0.0,-0.8,0.4,-0.23904572186687872,-0.3333333333333333,0.6213082950374971,1.0,1.0,1,2,2,0.5122408325718827,-0.6122448979591839,0,0,0.3333333333333333,1.0,1.0,1.0
MiniGrid-Empty-5x5,success_rate,count_gated_tau_10,count_gated_tau_5,5,0.0,0.0,-0.8,0.8,0.0,0.0,1.0,1.0,1.0,2,2,1,0.0,-3.0,0,0,0.5,1.0,1.0,1.0
MiniGrid-Empty-5x5,success_rate,count_gated_tau_10,count_gated_tau_50,5,0.2,0.0,0.0,0.6,0.4472135954999579,1.0,0.37390096630005887,1.0,1.0,1,0,4,2.2360679774997894,5.0,0,0,1.0,1.0,1.0,1.0
MiniGrid-Empty-5x5,success_rate,count_gated_tau_100,count_gated_tau_20,5,0.0,0.0,-0.6,0.6,0.0,0.0,1.0,1.0,1.0,1,1,3,0.0,2.0,0,0,0.5,1.0,1.0,1.0
MiniGrid-Empty-5x5,success_rate,count_gated_tau_100,count_gated_tau_5,5,0.2,0.0,-0.4,0.8,0.23904572186687872,0.3333333333333333,0.6213082950374971,1.0,1.0,2,1,2,-0.5122408325718827,-0.6122448979591852,0,0,0.6666666666666666,1.0,1.0,1.0
MiniGrid-Empty-5x5,success_rate,count_gated_tau_100,count_gated_tau_50,5,0.4,0.0,0.0,0.8,0.7302967433402214,1.0,0.17780780835622137,0.5,0.5,2,0,3,0.6085806194501843,-3.333333333333334,0,0,1.0,1.0,1.0,1.0
MiniGrid-Empty-5x5,success_rate,count_gated_tau_20,count_gated_tau_5,5,0.2,0.0,-0.4,0.8,0.23904572186687872,0.3333333333333333,0.6213082950374971,1.0,1.0,2,1,2,-0.5122408325718827,-0.6122448979591852,0,0,0.6666666666666666,1.0,1.0,1.0
MiniGrid-Empty-5x5,success_rate,count_gated_tau_20,count_gated_tau_50,5,0.4,0.0,0.0,0.8,0.7302967433402214,1.0,0.17780780835622137,0.5,0.5,2,0,3,0.6085806194501843,-3.333333333333334,0,0,1.0,1.0,1.0,1.0
MiniGrid-Empty-5x5,success_rate,count_gated_tau_5,count_gated_tau_50,5,0.2,0.0,-0.4,0.8,0.23904572186687872,0.3333333333333333,0.6213082950374971,1.0,1.0,2,1,2,-0.5122408325718827,-0.6122448979591852,0,0,0.6666666666666666,1.0,1.0,1.0
MiniGrid-Empty-5x5,return_auc,count_gated_tau_1,count_gated_tau_10,5,-0.12703333333333333,0.0,-0.34896666666666665,0.06366666666666665,-0.48622523477100343,-0.6666666666666666,0.3380626325730283,0.5,1.0,1,2,2,-0.5219840141505674,-1.664733912687403,0,0,0.3333333333333333,1.0,1.0,1.0
