condition,agent,n_seeds,evaluation_episode_rows,success_rate,failure_rate,collision_rate,localization_error_mean,exact_support_coverage,approximate_support_coverage,memory_branch_usage_ratio,neural_branch_usage_ratio,seed_lower_tail_return_0_10,seed_minimum_return,episode_lower_tail_return_0_10,fragmentation_rate,fragmentation_denominator,aliasing_rate,aliasing_denominator,effective_latency_mean,localization_dropout_rate,range_dropout_rate,camera_dropout_rate,target_visibility_rate,source_file,delta_success_rate_vs_baseline,delta_failure_rate_vs_baseline,delta_collision_rate_vs_baseline,delta_localization_error_mean_vs_baseline,delta_exact_support_coverage_vs_baseline,delta_approximate_support_coverage_vs_baseline,delta_memory_branch_usage_ratio_vs_baseline,delta_neural_branch_usage_ratio_vs_baseline,delta_episode_lower_tail_return_0_10_vs_baseline,delta_fragmentation_rate_vs_baseline,delta_aliasing_rate_vs_baseline,delta_effective_latency_mean_vs_baseline,delta_localization_dropout_rate_vs_baseline,delta_range_dropout_rate_vs_baseline,delta_camera_dropout_rate_vs_baseline,delta_target_visibility_rate_vs_baseline
no_noise_no_delay_no_dropout,dqn,2,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.1475283461343497,-1.1475283461343497,-1.2026792104542254,0.9433198380566802,988,0.0,1039,0.0,0.0,0.0,0.0,1.0,results/diagnostic_extensions/sensor_factorial_development/raw.csv;results/diagnostic_extensions/sensor_factorial_development/trace_shards/*.csv.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_noise_no_delay_no_dropout,fuzzy_relative_reliability,2,8,0.0,1.0,0.0,0.0,0.0,0.15625,0.0,1.0,-1.1475283461343497,-1.1475283461343497,-1.2026792104542254,0.9488752556237219,978,0.0,1032,0.0,0.0,0.0,0.0,1.0,results/diagnostic_extensions/sensor_factorial_development/raw.csv;results/diagnostic_extensions/sensor_factorial_development/trace_shards/*.csv.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_noise_no_delay_no_dropout,selected_approximate_support,2,8,0.0,1.0,0.0,0.0,0.0,1.0,0.5160841175274277,0.4839158824725723,-1.1413087061140685,-1.1413087061140685,-1.2026792104542254,0.9605911330049262,1015,0.0,1069,0.0,0.0,0.0,0.0,1.0,results/diagnostic_extensions/sensor_factorial_development/raw.csv;results/diagnostic_extensions/sensor_factorial_development/trace_shards/*.csv.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_noise_no_delay_no_dropout,sensorized_controller,2,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.955787391983904,-0.955787391983904,-0.9665102467220276,0.9539121114683816,933,0.0,973,0.0,0.0,0.0,0.0,1.0,results/diagnostic_extensions/sensor_factorial_development/raw.csv;results/diagnostic_extensions/sensor_factorial_development/trace_shards/*.csv.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise_only,dqn,2,8,0.0,1.0,0.0,0.0326127072999952,0.0,0.0,0.0,1.0,-1.149648813735694,-1.149648813735694,-1.201528521552682,1.0,1003,0.0,68,0.0,0.0,0.0,0.0,1.0,results/diagnostic_extensions/sensor_factorial_development/raw.csv;results/diagnostic_extensions/sensor_factorial_development/trace_shards/*.csv.gz,0.0,0.0,0.0,0.0326127072999952,0.0,0.0,0.0,0.0,0.0011506889015433508,0.05668016194331982,0.0,0.0,0.0,0.0,0.0,0.0
noise_only,fuzzy_relative_reliability,2,8,0.0,1.0,0.0,0.0326127072999952,0.0,0.0,0.0,1.0,-1.149648813735694,-1.149648813735694,-1.201528521552682,1.0,1003,0.0,68,0.0,0.0,0.0,0.0,1.0,results/diagnostic_extensions/sensor_factorial_development/raw.csv;results/diagnostic_extensions/sensor_factorial_development/trace_shards/*.csv.gz,0.0,0.0,0.0,0.0326127072999952,0.0,-0.15625,0.0,0.0,0.0011506889015433508,0.05112474437627812,0.0,0.0,0.0,0.0,0.0,0.0
noise_only,selected_approximate_support,2,8,0.0,1.0,0.0,0.032612707596854265,0.0,1.0,0.5080794043911994,0.4919205956088005,-1.1524815805279651,-1.1524815805279651,-1.201528521552682,1.0,1053,0.0,80,0.0,0.0,0.0,0.0,1.0,results/diagnostic_extensions/sensor_factorial_development/raw.csv;results/diagnostic_extensions/sensor_factorial_development/trace_shards/*.csv.gz,0.0,0.0,0.0,0.032612707596854265,0.0,0.0,-0.008004713136228303,0.008004713136228248,0.0011506889015433508,0.039408866995073843,0.0,0.0,0.0,0.0,0.0,0.0
noise_only,sensorized_controller,2,8,0.0,1.0,0.0,0.03261270728544327,0.0,0.0,0.0,0.0,-0.948898540234659,-0.948898540234659,-0.9497397202253344,1.0,836,0.0,57,0.0,0.0,0.0,0.0,1.0,results/diagnostic_extensions/sensor_factorial_development/raw.csv;results/diagnostic_extensions/sensor_factorial_development/trace_shards/*.csv.gz,0.0,0.0,0.0,0.03261270728544327,0.0,0.0,0.0,0.0,0.016770526496693194,0.04608788853161838,0.0,0.0,0.0,0.0,0.0,0.0
latency_only,dqn,2,8,0.0,1.0,0.0,0.0037356212895019373,0.0,0.0,0.0,1.0,-1.1480352958757432,-1.1480352958757432,-1.2032396277971569,0.9343434343434344,990,0.0,1133,0.030833333333333296,0.0,0.0,0.0,1.0,results/diagnostic_extensions/sensor_factorial_development/raw.csv;results/diagnostic_extensions/sensor_factorial_development/trace_shards/*.csv.gz,0.0,0.0,0.0,0.0037356212895019373,0.0,0.0,0.0,0.0,-0.0005604173429314407,-0.008976403713245817,0.0,0.030833333333333296,0.0,0.0,0.0,0.0
latency_only,fuzzy_relative_reliability,2,8,0.0,1.0,0.0,0.0037356212895019373,0.0,0.16875,0.0,1.0,-1.1480352958757432,-1.1480352958757432,-1.2032396277971569,0.9343434343434344,990,0.0,1133,0.030833333333333296,0.0,0.0,0.0,1.0,results/diagnostic_extensions/sensor_factorial_development/raw.csv;results/diagnostic_extensions/sensor_factorial_development/trace_shards/*.csv.gz,0.0,0.0,0.0,0.0037356212895019373,0.0,0.012500000000000011,0.0,0.0,-0.0005604173429314407,-0.014531821280287516,0.0,0.030833333333333296,0.0,0.0,0.0,0.0
latency_only,selected_approximate_support,2,8,0.0,1.0,0.0,0.003650875336984375,0.0,1.0,0.5264712145793169,0.4735287854206831,-1.1414485316583889,-1.1414485316583889,-1.2032396277971569,0.9378084896347483,1013,0.0,1155,0.030833333333333296,0.0,0.0,0.0,1.0,results/diagnostic_extensions/sensor_factorial_development/raw.csv;results/diagnostic_extensions/sensor_factorial_development/trace_shards/*.csv.gz,0.0,0.0,0.0,0.003650875336984375,0.0,0.0,0.010387097051889227,-0.010387097051889171,-0.0005604173429314407,-0.02278264337017788,0.0,0.030833333333333296,0.0,0.0,0.0,0.0
latency_only,sensorized_controller,2,8,0.0,1.0,0.0,0.004335235453981963,0.0,0.0,0.0,0.0,-0.9365041505359112,-0.9365041505359112,-0.9473391939699648,0.9397321428571429,896,0.0,1047,0.030833333333333296,0.0,0.0,0.0,1.0,results/diagnostic_extensions/sensor_factorial_development/raw.csv;results/diagnostic_extensions/sensor_factorial_development/trace_shards/*.csv.gz,0.0,0.0,0.0,0.004335235453981963,0.0,0.0,0.0,0.0,0.019171052752062767,-0.014179968611238714,0.0,0.030833333333333296,0.0,0.0,0.0,0.0
localization_dropout_only,dqn,2,8,0.0,1.0,0.0,0.00010272857143717444,0.0,0.0,0.0,1.0,-1.1423735668044537,-1.1423735668044537,-1.1973680401593445,0.9557788944723619,995,0.0,922,0.0008333333333333306,0.04375,0.0,0.0,1.0,results/diagnostic_extensions/sensor_factorial_development/raw.csv;results/diagnostic_extensions/sensor_factorial_development/trace_shards/*.csv.gz,0.0,0.0,0.0,0.00010272857143717444,0.0,0.0,0.0,0.0,0.005311170294880929,0.01245905641568168,0.0,0.0008333333333333306,0.04375,0.0,0.0,0.0
