record_type,condition,agent,n_seeds,evaluation_episode_rows,mean_normalized_return_auc,median_normalized_return_auc,seed_minimum_normalized_return_auc,seed_q05_normalized_return_auc,seed_worst_decile_mean_normalized_return_auc,seed_cvar_0_10_normalized_return_auc,seed_cvar_0_05_normalized_return_auc,episode_minimum_return,episode_q05_return,episode_cvar_0_10_return,episode_cvar_0_05_return,final_checkpoint_success_rate,final_checkpoint_failure_probability,final_checkpoint_collision_rate,final_checkpoint_risk_zone_rate,final_checkpoint_motor_saturation_rate,trajectory_error_mean,trajectory_error_final_mean,recovery_event_count,recovery_episode_rate,constraint_duration_seconds_mean,saturation_duration_seconds_mean,target_visible_episode_any_rate,target_visible_episode_all_rate,fragmentation_rate,fragmentation_denominator,aliasing_rate,aliasing_denominator,support_correctness_rate,support_correctness_denominator,support_correctness_target,dominant_failure_stage,dominant_failure_stage_count,zero_success_retained,source_file,report_family,evidence_class,environment,contrast,contrast_status,left,right,metric,n_pairs,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,cohen_dz,rank_biserial,paired_t_p,wilcoxon_p,wins,losses,ties,source_column,paired_t_holm_p,wilcoxon_holm_p,report_holm_scope
agent_summary,combined_executed_condition,feed_forward_dqn,30.0,240.0,-1.291363849656347,-1.3026828314265004,-1.6317881689965723,-1.498439228602554,-1.5421665738357113,-1.5421665738357113,-1.5699892343622923,-2.104559286963194,-1.814225587889785,-1.837392775504389,-1.895295796934806,0.0,1.0,0.0,0.7200000000000001,0.0,0.8436318305548695,0.8470262750983238,19.0,0.075,0.37486111111111114,0.0,0.45416666666666666,0.04583333333333333,1.0,68543.0,0.0,3568.0,,0.0,not_available,timeout_no_progress,210.0,True,results/diagnostic_extensions/sensorized_final/raw.csv;results/diagnostic_extensions/sensorized_final/trace_shards/*.csv.gz,,,,,,,,,,,,,,,,,,,,,,,,
agent_summary,combined_executed_condition,selected_temporal_drqn,30.0,240.0,-1.2515346382117953,-1.2533890376573251,-1.6670106156426483,-1.523315651703815,-1.5697278451670236,-1.5697278451670236,-1.6051944966589509,-1.916955356765539,-1.7813976775174958,-1.8014332096370829,-1.8599969635573992,0.0,1.0,0.0,0.7369444444444445,0.0,0.8413274048765501,0.8388613062600295,20.0,0.08333333333333333,0.3742361111111111,0.0,0.45416666666666666,0.04583333333333333,1.0,68370.0,0.0,3467.0,,0.0,not_available,timeout_no_progress,196.0,True,results/diagnostic_extensions/sensorized_final/raw.csv;results/diagnostic_extensions/sensorized_final/trace_shards/*.csv.gz,,,,,,,,,,,,,,,,,,,,,,,,
agent_summary,combined_executed_condition,fuzzy_relative_reliability,30.0,240.0,-1.291363849656347,-1.3026828314265004,-1.6317881689965723,-1.498439228602554,-1.5421665738357113,-1.5421665738357113,-1.5699892343622923,-2.104559286963194,-1.814225587889785,-1.837392775504389,-1.895295796934806,0.0,1.0,0.0,0.7200000000000001,0.0,0.8436318305548695,0.8470262750983238,19.0,0.075,0.37486111111111114,0.0,0.45416666666666666,0.04583333333333333,1.0,68543.0,0.0,3568.0,,0.0,not_available,timeout_no_progress,210.0,True,results/diagnostic_extensions/sensorized_final/raw.csv;results/diagnostic_extensions/sensorized_final/trace_shards/*.csv.gz,,,,,,,,,,,,,,,,,,,,,,,,
agent_summary,combined_executed_condition,selected_approximate_support,30.0,240.0,-1.2750643534713189,-1.285827733183614,-1.6134346730954714,-1.5154804653949105,-1.5466612732815943,-1.5466612732815943,-1.5743840833363358,-2.104559286963194,-1.8034375451938252,-1.8162974401132426,-1.8745266929082574,0.0,1.0,0.0,0.7197222222222223,0.0,0.8434377656794256,0.8461256980895996,18.0,0.075,0.37027777777777776,0.0,0.45416666666666666,0.04583333333333333,1.0,67964.0,0.0,3544.0,0.015833333333333335,7200.0,nominal_free_space_reference_action_proxy,timeout_no_progress,208.0,True,results/diagnostic_extensions/sensorized_final/raw.csv;results/diagnostic_extensions/sensorized_final/trace_shards/*.csv.gz,,,,,,,,,,,,,,,,,,,,,,,,
agent_summary,combined_executed_condition,sensorized_controller,30.0,240.0,-0.9061676055882926,-0.9155689021334545,-1.1563882742542773,-1.080058016112467,-1.1044375004071239,-1.1044375004071239,-1.125404707013513,-1.2876938960491684,-1.2522648909485434,-1.2541097315235916,-1.2635798415919999,0.0,1.0,0.0,0.7447222222222223,0.0,0.8115995426393217,0.7451314474145572,48.0,0.19583333333333333,0.3746527777777777,0.0,0.45416666666666666,0.04583333333333333,1.0,59268.0,0.0,2524.0,,0.0,not_available,timeout_partial_progress,240.0,True,results/diagnostic_extensions/sensorized_final/raw.csv;results/diagnostic_extensions/sensorized_final/trace_shards/*.csv.gz,,,,,,,,,,,,,,,,,,,,,,,,
agent_summary,latency_only,feed_forward_dqn,30.0,240.0,-1.2892083694578484,-1.292604477781133,-1.5566874622873732,-1.5383123201639974,-1.5441082397706731,-1.5441082397706731,-1.5497215036582204,-1.9767789956647903,-1.8318237836663613,-1.8473536784563596,-1.9059234082915892,0.0,1.0,0.0,0.6861111111111112,0.0,0.8437945258617402,0.8467558354139328,15.0,0.0625,0.373125,0.0,1.0,1.0,0.9568930161706116,68272.0,0.0,81360.0,,0.0,not_available,timeout_no_progress,207.0,True,results/diagnostic_extensions/sensorized_final/raw.csv;results/diagnostic_extensions/sensorized_final/trace_shards/*.csv.gz,,,,,,,,,,,,,,,,,,,,,,,,
agent_summary,latency_only,selected_temporal_drqn,30.0,240.0,-1.2677132007178145,-1.3209202097191155,-1.6744812287329116,-1.560507786813214,-1.5955927303892776,-1.5955927303892776,-1.6371113829539539,-2.0053531473968182,-1.8168081286076923,-1.8421245647402245,-1.9048544243998669,0.0,1.0,0.0,0.7402777777777778,0.0,0.8424024358722898,0.8425082479914029,18.0,0.075,0.37368055555555557,0.0,1.0,1.0,0.9606017811338156,69394.0,0.0,85664.0,,0.0,not_available,timeout_no_progress,196.0,True,results/diagnostic_extensions/sensorized_final/raw.csv;results/diagnostic_extensions/sensorized_final/trace_shards/*.csv.gz,,,,,,,,,,,,,,,,,,,,,,,,
agent_summary,latency_only,fuzzy_relative_reliability,30.0,240.0,-1.2809483962876125,-1.307593168779131,-1.549047237491468,-1.5399386054505013,-1.5428504603957602,-1.5428504603957602,-1.5453323226826616,-2.0281803089752795,-1.8636548845718648,-1.87888042768358,-1.9370885711407755,0.0,1.0,0.0,0.7075,0.0,0.8423960481915209,0.8424027303854624,21.0,0.0875,0.3764583333333333,0.0,1.0,1.0,0.9542148596929769,70809.0,0.0,83082.0,,0.0,not_available,timeout_no_progress,197.0,True,results/diagnostic_extensions/sensorized_final/raw.csv;results/diagnostic_extensions/sensorized_final/trace_shards/*.csv.gz,,,,,,,,,,,,,,,,,,,,,,,,
agent_summary,latency_only,selected_approximate_support,30.0,240.0,-1.2912074020182673,-1.3041680855519373,-1.561388155698078,-1.5237689017050142,-1.5351543418541163,-1.5351543418541163,-1.5503701291795007,-1.970362335070968,-1.8403406907967288,-1.8566882069209047,-1.9057471585704482,0.0,1.0,0.0,0.7052777777777777,0.0,0.843959945415457,0.848021699488163,20.0,0.08333333333333333,0.3737500000000001,0.0,1.0,1.0,0.955364411335535,65105.0,0.0,79993.0,0.01875,7200.0,nominal_free_space_reference_action_proxy,timeout_no_progress,205.0,True,results/diagnostic_extensions/sensorized_final/raw.csv;results/diagnostic_extensions/sensorized_final/trace_shards/*.csv.gz,,,,,,,,,,,,,,,,,,,,,,,,
agent_summary,latency_only,sensorized_controller,30.0,240.0,-0.9422116410056428,-0.9522803215107706,-1.1526199353131232,-1.1371829202871668,-1.1415896589328864,-1.1415896589328864,-1.1498892257499391,-1.269194596828893,-1.2523780195990108,-1.2551977890263273,-1.2600129359818917,0.0,1.0,0.0,0.7438888888888887,0.0,0.8113608058873151,0.7452703230082989,48.0,0.19583333333333333,0.37548611111111113,0.0,1.0,1.0,0.9699889229501018,77638.0,0.0,75003.0,,0.0,not_available,timeout_partial_progress,240.0,True,results/diagnostic_extensions/sensorized_final/raw.csv;results/diagnostic_extensions/sensorized_final/trace_shards/*.csv.gz,,,,,,,,,,,,,,,,,,,,,,,,
