result_family,environment,agent,seed_n_finite_returns,seed_minimum_return,seed_return_quantile_0_05,seed_worst_decile_mean_return,seed_cvar_0_10_return,seed_cvar_0_05_return,episode_n_finite_returns,episode_minimum_return,episode_return_quantile_0_05,episode_worst_decile_mean_return,episode_cvar_0_10_return,episode_cvar_0_05_return,worst_checkpoint,worst_checkpoint_return,maximum_learning_curve_drawdown,seed_failure_probability,seed_collision_rate,seed_risk_zone_rate,seed_motor_saturation_rate,seed_source_file,episode_source_file,checkpoint_source_file
adaptive_gate_compact_validation,CliffWalking-adaptive,count_gated_tau_20,30,-13,-13,-13,-13,-13,900,-13,-13,-13,-13,-13,2000,-1437.2,0,0,0,0,,results/adaptive_gate_compact_validation/seed_metrics.csv,results/adaptive_gate_compact_validation/raw.csv.gz,results/adaptive_gate_compact_validation/raw.csv.gz
adaptive_gate_compact_validation,CliffWalking-adaptive,fuzzy_support_adaptive,30,-13,-13,-13,-13,-13,900,-13,-13,-13,-13,-13,2000,-704.6,0,0,0,0,,results/adaptive_gate_compact_validation/seed_metrics.csv,results/adaptive_gate_compact_validation/raw.csv.gz,results/adaptive_gate_compact_validation/raw.csv.gz
adaptive_gate_compact_validation,CliffWalking-adaptive,support_abstain_tau_20,30,-14.1666666667,-13,-13.3888888889,-13.3888888889,-13.5833333333,900,-18,-13,-13.3888888889,-13.3888888889,-13.7777777778,2000,-869.6,0,0,0,0,,results/adaptive_gate_compact_validation/seed_metrics.csv,results/adaptive_gate_compact_validation/raw.csv.gz,results/adaptive_gate_compact_validation/raw.csv.gz
adaptive_gate_compact_validation,CliffWalking-adaptive,tabular,30,-13,-13,-13,-13,-13,900,-13,-13,-13,-13,-13,2000,-1238.21,0,0,0,0,,results/adaptive_gate_compact_validation/seed_metrics.csv,results/adaptive_gate_compact_validation/raw.csv.gz,results/adaptive_gate_compact_validation/raw.csv.gz
adaptive_gate_compact_validation,CliffWalking-adaptive,validated_dqn,30,-500,-500,-500,-500,-500,900,-500,-500,-500,-500,-500,2000,-7100,0,1,0,0,,results/adaptive_gate_compact_validation/seed_metrics.csv,results/adaptive_gate_compact_validation/raw.csv.gz,results/adaptive_gate_compact_validation/raw.csv.gz
adaptive_gate_compact_validation,FourRooms-9-support-shift-adaptive,count_gated_tau_20,30,-2.98566666667,-2.80116666667,-2.85966666667,-2.85966666667,-2.91366666667,900,-3.16,-3.09,-3.09688888889,-3.09688888889,-3.11488888889,4000,-2.44695555556,0.0662222222222,0.796666666667,0,0,,results/adaptive_gate_compact_validation/seed_metrics.csv,results/adaptive_gate_compact_validation/raw.csv.gz,results/adaptive_gate_compact_validation/raw.csv.gz
adaptive_gate_compact_validation,FourRooms-9-support-shift-adaptive,fuzzy_support_adaptive,30,-2.89733333333,-2.63368333333,-2.72122222222,-2.72122222222,-2.76783333333,900,-3.16,-3.1,-3.10122222222,-3.10122222222,-3.11622222222,4000,-2.42097777778,0.0481555555556,0.812222222222,0,0,,results/adaptive_gate_compact_validation/seed_metrics.csv,results/adaptive_gate_compact_validation/raw.csv.gz,results/adaptive_gate_compact_validation/raw.csv.gz
adaptive_gate_compact_validation,FourRooms-9-support-shift-adaptive,support_abstain_tau_20,30,-1.449,-1.32443333333,-1.36322222222,-1.36322222222,-1.40516666667,900,-2.18,-2.08,-2.08211111111,-2.08211111111,-2.108,6000,-1.11657777778,0.0202777777778,0.584444444444,0,0,,results/adaptive_gate_compact_validation/seed_metrics.csv,results/adaptive_gate_compact_validation/raw.csv.gz,results/adaptive_gate_compact_validation/raw.csv.gz
adaptive_gate_compact_validation,FourRooms-9-support-shift-adaptive,tabular,30,-1.46566666667,-1.4149,-1.42944444444,-1.42944444444,-1.45633333333,900,-2.19,-2.09,-2.09144444444,-2.09144444444,-2.11822222222,2000,-1.17628888889,0.0189444444444,0.591111111111,0,0,,results/adaptive_gate_compact_validation/seed_metrics.csv,results/adaptive_gate_compact_validation/raw.csv.gz,results/adaptive_gate_compact_validation/raw.csv.gz
adaptive_gate_compact_validation,FourRooms-9-support-shift-adaptive,validated_dqn,30,-2.785,-2.68273333333,-2.71077777778,-2.71077777778,-2.77466666667,900,-3.17,-3.09,-3.09622222222,-3.09622222222,-3.11444444444,4000,-2.43355555556,0.0305111111111,0.804444444444,0,0,,results/adaptive_gate_compact_validation/seed_metrics.csv,results/adaptive_gate_compact_validation/raw.csv.gz,results/adaptive_gate_compact_validation/raw.csv.gz
